K01672	Dmel_CG11284:Dmel_CG11284
K06226	Smo:Dmel_CG11561
K00327	Cpr:Dmel_CG11567
K09571	FkbP59:Dmel_CG4535
K02104	ArgOs:Dmel_CG4531
K13342	Pex5:Dmel_CG14815
K03130	Can:Dmel_CG6577
K14566	Bka:Dmel_CG4539
K01823	Dmel_CG5919:Dmel_CG5919
K12193	vps24:Dmel_CG9779
K06068	PkcDelta:Dmel_CG42349
K12385	Npc1b:Dmel_CG12092
K04514	Rok:Dmel_CG9774
K03068	Arr:Dmel_CG5912
K07897	Rab7:Dmel_CG5915
K03875	Skp2:Dmel_CG9772
K00699	Dmel_CG10178:Dmel_CG10178
K01792	Dmel_CG9008:Dmel_CG9008
K04392	Rac1:Dmel_CG2248
K11660	Mta1-like:Dmel_CG2244
K06072	L(3)s1921:Dmel_CG2245
K13807	RdgC:Dmel_CG6571
K03066	Rpt6r:Dmel_CG2241
K10695	Sce:Dmel_CG5595
K02726	ProS25:Dmel_CG5266
K00624	Dmel_CG5265:Dmel_CG5265
K03341	Dmel_CG1427:Dmel_CG1427
K02295	Phr6-4:Dmel_CG2488
K09699	Dmel_CG5599:Dmel_CG5599
K04539	GbeTa5:Dmel_CG10763
K04508	Ebi:Dmel_CG4063
K11664	Yl-1:Dmel_CG4621
K08765	CptI:Dmel_CG12891
K00649	DhaP-at:Dmel_CG4625
K02354	Fz4:Dmel_CG4626
K10751	Caf1-105:Dmel_CG12892
K10744	Dmel_CG11164:Dmel_CG11164
K12859	Dim1:Dmel_CG3058
K13348	Dmel_CG11077:Dmel_CG11077
K12828	Dmel_CG2807:Dmel_CG2807
K01283	AncE-2:Dmel_CG16869
K09313	Ct:Dmel_CG11387
K14011	GinT3:Dmel_CG5469
K07760	Cdc2c:Dmel_CG10498
K00698	Kkv:Dmel_CG2666
K06064	H:Dmel_CG5460
K02434	Dmel_CG5463:Dmel_CG5463
K06257	Sdc:Dmel_CG10497
K00852	Dmel_CG13369:Dmel_CG13369
K03163	Top1:Dmel_CG6146
K14213	Dip-c:Dmel_CG5663
K02900	Rpl27a:Dmel_CG15442
K03251	Eif-3p66:Dmel_CG10161
K00016	ImpL3:Dmel_CG10160
K00721	Dmel_CG10166:Dmel_CG10166
K05637	Wb:Dmel_CG15288
K06129	Dmel_CG31683:Dmel_CG31683
K00911	Ip3K2:Dmel_CG34359
K08253	HasPin:Dmel_CG40080
K12074	Tim:Dmel_CG3234
K04679	SarA:Dmel_CG15667
K03126	Taf12:Dmel_CG17358
K03094	SkpE:Dmel_CG11942
K14310	Nup205:Dmel_CG11943
K03094	SkpC:Dmel_CG11941
K05126	Ret:Dmel_CG14396
K10746	Tos:Dmel_CG10387
K00517	Cyp4e2:Dmel_CG2060
K00517	Cyp4e1:Dmel_CG2062
K10575	Dmel_CG9602:Dmel_CG9602
K09311	Ubx:Dmel_CG10388
K04536	GbeTa13f:Dmel_CG10545
K11322	E(pC):Dmel_CG7776
K12823	Rm62:Dmel_CG10279
K10696	Bre1:Dmel_CG10542
K03951	Dmel_CG3621:Dmel_CG3621
K10572	Ipk1:Dmel_CG30295
K01183	Cht12:Dmel_CG30293
K00699	Ugt37a1:Dmel_CG11012
K01598	PpcDc:Dmel_CG30290
K04512	DaaM:Dmel_CG14622
K13338	L(3)70da:Dmel_CG6760
K00948	Dmel_CG6767:Dmel_CG6767
K14008	Dmel_CG6766:Dmel_CG6766
K02896	RpL24-like:Dmel_CG6764
K14318	Mbo:Dmel_CG6819
K02324	DNApol-epsilon:Dmel_CG6768
K02991	Rps6:Dmel_CG10944
K15542	Dmel_CG1109:Dmel_CG1109
K10891	FanCd2:Dmel_CG17269
K00934	ArgK:Dmel_CG32031
K02266	LevY:Dmel_CG17280
K07376	For:Dmel_CG10033
K11124	Smg6:Dmel_CG6369
K04196	CCKLR-17D1:Dmel_CG42301
K00517	Cyp4ad1:Dmel_CG2110
K00876	Dmel_CG6364:Dmel_CG6364
K08471	Gr57a:Dmel_CG13441
K00510	Ho:Dmel_CG14716
K14316	Dmel_CG14712:Dmel_CG14712
K14411	Hrb27C:Dmel_CG10377
K04307	Lgr3:Dmel_CG31096
K02140	L(2)06225:Dmel_CG6105
K09567	Dmel_CG17266:Dmel_CG17266
K09050	CreBb-17a:Dmel_CG6103
K03965	Dmel_CG9306:Dmel_CG9306
K01078	PriMo-2:Dmel_CG33747
K01078	PriMo-1:Dmel_CG33748
K09201	PhoL:Dmel_CG3445
K01810	Pgi:Dmel_CG8251
K02870	Rpl12:Dmel_CG3195
K11353	Dmel_CG3446:Dmel_CG3446
K12869	Crn:Dmel_CG3193
K03964	Dmel_CG3192:Dmel_CG3192
K00517	Cyp28d1:Dmel_CG10833
K07197	Hlh106:Dmel_CG8522
K00507	Dmel_CG9747:Dmel_CG9747
K03007	Rpb10:Dmel_CG13628
K03120	Trf:Dmel_CG7562
K08471	Or1A:Dmel_CG17885
K08492	Syx18:Dmel_CG13626
K02604	Orc2:Dmel_CG3041
K07944	Dnd:Dmel_CG6560
K11436	Art3:Dmel_CG6563
K01099	SynJ:Dmel_CG6562
K08876	YatA:Dmel_CG1973
K01183	Cht11:Dmel_CG3044
K03935	Dmel_CG1970:Dmel_CG1970
K00844	Hex-t1:Dmel_CG33102
K03259	4ehP:Dmel_CG33100
K06027	Nsf2:Dmel_CG33101
K08471	Or45a:Dmel_CG1978
K10443	Kel:Dmel_CG7210
K12199	Dmel_CG7967:Dmel_CG7967
K00029	MenL-1:Dmel_CG7964
K00981	CdsA:Dmel_CG7962
K10598	Dmel_CG7747:Dmel_CG7747
K06059	TacE:Dmel_CG7908
K05236	AlpHacop:Dmel_CG7961
K02924	Rpl39:Dmel_CG3997
K00939	Adk3:Dmel_CG6612
K07151	OstStt3:Dmel_CG7748
K08471	Or49a:Dmel_CG13158
K09420	Myb:Dmel_CG9045
K01280	TppIi:Dmel_CG3991
K00029	MenL-2:Dmel_CG7969
K09427	Adf1:Dmel_CG15845
K08471	Gr47a:Dmel_CG12906
K11253	His3.3b:Dmel_CG8989
K07765	S2p:Dmel_CG8988
K14403	Cpsf73:Dmel_CG7698
K08790	Trc:Dmel_CG8637
K13216	NipP1:Dmel_CG8980
K08056	Erp60:Dmel_CG8983
K14407	CstF-64:Dmel_CG7697
K02332	Tam:Dmel_CG8987
K08282	FraY:Dmel_CG7693
K01077	Dmel_CG1809:Dmel_CG1809
K11728	E(bX):Dmel_CG32346
K14307	Nup58:Dmel_CG7360
K00411	RfeSp:Dmel_CG7361
K08282	Ste12dor:Dmel_CG32616
K00517	Cyp4d8:Dmel_CG4321
K07204	RapTor:Dmel_CG4320
K12947	SpaSe25:Dmel_CG1751
K02961	mRpS17:Dmel_CG4326
K08471	Gr2A:Dmel_CG18531
K09312	Cad:Dmel_CG1759
K12861	Dmel_CG4980:Dmel_CG4980
K13917	mRNA-cap:Dmel_CG1810
K00854	Dmel_CG3534:Dmel_CG3534
K11578	Mit(1)15:Dmel_CG9900
K08054	Cnx14D:Dmel_CG9906
K05388	ParA:Dmel_CG9907
K12879	Tho2:Dmel_CG31671
K03033	Rpn3:Dmel_CG42641
K10392	Khc-73:Dmel_CG8183
K00710	GalNac-t1:Dmel_CG8182
K10592	Dmel_CG8184:Dmel_CG8184
K02149	Vha36:Dmel_CG8186
K02127	AtpSyn-b:Dmel_CG8189
K00128	Dmel_CG31075:Dmel_CG31075
K06564	LerP:Dmel_CG31072
K14398	Dmel_CG7185:Dmel_CG7185
K08863	Sak:Dmel_CG7186
K08471	Gr66a:Dmel_CG7189
K11093	SnrNp70k:Dmel_CG8749
K10858	Pms2:Dmel_CG8169
K00799	GstD2:Dmel_CG4181
K05636	LanB1:Dmel_CG7123
K11807	Adp:Dmel_CG5124
K08834	NinAc:Dmel_CG5125
K00624	Dmel_CG5122:Dmel_CG5122
K01312	AlpHatry:Dmel_CG18444
K00261	Dmel_CG4434:Dmel_CG4434
K01518	Apf:Dmel_CG31713
K00471	Dmel_CG4335:Dmel_CG4335
K00528	DarE:Dmel_CG12390
K01446	PgrP-lc:Dmel_CG4432
K01255	S-Lap4:Dmel_CG32064
K10754	Gnf1:Dmel_CG1119
K00115	Dmel_CG12398:Dmel_CG12398
K04676	Mad:Dmel_CG12399
K09326	Oc:Dmel_CG12154
K10352	Mhc:Dmel_CG17927
K07976	Rab39:Dmel_CG12156
K00430	Prx2540-1:Dmel_CG12405
K02145	Vha68-1:Dmel_CG12403
K03968	Dmel_CG12400:Dmel_CG12400
K11293	HirA:Dmel_CG12153
K07976	RabX5:Dmel_CG7980
K12842	Dmel_CG9346:Dmel_CG9346
K06698	Reg:Dmel_CG1591
K10392	Unc-104:Dmel_CG8566
K04447	Hop:Dmel_CG1594
K04725	Iap2:Dmel_CG8293
K08515	Dmel_CG1599:Dmel_CG1599
K00864	Dmel_CG8298:Dmel_CG8298
K10415	SdiC1:Dmel_CG9580
K01749	L(3)02640:Dmel_CG9165
K06115	BetA-spec:Dmel_CG5870
K10358	Jar:Dmel_CG5695
K03955	MtaCp1:Dmel_CG9160
K01988	AlpHa4gt2:Dmel_CG5878
K09236	Tsh:Dmel_CG1374
K08705	Ftz-f1:Dmel_CG4059
K04237	Baz:Dmel_CG5055
K08471	Gr85a:Dmel_CG31405
K15464	Dmel_CG5059:Dmel_CG5059
K01192	Dmel_CG12582:Dmel_CG12582
K10745	Dmel_CG30105:Dmel_CG30105
K00873	Dmel_CG12229:Dmel_CG12229
K09995	Bap:Dmel_CG7902
K03961	L(3)neo18:Dmel_CG9762
K14570	Dmel_CG8368:Dmel_CG8368
K14283	TacC:Dmel_CG9765
K09090	HlhM7:Dmel_CG8361
K01489	Dmel_CG8360:Dmel_CG8360
K13811	PapSs:Dmel_CG8363
K00940	NmdYn-d7:Dmel_CG8362
K09090	E(sPl):Dmel_CG8365
K12835	Dmel_CG6418:Dmel_CG6418
K12182	Hrs:Dmel_CG2903
K05208	NmdAr1:Dmel_CG2902
K04392	Mtl:Dmel_CG5588
K00934	Dmel_CG4546:Dmel_CG4546
K14404	Clp:Dmel_CG3642
K12389	Cln3:Dmel_CG5582
K09442	Ets98b:Dmel_CG5583
K04646	Chc:Dmel_CG9012
K02155	Vha16-4:Dmel_CG9013
K12841	ScaF6:Dmel_CG33522
K14411	msi:Dmel_CG5099
K06026	Neb:Dmel_CG10718
K11997	BraT:Dmel_CG10719
K12304	Dmel_CG5276:Dmel_CG5276
K08635	Nep1:Dmel_CG5905
K02977	Rps27a:Dmel_CG5271
K04515	CamKii:Dmel_CG18069
K12190	Vps36:Dmel_CG10711
K04255	Rh5:Dmel_CG5279
K00861	Dmel_CG2846:Dmel_CG2846
K14320	Dmel_CG16892:Dmel_CG16892
K11757	PolYbromo:Dmel_CG11375
K12192	CHMP2B:Dmel_CG4618
K10846	Mus201:Dmel_CG10890
K01893	Dmel_CG6796:Dmel_CG6796
K08509	UsnP:Dmel_CG11173
K04446	NfaT:Dmel_CG11172
K10532	Dmel_CG6903:Dmel_CG6903
K04233	AlsTr:Dmel_CG2872
K02881	mRpL18:Dmel_CG12373
K06675	Glu:Dmel_CG11397
K10771	Rrp1:Dmel_CG3178
K05410	Ik2:Dmel_CG2615
K13250	SsrBeta:Dmel_CG5474
K04441	Mpk2:Dmel_CG5475
K14071	Lkr:Dmel_CG10626
K04703	SprEd:Dmel_CG10155
K00547	Dmel_CG10621:Dmel_CG10621
K01900	SucB:Dmel_CG10622
K01539	AtpAlpha:Dmel_CG5670
K01110	PteN:Dmel_CG5671
K12948	Spase22-23:Dmel_CG5677
K04615	GabA-b-r1:Dmel_CG15274
K00901	RdgA:Dmel_CG34344
K13298	Pde11:Dmel_CG34341
K02270	Dmel_CG9603:Dmel_CG9603
K01934	Dmel_CG34424:Dmel_CG34424
K03386	Prx5037:Dmel_CG5826
K11140	Sp1029:Dmel_CG11956
K11140	Dmel_CG11951:Dmel_CG11951
K09553	Hop:Dmel_CG2720
K01183	Cht2:Dmel_CG2054
K10260	Ago:Dmel_CG15010
K05725	Fak56d:Dmel_CG10023
K09215	BowL:Dmel_CG10021
K02990	mRpS6:Dmel_CG15016
K05195	Rdl:Dmel_CG10537
K04688	S6k:Dmel_CG10539
K09568	Fk506-bp2:Dmel_CG11001
K14004	Sec13:Dmel_CG6773
K00517	Cyp313a4:Dmel_CG6802
K14521	l(1)G0020:Dmel_CG1994
K01880	AatS-gly:Dmel_CG6778
K02985	Rps3:Dmel_CG6779
K14962	Wdr82:Dmel_CG17293
K01187	Mal-A8:Dmel_CG8690
K12373	Fdl:Dmel_CG8824
K06230	Ci:Dmel_CG2125
K00726	MgaT1:Dmel_CG13431
K10862	Gkt:Dmel_CG8825
K12667	OstDelta:Dmel_CG6370
K11142	S-Lap1:Dmel_CG6372
K09173	Rfx:Dmel_CG6312
K01446	PgrP-lb:Dmel_CG14704
K08508	SnaP25:Dmel_CG40452
K01104	Lar:Dmel_CG10443
K03165	Top3beta:Dmel_CG3458
K04345	Pka-c3:Dmel_CG6117
K08852	Ire-1:Dmel_CG4583
K01590	Hdc:Dmel_CG3454
K03064	Rpt4:Dmel_CG3455
K03243	Eif5b:Dmel_CG10840
K00517	Cyp4p1:Dmel_CG10842
K00517	Cyp4p3:Dmel_CG10843
K05327	Rya-r44f:Dmel_CG10844
K00560	Ts:Dmel_CG3181
K05322	Sei:Dmel_CG3182
K03644	Las:Dmel_CG5231
K10258	Sc2:Dmel_CG10849
K11648	Snr1:Dmel_CG1064
K14290	Emb:Dmel_CG13387
K12311	Dmel_CG9463:Dmel_CG9463
K00934	Dmel_CG5144:Dmel_CG5144
K12404	Gga:Dmel_CG3002
K01435	vanin-like:Dmel_CG32754
K14306	Nup62:Dmel_CG6251
K02953	Rps13:Dmel_CG13389
K06704	Kul:Dmel_CG1964
K01769	Gyc32e:Dmel_CG33114
K11655	Acf1:Dmel_CG1966
K00993	Dmel_CG33116:Dmel_CG33116
K09353	Lbl:Dmel_CG6570
K07198	Snf1a:Dmel_CG3051
K12733	CypL:Dmel_CG13892
K13239	Dmel_CG13890:Dmel_CG13890
K00621	Dmel_CG1969:Dmel_CG1969
K10720	Phm:Dmel_CG6578
K09586	Wbl:Dmel_CG7225
K08498	Syx6:Dmel_CG7736
K00432	GstD8:Dmel_CG4421
K01587	Ade5:Dmel_CG3989
K05094	Htl:Dmel_CG7223
K03860	Gpi1:Dmel_CG32578
K07976	Rab6:Dmel_CG6601
K01183	Cht4:Dmel_CG3986
K09485	Hsc70cb:Dmel_CG6603
K12484	Rip11:Dmel_CG6606
K11429	Suv4-20:Dmel_CG13363
K00121	Fdh:Dmel_CG6598
K04715	Cerk:Dmel_CG16708
K06269	Pp1alpha-96A:Dmel_CG6593
K12198	Dmel_CG6259:Dmel_CG6259
K06546	Vsg:Dmel_CG16707
K10419	RobL:Dmel_CG10751
K00019	sro:Dmel_CG12068
K01689	Eno:Dmel_CG17654
K10611	Roc2:Dmel_CG8998
K11654	IswI:Dmel_CG8625
K01446	PgrP-le:Dmel_CG8995
K00011	Dmel_CG10863:Dmel_CG10863
K01599	UpdO:Dmel_CG1818
K11426	Bzd:Dmel_CG13761
K11996	Dmel_CG13090:Dmel_CG13090
K14559	Dmel_CG13097:Dmel_CG13097
K06689	Eff:Dmel_CG7425
K02929	Rpl36a:Dmel_CG7424
K08517	Sec22:Dmel_CG7359
K01104	Ptp10d:Dmel_CG1817
K00864	Mri:Dmel_CG1216
K03111	MtsSb:Dmel_CG4337
K00799	MgsTl:Dmel_CG1742
K01915	Gs2:Dmel_CG1743
K01312	ZetAtry:Dmel_CG12387
K06276	Pk61c:Dmel_CG1210
K04718	Sk1:Dmel_CG1747
K08866	Ald:Dmel_CG7643
K00106	Ry:Dmel_CG7642
K14568	Dmel_CG3527:Dmel_CG3527
K00665	v(2)k05816:Dmel_CG3524
K00894	Eas:Dmel_CG3525
K01251	Dmel_CG9977:Dmel_CG9977
K08471	Gr22a:Dmel_CG31662
K03113	Dmel_CG17737:Dmel_CG17737
K01283	AncE-4:Dmel_CG8196
K10870	Spn-d:Dmel_CG31069
K09880	Dmel_CG12173:Dmel_CG12173
K08471	Gr98d:Dmel_CG31061
K08471	Gr98c:Dmel_CG31060
K09385	Slp2:Dmel_CG2939
K08471	Gr59a:Dmel_CG30189
K02149	Vha36-2:Dmel_CG13167
K05692	Act87e:Dmel_CG18290
K08342	Atg4:Dmel_CG4428
K10593	Hyd:Dmel_CG9484
K00699	Ugt37b1:Dmel_CG9481
K09458	Dmel_CG12170:Dmel_CG12170
K13126	pAbp:Dmel_CG5119
K00799	GstD6:Dmel_CG4423
K03035	Rpn5:Dmel_CG1100
K12881	Aly:Dmel_CG1101
K08831	SrpK:Dmel_CG8174
K13943	Cbt:Dmel_CG4427
K01312	TheTatry:Dmel_CG12385
K01164	Rpp20:Dmel_CG33931
K01312	EtaTry:Dmel_CG12386
K00787	FppS:Dmel_CG12389
K07827	Ras85d:Dmel_CG9375
K10405	Ncd:Dmel_CG7831
K06669	Cap:Dmel_CG9802
K02906	mRpL3:Dmel_CG8288
K00699	Ugt36bc:Dmel_CG17932
K07976	Rab9db:Dmel_CG9807
K07298	Lkb1:Dmel_CG9374
K04567	AatS-lys:Dmel_CG12141
K02877	Rpl15:Dmel_CG17420
K06115	Kst:Dmel_CG12008
K03801	Dmel_CG9804:Dmel_CG9804
K09523	P58Ipk:Dmel_CG8286
K07976	Rab8:Dmel_CG8287
K04649	UbcD4:Dmel_CG8284
K04623	BosS:Dmel_CG8285
K08471	Or19a:Dmel_CG18859
K01446	PgrP-sc1b:Dmel_CG8577
K12663	Dmel_CG9577:Dmel_CG9577
K01047	GiiIspla2:Dmel_CG1583
K07976	Rab35:Dmel_CG9575
K11674	Rcd5:Dmel_CG1135
K01800	GstZ1:Dmel_CG9362
K07374	alphaTub85E:Dmel_CG9476
K01092	Dmel_CG9391:Dmel_CG9391
K01895	AccOas:Dmel_CG9390
K09584	CabP1:Dmel_CG5809
K13356	Dmel_CG5065:Dmel_CG5065
K03107	Srp68:Dmel_CG5064
K05719	Mys:Dmel_CG1560
K00275	Dmel_CG31472:Dmel_CG31472
K12590	Rrp46:Dmel_CG4043
K09396	CroC:Dmel_CG5069
K02960	Rps16:Dmel_CG4046
K02135	Dmel_CG31477:Dmel_CG31477
K00741	Dmel_CG11149:Dmel_CG11149
K03094	SkpD:Dmel_CG12700
K05677	Pmp70:Dmel_CG12703
K00517	Cyp313b1:Dmel_CG9716
K06129	Dmel_CG18858:Dmel_CG18858
K12183	Tsg101:Dmel_CG9712
K09373	Ap:Dmel_CG8376
K11488	L(3)73ah:Dmel_CG4195
K04500	SmoX:Dmel_CG2262
K01889	Dmel_CG2263:Dmel_CG2263
K02606	Orc4:Dmel_CG2917
K10349	Fem-1:Dmel_CG9025
K11491	Cap-d3:Dmel_CG31989
K04565	Sod3:Dmel_CG9027
K01887	AatS-arg:Dmel_CG9020
K09884	DriP:Dmel_CG9023
K12670	Ost48:Dmel_CG9022
K01137	Dmel_CG30059:Dmel_CG30059
K13719	Dmel_CG4603:Dmel_CG4603
K07508	Yip2:Dmel_CG4600
K01191	alpha-Man-IIb:Dmel_CG4606
K01137	Dmel_CG18278:Dmel_CG18278
K00166	Dmel_CG8199:Dmel_CG8199
K01679	Dmel_CG31874:Dmel_CG31874
K01858	InoS:Dmel_CG11143
K00129	AldH-iii:Dmel_CG11140
K04605	MglUra:Dmel_CG11144
K09881	Mulk:Dmel_CG31873
K09366	Acj6:Dmel_CG9151
