!!SBtab TableType='Proteomaps' Organism='eco'!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
b4088	46.0	4.400834092	14398.0	5.04084036841	313.0	AlsB	K10549	Transport
b4086	0.0	0.0	0.0	0.0	326.0	AlsC	K10550	Transport
b4085	1.0	0.0956703063478	350.0	0.122537444711	350	AlsE	K17195	Carbohydrate metabolism
b4084	4.0	0.382681225391	1236.0	0.432732233321	309.0	AlsK	K00881	Other enzymes
b3088	70.0	6.69692144435	24500.0	8.57762112974	350			
b2435	301.0	28.7967622107	86989.0	30.4554565084	289.0	AmiA	K01448	Chromosome-related
b4169	191.0	18.2730285124	84613.0	29.6236023123	443.0	AmiB	K01448	Chromosome-related
b2817	292.0	27.9357294536	121764.0	42.6304269078	417.0	AmiC	K01448	Chromosome-related
b0867	54.0	5.16619654278	18900.0	6.61702201437	350	AmiD	K11066	Other enzymes
b1982	541.0	51.7576357342	280779.0	98.3026891096	519.0	Amn	K01241	Purine metabolism
b4150	177.0	16.9336442236	67437.0	23.6101647398	381.0	AmpC	K01467	Two-component system
b0110	206.0	19.7080831076	72100.0	25.2427136104	350			
b0111	82.0	7.84496512052	28700.0	10.0480704663	350			
b0433	75.0	7.17527297609	36825.0	12.8926897185	491.0	AmpG	K08218	Transport
b0376	196.0	18.7513800442	68600.0	24.0173391633	350			
b0451	0.0	0.0	0.0	0.0	350			
b1927	0.0	0.0	0.0	0.0	495.0	AmyA	K01176	Carbohydrate metabolism
b1640	214.0	20.4734455584	78966.0	27.6465481686	369.0	AnmK	K09001	Other enzymes
b1767	890.0	85.1465726495	300820.0	105.319183194	338.0	AnsA	K01424	Amino acid metabolism
b2957	35.0	3.34846072217	12180.0	4.26430307593	348.0	AnsB	K01424	Amino acid metabolism
b1453	185.0	17.6990066743	64750.0	22.6694272714	350			
b0050	89.0	8.51465726495	31150.0	10.9058325792	350			
b0049	165.0	15.7856005474	46530.0	16.2904780068	282.0	ApaH	K01525	Purine metabolism
b2214	70.0	6.69692144435	24500.0	8.57762112974	350			
b4055	166.0	15.8812708537	44986.0	15.7499128221	271.0	AphA	K03788	Cofactor biosynthesis
b0980	4.0	0.382681225391	1784.0	0.624590861039	446.0	AppA	K01093	Carbohydrate metabolism
b0979	0.0	0.0	0.0	0.0	378.0	AppB	K00426	Oxidative phosphorylation
b0978	0.0	0.0	0.0	0.0	514.0	AppC	K00425	Oxidative phosphorylation
b0564	35.0	3.34846072217	12250.0	4.28881056487	350	AppY	K07780	Transcription factors
b0469	4592.0	439.318046749	840336.0	294.207503252	183.0	Apt	K00759	Purine metabolism
b0875	4.0	0.382681225391	924.0	0.323498854036	231.0	AqpZ	K06188	Ion channels
b0062	4.0	0.382681225391	2000.0	0.700213969774	500.0	AraA	K01804	Carbohydrate metabolism
b0063	0.0	0.0	0.0	0.0	566.0	AraB	K00853	Carbohydrate metabolism
b0064	69.0	6.601251138	19389.0	6.78822432998	281.0	AraC	K02099	Transcription factors
b0061	0.0	0.0	0.0	0.0	231.0	AraD	K01786	Carbohydrate metabolism
b2841	12.0	1.14804367617	5664.0	1.9830059624	472.0	AraE	K02100	Transport
b1901	0.0	0.0	0.0	0.0	329.0	AraF	K10537	Transport
b1900	0.0	0.0	0.0	0.0	504.0	AraG	K10539	Transport
b4460	0.0	0.0	0.0	0.0	328.0	AraH	K10538	Transport
b0396	12.0	1.14804367617	4728.0	1.65530582455	394.0	AraJ	K08156	Transport
b4401	4068.0	389.186806223	1651608.0	578.239497096	406.0	ArcA	K07773	Two-component system
b3210	131.0	12.5328101316	101918.0	35.6822036857	778.0	ArcB	K07648	Two-component system
b2818	18.0	1.72206551426	7974.0	2.79175309749	443.0	ArgA	K00619	Amino acid metabolism
b3959	56.0	5.35753715548	14448.0	5.05834571765	258.0	ArgB	K00930	Amino acid metabolism
b3958	39.0	3.73114194756	13026.0	4.56049358514	334.0	ArgC	K00145	Amino acid metabolism
b3359	189.0	18.0816878997	76734.0	26.8651093783	406.0	ArgD	K00821	Amino acid metabolism
b3957	314.0	30.0404761932	120262.0	42.1045662165	383.0	ArgE	K01438	Amino acid metabolism
b0273	147.0	14.0635350331	51450.0	18.0130043724	350	ArgF	K00611	Amino acid metabolism
b3172	497.0	47.5481422549	222159.0	77.7794176556	447.0	ArgG	K01940	Amino acid metabolism
b3960	232.0	22.1955110727	106024.0	37.1197429657	457.0	ArgH	K01755	Amino acid metabolism
b4254	19.0	1.81773582061	6346.0	2.22177892609	334.0	ArgI	K00611	Amino acid metabolism
b2918	0.0	0.0	0.0	0.0	268.0	ArgK	K07588	Other enzymes
b2923	262.0	25.0656202631	91700.0	32.1048105142	350			
b2916	672.0	64.2904458657	199584.0	69.8757524717	297.0	ArgP	K05596	Transcription factors
b3237	1158.0	110.786214751	184122.0	64.4623982714	159.0	ArgR	K03402	Transcription factors
b1876	2107.0	201.577335475	1215739.0	425.6387157	577.0	ArgS	K01887	tRNA loading
b2310	463.0	44.295351839	120380.0	42.1458788407	260.0	ArgT	K10013	Transport
b1166	0.0	0.0	0.0	0.0	350			
b2255	3.0	0.287010919043	1980.0	0.693211830077	660.0	ArnA	K10011	Other central metabolism enzymes
b2253	12.0	1.14804367617	4548.0	1.59228656727	379.0	ArnB	K07806	Two-component system
b2254	4.0	0.382681225391	1288.0	0.450937796535	322.0	ArnC	K10012	Other central metabolism enzymes
b2256	0.0	0.0	0.0	0.0	350	ArnD	K13014	Glycan metabolism
b4544	0.0	0.0	0.0	0.0	350	ArnE	K12962	Glycan metabolism
b2258	0.0	0.0	0.0	0.0	350	ArnF	K12963	Glycan metabolism
b2257	0.0	0.0	0.0	0.0	550.0	ArnT	K07264	Glycan metabolism
b0908	1018.0	97.3923718621	434686.0	152.186604833	427.0	AroA	K00800	Amino acid metabolism
b3389	516.0	49.3658780755	186792.0	65.397183921	362.0	AroB	K01735	Amino acid metabolism
b2329	1031.0	98.6360858446	373222.0	130.667629114	362.0	AroC	K01736	Amino acid metabolism
b1693	386.0	36.9287382503	97272.0	34.0556066339	252.0	AroD	K03785	Amino acid metabolism
b3281	614.0	58.7415680976	167008.0	58.470667332	272.0	AroE	K00014	Amino acid metabolism
b2601	374.0	35.7806945741	133144.0	46.6146443958	356.0	AroF	K01626	Amino acid metabolism
b0754	5675.0	542.928988524	1986250.0	695.399998732	350.0	AroG	K01626	Amino acid metabolism
b1704	765.0	73.1877843561	266220.0	93.2054815167	348.0	AroH	K01626	Amino acid metabolism
b3390	4506.0	431.090400403	779538.0	272.921698785	173.0	AroK	K00891	Amino acid metabolism
b0388	240.0	22.9608735235	41760.0	14.6204676889	174.0	AroL	K00891	Amino acid metabolism
b0390	97.0	9.28001971574	33950.0	11.8861321369	350			
b0112	319.0	30.5188277249	111650.0	39.0894448627	350			
b4017	0.0	0.0	0.0	0.0	350			
b0555	0.0	0.0	0.0	0.0	350	ArrD	K01185	Other enzymes
b1554	0.0	0.0	0.0	0.0	350	ArrQ	K01185	Other enzymes
b3502	5.0	0.478351531739	1750.0	0.612687223553	350			
b3503	136.0	13.0111616633	19176.0	6.7136515422	141.0	ArsC	K00537	Other enzymes
b3501	103.0	9.85404155382	12051.0	4.21913927488	117.0	ArsR	K03892	Transcription factors
b0863	1039.0	99.4014482954	252477.0	88.3939612234	243.0	ArtI	K09997	Transport
b0860	148.0	14.1592053395	35964.0	12.5912476045	243.0	ArtJ	K09996	Transport
b0861	99.0	9.47136032843	21978.0	7.69465131385	222.0	ArtM	K09998	Transport
b0864	302.0	28.892432517	73084.0	25.5872188835	242.0	ArtP	K10000	Transport
b0862	127.0	12.1501289062	30226.0	10.5823337252	238.0	ArtQ	K09999	Transport
b2716	33.0	3.15712010948	15642.0	5.47637345761	474.0	AscB	K01223	Glycolysis
b2715	0.0	0.0	0.0	0.0	485.0	AscF	K02752	Transport
b2714	237.0	22.6738626044	79632.0	27.8797194205	336.0	AscG	K03487	Transcription factors
b3433	6893.0	659.455421655	2529731.0	885.676492986	367.0	Asd	K00133	Amino acid metabolism
b3801	0.0	0.0	0.0	0.0	551.0	AslA	K01130	Lipid and steroid metabolism
b3800	4.0	0.382681225391	1400.0	0.490149778842	350			
b2064	58.0	5.54887776817	20300.0	7.10717179321	350			
b3744	1664.0	159.195389763	549120.0	192.250747541	330.0	AsnA	K01914	Amino acid metabolism
b0674	1444.0	138.147922366	799976.0	280.077185342	554.0	AsnB	K01953	Peptidases
b3743	300.0	28.7010919043	45600.0	15.9648785109	152.0	AsnC	K03718	Transcription factors
b0930	7661.0	732.930216931	3570026.0	1249.89103883	466.0	AsnS	K01893	tRNA loading
b4139	469.0	44.8693736771	224182.0	78.487684086	478.0	AspA	K01744	Amino acid metabolism
b0928	3526.0	337.333500182	1396296.0	488.85298257	396.0	AspC	K00813	Amino acid metabolism
b1866	4172.0	399.136518083	2461480.0	861.78134116	590.0	AspS	K01876	tRNA loading
b1597	37.0	3.53980133487	12950.0	4.53388545429	350			
b1747	0.0	0.0	0.0	0.0	344.0	AstA	K00673	Amino acid metabolism
b1745	0.0	0.0	0.0	0.0	447.0	AstB	K01484	Amino acid metabolism
b1748	0.0	0.0	0.0	0.0	406.0	AstC	K00840	Amino acid metabolism
b1746	0.0	0.0	0.0	0.0	492.0	AstD	K06447	Amino acid metabolism
b1744	0.0	0.0	0.0	0.0	322.0	AstE	K05526	Amino acid metabolism
b2222	0.0	0.0	0.0	0.0	216.0	AtoA	K01035	Two-component system
b2224	0.0	0.0	0.0	0.0	394.0	AtoB	K00626	Two-component system
b2220	15.0	1.43505459522	6915.0	2.42098980049	461.0	AtoC	K07714	Two-component system
b2221	0.0	0.0	0.0	0.0	220.0	AtoD	K01034	Two-component system
b2223	0.0	0.0	0.0	0.0	440.0	AtoE	K02106	Two-component system
b2219	0.0	0.0	0.0	0.0	608.0	AtoS	K07710	Two-component system
b3734	18916.0	1809.69951488	9703908.0	3397.4059715	513.0	AtpA	K02111	Oxidative phosphorylation
b3738	4701.0	449.746110141	1273971.0	446.026145644	271.0	AtpB	K02108	Oxidative phosphorylation
b3731	5425.0	519.011411937	754075.0	264.006924629	139.0	AtpC	K02114	Oxidative phosphorylation
b3732	18320.0	1752.68001229	8427200.0	2950.42158304	460.0	AtpD	K02112	Oxidative phosphorylation
b3737	38617.0	3694.50022023	3050743.0	1068.0864334	79.0	AtpE	K02110	Oxidative phosphorylation
b3736	5549.0	530.874529924	865644.0	303.068010826	156.0	AtpF	K02109	Oxidative phosphorylation
b3733	6674.0	638.503624565	1915438.0	670.608222918	287.0	AtpG	K02115	Oxidative phosphorylation
b3735	4796.0	458.834789244	848892.0	297.203018615	177.0	AtpH	K02113	Oxidative phosphorylation
b3739	44.0	4.2094934793	5544.0	1.94099312421	126.0			
b3572	1229.0	117.578806501	512493.0	179.427379006	417.0	AvtA	K00835	Amino acid metabolism
b1412	909.0	86.9643084702	318150.0	111.386537242	350			
b4663	6182.0	591.433833842	2163700.0	757.5264832	350			
b3057	599.0	57.3065135023	164725.0	57.6713730855	275.0	BacA	K06153	Glycan metabolism
b2079	323.0	30.9015089503	77520.0	27.1402934685	240.0	BaeR	K07664	Two-component system
b2078	8.0	0.765362450782	3736.0	1.30799969554	467.0	BaeS	K07642	Two-component system
b0177	2826.0	270.364285739	989100.0	346.290818752	350			
b2512	1541.0	147.427942082	539350.0	188.830202299	350			
b2477	1379.0	131.929352454	482650.0	168.979136256	350			
b2595	2761.0	264.145715826	966350.0	338.325884846	350			
b2617	2862.0	273.808416767	1001700.0	350.702166762	350			
b2786	59.0	5.64454807452	54162.0	18.9624945155	918.0	BarA	K07678	Two-component system
b4113	111.0	10.6194040046	24642.0	8.62733632159	222.0	BasR	K07771	Two-component system
b4112	37.0	3.53980133487	13431.0	4.70228691402	363.0	BasS	K07643	Two-component system
b3570	411.0	39.3204959089	143850.0	50.362889776	350			
b2480	5213.0	498.729306991	813228.0	284.716803106	156.0	Bcp	K03564	Other enzymes
b2182	111.0	10.6194040046	43956.0	15.3893026277	396.0	Bcr	K07552	Transport
b3533	0.0	0.0	0.0	0.0	872.0	BcsA	K00694	Carbohydrate metabolism
b3532	47.0	4.49650439835	16450.0	5.75925990139	350			
b3530	22.0	2.10474673965	7700.0	2.69582378363	350			
b3536	310.0	29.6577949678	108500.0	37.9866078603	350			
b3537	144.0	13.7765241141	50400.0	17.6453920383	350			
b3538	120.0	11.4804367617	42000.0	14.7044933653	350			
b3531	26.0	2.48742796504	9620.0	3.36802919461	370.0	BcsZ	K01179	Carbohydrate metabolism
b1481	33.0	3.15712010948	11550.0	4.04373567545	350			
b0311	91.0	8.70599787765	50596.0	17.7140130074	556.0	BetA	K00108	Amino acid metabolism
b0312	340.0	32.5279041583	166600.0	58.3278236822	490.0	BetB	K00130	Amino acid metabolism
b0313	59.0	5.64454807452	11505.0	4.02798086113	195.0	BetI	K02167	Transcription factors
b0314	54.0	5.16619654278	18900.0	6.61702201437	350			
b3337	215.0	20.5691158648	75250.0	26.3455506128	350			
b3336	107.0	10.2367227792	37450.0	13.111506584	350			
b2901	1796.0	171.823870201	860284.0	301.191437387	479.0	BglA	K01223	Glycolysis
b3721	0.0	0.0	0.0	0.0	464.0	BglB	K01223	Glycolysis
b3722	0.0	0.0	0.0	0.0	624.0	BglF	K02755	Transport
b3723	0.0	0.0	0.0	0.0	278.0	BglG	K03488	Transcription factors
b3720	0.0	0.0	0.0	0.0	350			
b4366	0.0	0.0	0.0	0.0	350			
b2132	584.0	55.8714589071	446760.0	156.413796568	765.0	BglX	K05349	Carbohydrate metabolism
b1112	1967.0	188.183492586	688450.0	241.031153746	350			
b0774	1874.0	179.286154096	803946.0	281.467110072	429.0	BioA	K00833	Amino acid metabolism
b0775	7837.0	749.768190848	2711602.0	949.350800434	346.0	BioB	K01012	Cofactor biosynthesis
b0777	636.0	60.8463148372	222600.0	77.9338148359	350	BioC	K02169	
b0778	2994.0	286.436897205	673650.0	235.849570369	225.0	BioD	K01935	Cofactor biosynthesis
b0776	923.0	88.303692759	354432.0	124.089118868	384.0	BioF	K00652	Amino acid metabolism
b3412	445.0	42.5732863248	155750.0	54.5291628962	350	BioH	K02170	
b3973	224.0	21.4301486219	71904.0	25.1740926413	321.0	BirA	K03524	Transcription factors
b3551	466.0	44.5823627581	362082.0	126.767437302	777.0	BisC	K08351	Other enzymes
b4149	3.0	0.287010919043	1050.0	0.367612334132	350			
b4409	582.0	55.6801182944	203700.0	71.3167928215	350			
b0435	1147.0	109.733841381	401450.0	140.550449083	350			
b0557	10123.0	968.470511159	3543050.0	1240.4465528	350			
b0401	713.0	68.212928426	249550.0	87.3691980786	350			
b4189	115.0	11.00208523	40250.0	14.0918061417	350			
b0836	0.0	0.0	0.0	0.0	350			
b1060	166.0	15.8812708537	58100.0	20.3412158219	350			
b3966	1115.0	106.672391578	390250.0	136.629250852	350			
b1711	22.0	2.10474673965	7172.0	2.51096729561	326.0	BtuC	K06073	Transport
b1709	49.0	4.68784501104	12201.0	4.27165532261	249.0	BtuD	K06074	Transport
b1710	303.0	28.9881028234	55449.0	19.413082205	183.0	BtuE	K00432	Lipid and steroid metabolism
b0158	33.0	3.15712010948	8778.0	3.07323911334	266.0	BtuF	K06858	Transport
b1270	184.0	17.603336368	36064.0	12.626258303	196.0	BtuR	K00798	Cofactor biosynthesis
b4131	0.0	0.0	0.0	0.0	725.0	CadA	K01582	Amino acid metabolism
b4132	0.0	0.0	0.0	0.0	350			
b4133	28.0	2.67876857774	14336.0	5.01913373534	512.0	CadC	K03765	Transcription factors
b0039	23.0	2.200417046	8740.0	3.05993504791	380.0	CaiA	K08297	Other enzymes
b0038	6.0	0.574021838087	2430.0	0.850759973276	405.0	CaiB	K08298	Other enzymes
b0037	14.0	1.33938428887	7308.0	2.55858184556	522.0	CaiC	K02182	Other enzymes
b0036	3.0	0.287010919043	891.0	0.311945323534	297.0	CaiD	K08299	Other enzymes
b0035	0.0	0.0	0.0	0.0	350			
b0034	34.0	3.25279041583	4454.0	1.55937651069	131.0	CaiF	K08277	Transcription factors
b0040	0.0	0.0	0.0	0.0	350			
b0126	5429.0	519.394093162	1194380.0	418.16078061	220.0	Can	K01673	Amino acid metabolism
b0032	220.0	21.0474673965	84040.0	29.4229910099	382.0	CarA	K01956	Pyrimidine metabolism
b0033	198.0	18.9427206569	212454.0	74.3816293672	1073.0	CarB	K01955	Pyrimidine metabolism
b2760	8.0	0.765362450782	2800.0	0.980299557684	350			
b2759	40.0	3.82681225391	14000.0	4.90149778842	350			
b2758	30.0	2.87010919043	10500.0	3.67612334132	350			
b2757	6.0	0.574021838087	2100.0	0.735224668263	350			
b2756	15.0	1.43505459522	5250.0	1.83806167066	350			
b1987	2683.0	256.683431931	847828.0	296.830504783	316.0	Cbl	K13635	Transcription factors
b1000	373.0	35.6850242677	114138.0	39.9605110411	306.0	CbpA	K05516	Chaperones and folding catalysts
b0999	298.0	28.5097512916	104300.0	36.5161585237	350			
b3690	0.0	0.0	0.0	0.0	350			
b3716	9.0	0.86103275713	3150.0	1.10283700239	350			
b3717	49.0	4.68784501104	17150.0	6.00433479082	350			
b3056	192.0	18.3686988188	79104.0	27.6948629325	412.0	Cca	K00974	RNA transport
b2201	8.0	0.765362450782	1656.0	0.579777166973	207.0	CcmA	K02193	Transport
b2200	0.0	0.0	0.0	0.0	220.0	CcmB	K02194	Transport
b2199	52.0	4.97485593009	12740.0	4.46036298746	245.0	CcmC	K02195	Transport
b2198	51.0	4.87918562374	3519.0	1.23202647982	69.0	CcmD	K02196	Transport
b2197	63.0	6.02722929991	22050.0	7.71985901676	350			
b2196	8.0	0.765362450782	2800.0	0.980299557684	350			
b2195	20.0	1.91340612696	3700.0	1.29539584408	185.0	CcmG	K02199	Chaperones and folding catalysts
b2194	16.0	1.53072490156	5600.0	1.96059911537	350			
b0162	0.0	0.0	0.0	0.0	385.0	CdaR	K02647	Transcription factors
b2143	320.0	30.6144980313	94080.0	32.9380651382	294.0	Cdd	K01489	Pyrimidine metabolism
b3918	299.0	28.605421598	75049.0	26.2751791088	251.0	Cdh	K01521	Lipid and steroid metabolism
b0175	289.0	27.6487185345	82365.0	28.8365618102	285.0	CdsA	K00981	Phosphatidylinositol signaling system
b1731	184.0	17.603336368	64400.0	22.5468898267	350			
b1661	503.0	48.1221640929	246470.0	86.2908685651	490.0	Cfa	K00574	Other enzymes
b1216	164.0	15.689930241	57400.0	20.0961409325	350			
b1217	40.0	3.82681225391	14000.0	4.90149778842	350			
b1218	9.0	0.86103275713	3150.0	1.10283700239	350			
b1736	104.0	9.94971186017	12064.0	4.22369066568	116.0	ChbA	K02759	Transport
b1738	147.0	14.0635350331	15582.0	5.45536703851	106.0	ChbB	K02760	Transport
b1737	0.0	0.0	0.0	0.0	452.0	ChbC	K02761	Transport
b1734	15.0	1.43505459522	6750.0	2.36322214799	450.0	ChbF	K01222	Glycolysis
b1733	23.0	2.200417046	8050.0	2.81836122834	350			
b1735	22.0	2.10474673965	6160.0	2.15665902691	280.0	ChbR	K03490	Transcription factors
b1888	0.0	0.0	0.0	0.0	654.0	CheA	K03407	Two-component system
b1883	0.0	0.0	0.0	0.0	349.0	CheB	K03412	Two-component system
b1884	0.0	0.0	0.0	0.0	286.0	CheR	K00575	Two-component system
b1887	22.0	2.10474673965	3674.0	1.28629306248	167.0	CheW	K03408	Two-component system
b1882	25.0	2.3917576587	3225.0	1.12909502626	129.0	CheY	K03413	Two-component system
b1881	23.0	2.200417046	4922.0	1.72322657961	214.0	CheZ	K03414	Bacterial chemotaxis
b3338	60.0	5.74021838087	54000.0	18.9057771839	900.0	ChiA	K13381	Other central metabolism enzymes
b0681	0.0	0.0	0.0	0.0	350			
b0682	0.0	0.0	0.0	0.0	350			
b1741	74.0	7.07960266974	21830.0	7.64283548009	295.0	Cho	K05984	DNA repair and recombination proteins
b4225	96.0	9.18434940939	33600.0	11.7635946922	350			
b4224	436.0	41.7122535676	152600.0	53.4263258938	350			
b2155	22.0	2.10474673965	7700.0	2.69582378363	350			
b0618	0.0	0.0	0.0	0.0	350	CitC	K01910	Two-component system
b0617	0.0	0.0	0.0	0.0	98.0	CitD	K01646	Two-component system
b0616	0.0	0.0	0.0	0.0	302.0	CitE	K01644	Two-component system
b0615	0.0	0.0	0.0	0.0	510.0	CitF	K01643	Two-component system
b0613	0.0	0.0	0.0	0.0	292.0	CitG	K05966	Two-component system
b0612	0.0	0.0	0.0	0.0	487.0	CitT	K09477	Two-component system
b0614	0.0	0.0	0.0	0.0	183.0	CitX	K05964	Two-component system
b0155	63.0	6.02722929991	22050.0	7.71985901676	350			
b1592	4.0	0.382681225391	1400.0	0.490149778842	350			
b2027	2511.0	240.228139239	816075.0	285.713557692	325.0	Cld	K05789	Glycan metabolism
b0882	928.0	88.7820442908	703424.0	246.273655737	758.0	ClpA	K03694	Chaperones and folding catalysts
