K01369	DelTa-vpe
K16507	-
K06969	-
K06965	PEL1
K08991	Mus81
K08991	AT5G39770
hsa_B2RB53	-
K05929	Xpl1
K05929	PMEAMT
K05928	G-tMt
K10352	-
K00698	-
K00699	-
K10356	-
K10357	-
K10355	Act8
K10355	Act1
K10355	Act2
K10355	Act3
K10355	Act4
K10355	Act7
K10355	Act12
K10355	Act11
K00340	-
K00693	-
NotMapped	-
K00696	AtsPs4f
K00696	SPS1F
K00696	SPS3F
K00697	AttPs1
K00697	AttPs2
K00697	AttPs3
K00697	AttPs4
K00697	AttPs6
K00697	AttPs7
K00695	Sus1
K00695	Sus3
K00695	Sus2
K00695	SUS5
K00695	Sus4
K00695	Sus6
K09113	-
hsa_P63313	-
K04196	-
K08502	-
K08503	Syp52
K08503	Syp51
K08501	-
K08506	Syp71
K08506	Syp72
K08506	Syp73
K08507	-
K08504	AtbEt12
K08504	Bs14a
K08505	AT1G29060
K08505	AT4G14600
K08508	-
K08509	SnaP33
K08509	SnaP30
K08509	SnaP29
K00525	-
K00526	Rnr2a
K00521	-
K00522	AtfEr4
K00522	FER2
K00522	AtfEr1
K00522	AtfEr3
K00528	-
K03984	-
K14217	-
K14216	-
K14213	-
K14210	-
K00795	-
K00026	Mdh
K00026	PmdH2
K00026	mMDH2
K00026	mMDH1
K00026	PmdH1
K00793	AT2G20690
K01346	-
K01345	-
K01343	-
K00022	-
K01349	-
K01348	-
K02694	PsaF
K02695	PsaH-1
K02695	PsaH2
K02690	PsaB
K02691	PsaC
K02692	PsaD-1
K02692	PsaD-2
K02693	PsaE-1
K02693	PsaE-2
K02698	PsaK
K02699	PsaL
hsa_B4DHK9	-
K00832	-
K00833	Bio1
K00830	Agt
K00831	PsaT
K00831	AT2G17630
K00838	-
K12135	Co
K04443	-
K01122	-
K04441	-
K04336	-
K01127	-
K01126	AT1G74210
K01126	AT5G08030
K04445	-
K04338	-
K05310	AT2G22530
K02471	-
K02472	-
K05313	-
K05314	-
K05316	-
K02477	-
K05318	-
K13073	-
K13071	Acd1
K03873	-
K03872	AT5G59140
K03871	-
K03870	-
K03877	-
K03875	Skp2b
K13298	-
K13299	-
K02852	-
sce_YGL093W	-
K03258	-
K03257	AT1G72730
K03257	EIF4A1
K03257	Eif4a-2
K03254	Eif3a
K03253	TIF3B1
K03253	EIF3B-2
K03252	Eif3c
K03252	Tif3c2
K03251	AT5G44320
K03251	AT4G20980
K03250	Eif3e
sce_YDR055W	-
K06751	-
K06753	-
K06752	-
K06754	-
K06757	-
K06756	-
K06759	-
K11568	-
K11290	Nrp1
K11290	Nrp2
K16240	SPA1
K16241	HY5
K11294	AtnUc-l1
K00759	Apt3
K00759	Apt2
K00759	Apt1
K00759	Apt5
K00759	Apt4
K00758	-
K00757	-
K00756	-
K00754	-
sce_YLR301w	-
K07151	Stt3b
K07151	Stt3a
K07409	-
K07407	AT3G56310
K07407	AGAL1
K07407	AGAL2
K07404	-
K07400	-
K01808	-
K01809	Mee31
K01809	Din9
K01800	GSTZ1
K01800	GSTZ2
K01802	Roc7
K01802	FkbP12
K01802	Roc1
K01802	Roc2
K01803	Tim
K01803	Tpi
K01804	-
K01805	AT5G57655
K01807	AT5G44520
K01807	AT3G04790
K01807	Rsw10
K01807	RPI2
K05127	-
K05122	-
K09321	-
K09320	-
K05128	-
K08339	Apg5
K08331	-
K08333	AT4G29380
K08332	-
K08334	ATG6
K08337	Apg7
K08336	Atg12a
K08336	Apg12b
K01664	-
K01667	-
K01661	EchId
K01662	DxpS1
K01662	DxpS3
K01662	Cla1
K01663	At-Hf
K01669	Phr1
K02863	-
K02861	-
K02867	AT5G51610
K02867	PrpL11
K02866	Sac52
K02866	SAG24
K02866	RPL10B
K02865	PGY1
K02865	AT5G22440
K02865	AT1G08360
K02864	AT5G13510
K02864	AT3G12370
K02868	AT5G45775
K02868	RPL16A
K02868	AT3G58700
K02868	RPL16B
K14008	-
K14009	AT3G20450
K14009	AT1G11905
K14009	AT5G42570
K14002	-
K14003	AT5G50650
K14003	AT5G50550
K14003	Stl2p
K14003	PHF1
K14000	-
K14001	AT3G51980
K14006	AT2G21630
K14006	AT4G14160
K14006	AT1G05520
K14006	AT5G43670
K14006	AT3G23660
K14007	CEF
K14007	ERMO2
K14007	AT4G32640
K14004	AT3G01340
K14004	AT2G30050
K14005	AT1G18830
K14005	AT3G63460
K03402	-
K03403	Gun5
K03407	-
K03404	ChlD
K03405	ChlI1
K03405	ChlI2
K03408	-
K12818	AT1G27900
K12818	AT4G01020
K12818	AT3G26560
K12818	AT5G10370
K02314	-
K02310	-
K02313	-
K02318	-
K12156	CYP83A1
K12405	-
K12154	CYP79F1
K12407	-
K12403	-
K12408	-
K12409	-
K12158	-
K12159	-
K07366	-
K07365	-
K07364	-
K07361	-
K07360	-
K07369	-
hsa_B7Z6I1	-
K07091	-
sce_YNL126W	-
K07899	-
K11173	-
K07891	-
K07897	RAB7B
K07897	RABG3c
K00322	-
K00323	-
K00326	AT5G20080
K00326	AtcBr
K00327	Atr1
K00327	Atr2
K00324	-
K00325	-
K05940	-
K00329	-
K06941	-
K10808	Tso2
K06943	AT1G10300
K06943	PDE318
K06943	AT1G50920
K10374	-
K10375	-
K10804	-
K10805	-
K10802	HmgB1
K06949	-
K10800	-
K10801	AT3G07930
K05804	-
K08527	-
K04564	Msd1
K04564	AT3G56350
K01045	-
K01047	PLA2-ALPHA
K14270	Acs10
K14270	Acs12
sce_YOR257W	-
K01049	-
K01321	-
K01325	-
K01324	-
K02678	-
K02677	-
K00812	-
K00813	Asp4
K00813	Asp5
K00813	Asp1
K00813	Asp2
K00813	Asp3
K00814	Ggt1
K00814	AlaAt1
K00814	AoaT2
K00814	ALAAT2
K00815	AT4G28420
K00815	AT5G36160
K00815	CORI3
K00815	AT4G23590
K00815	AT4G28410
K00815	Tat3
K00816	-
K00817	HISN6B
K00817	Hpa1
K00818	Win1
K00819	DelTa-oat
hsa_Q6YL44	-
K00129	-
K01493	-
K01491	-
K01490	Fac1
K01497	AtgCh
K01495	-
K14494	RGL1
K14494	RGL3
K14494	RGL2
K14497	HAI2
K14497	HAB2
K14497	HAB1
K14496	PYL12
K14496	PYR1
K14496	PYL1
K14496	PYL2
K14496	RCAR3
K14496	PYL4
K14491	RR13
K14491	RR12
K14491	ARR11
K14491	RR10
K14491	RR14
K14491	APRR4
K14491	RR19
K14491	RR18
K14491	RR20
K14491	RR21
K14491	APRR6
K14491	RR2
K14491	RR1
K14490	AHP5
K14490	AHP3
K14490	AHP2
K14490	AHP1
K14490	AT4G04402
K14492	RR5
K14492	ARR3
K14492	ARR9
K02410	-
K02411	-
K14499	BKI1
K02417	-
K00122	Fdh
sce_YCR089W	-
K13728	Rev7
K13721	-
sce_YPL130W	-
K06228	Fu
K03239	AT1G53880
K03239	AT1G53900
K03239	AT1G72340
K03238	Eif2
K03238	beta
K03238	AT5G01940
K03231	AT1G07940
K03231	AT1G35550
K03231	AT5G60390
K03231	AT1G07920
K03231	AT1G07930
K03233	-
K03232	-
K03235	-
K03234	Los1
K03237	EIF2_ALPHA
K03237	AT2G40290
K03236	AT2G04520
K09493	-
K09490	BIP3
K09490	Bip2
K09490	Bip1
K09497	-
K09496	-
K09495	-
K09494	-
K09499	-
K09498	-
K12898	-
K12897	AT4G35785
K12896	RSZP21
K12896	AT2G24590
K12896	RSZ32
K12896	SRZ-22
K12896	RSZ33
K12230	-
K12893	ATRSP41
K12893	AT2G46610
K12893	RSP35
K12893	RSP31
K12892	-
K12235	AtsR
K12890	SRp34a
K12890	AT4G02430
K12890	Sr1
K12890	ATSRP30
K11768	-
K11760	-
K11761	-
K11762	-
K11763	-
K11765	-
K11766	-
K13941	AT4G30000
K13946	LAX1
K13946	LAX3
K13946	AUX1
ath_AT1G74090	SOT18
K06770	-
K06775	-
spo_SPBC530.07c	-
K04958	-
K14341	-
hsa_Q6RFH5	-
K05669	-
K11816	Yuc6
K11816	Yuc5
K11816	Yuc4
K11816	Yuc2
K11816	Yuc1
K11817	Aao1
K11540	-
K11813	Cyp79b3
K07420	-
K07424	-
K11818	CYP83B1
K11819	Sur1
K10143	Spa3
K10143	Cop1
K10636	RIN3
K10636	RIN2
K10631	-
K10144	AT5G18650
K10144	AT3G62970
K01866	AT2G33840
K01866	emb2768
K01866	AT1G28350
K01867	Ova4
K01867	AT3G04600
K01868	AT5G26830
K01868	EMB2761
K01868	AT1G17960
K01869	EMB2369
K01869	AT1G09620
K15519	-
K15044	-
K15047	-
K15046	-
K15041	-
K15040	-
K15043	-
K15042	-
K06149	-
K06147	-
K06142	-
K04764	-
K04761	-
hsa_P21333-2	-
sce_YAR050W	-
K08314	-
K14649	AT1G31240
K14649	AT5G15570
K14398	AT1G13190
K14398	AT5G55670
K14399	CLPS5
K14399	CLPS3
K14396	AT5G10350
K14396	PABN1
K14397	AT4G25550
K14394	-
K14395	-
K01689	Los2
K01689	ENO1
K01689	ENOC
K01686	-
K01687	AT3G23940
K01682	-
K01681	ACO1
K01681	ACO3
K01681	ACO2
K14026	-
K14027	-
K02889	AT1G57660
K02889	AT1G09590
K02889	AT1G09690
K02889	AT1G57860
K02888	AT1G35680
K14022	-
K02885	AT4G02230
K02885	emb2386
K02885	AT3G16780
K02884	-
K02887	Rpl20
K02886	Rpl2
K02881	AT1G48350
K02880	AT1G67430
K02880	AT1G27400
K02883	AT5G27850
K02883	Rpl18
K02883	AT2G47570
K02882	RPL18AA
K02882	AT1G29965
K02882	AT2G34480
K02882	AT3G14600
K02085	-
K02084	-
K02087	Cdc2
K02089	-
K04446	-
K03428	ChlM
K03429	-
K03938	AT2G47690
K03938	AT3G62790
K03939	AT3G03070
K03936	Nad9
K03937	Fro1
K03934	EMB1467
K03427	-
K12394	-
K12396	-
K12397	-
K12391	-
K12392	-
K12393	-
K12398	-
K12399	-
K02338	-
K02335	POLGAMMA1
K02335	POLGAMMA2
K02333	-
K02332	-
K02331	-
K02330	-
K03688	-
K03680	AT5G38640
K03680	AT2G44070
K03681	AT2G25355
K03684	-
K03685	-
K03686	-
K03687	Ar192
K12172	-
K12175	Fus6
K12176	Fus12
K12177	Cop13
K12178	Cop8
K12179	Csn6a
K05649	-
K02966	AT5G15520
K02966	AT3G02080
K02966	AT5G61170
K07305	-
K07304	-
K07307	-
K07308	-
K03111	AT3G18580
K02962	AT5G04800
K02962	AT3G10610
K02962	AT2G05220
K02962	AT2G04390
K02611	-
K02960	AT3G04230
K02960	AT2G09990
K02960	AT5G18380
K02961	Rps17
K02961	emb1129
K02961	AT3G18880
hsa_Q562M3	-
K03118	Apg2
bsu_BSU09800	-
sce_YMR116C	-
K09687	-
K09680	PANK2
K11158	-
K11155	Tag1
K11153	-
K11152	-
K11151	-
K00308	-
K00658	AT4G26910
K00658	AT5G55070
sce_YKL164C	-
K00656	-
K00657	-
K00654	Spt1
K00654	AtlCb1
K00654	Lcb2
K00654	AT3G48790
K00655	Ats2
K00651	-
K10823	-
K17706	-
hsa_P31949	-
hsa_Q7Z7J6	-
K00671	Nmt1
K06546	-
K04157	-
K06547	-
K01307	AtgGh3
K01307	AtgGh2
K01307	AtgGh1
K04153	-
K02658	-
K02659	-
hsa_P61158	-
K05689	-
K02650	-
K02652	-
K05681	-
K05687	-
K02657	-
K00878	AT3G24030
K00872	Hsk
K00873	PKP-BETA1
K00873	AT3G52990
K00873	AT3G04050
K00873	AT3G55810
K00873	AT2G36580
K00873	Pkp-alpha
K00873	Pkp3
K00873	AT3G55650
K00873	AT3G25960
K00873	AT5G63680
K00873	AT5G56350
K00873	AT5G08570
K00873	AT4G26390
K00871	-
K00876	UKL4
K00876	UKL5
K00876	UK/UPRT1
K00876	UKL2
K00876	UKL3
K00877	-
K00874	-
K04487	Nfs1
K04486	-
K04482	AtrAd51
K14164	Edd1
K08790	-
K04489	-
K04371	MPK14
K04371	Mpk12
K04371	AtmPk3
K04371	AtmPk6
K04371	AtmPk5
K04371	AtmPk4
K04371	AtmPk13
K04371	AtmPk2
K04371	AtmPk1
K04371	AtmPk10
K04371	AtmPk11
K04373	-
K04372	-
K04377	-
K05391	AtcNgc15
K05391	AtcNgc14
K05391	AtcNgc17
K05391	AtcNgc16
K05391	AtcNgc13
K05391	AtcNgc12
K05391	CNGC3
K05391	CNGC9
K05391	CnbT1
K05391	CNGC7
K05391	Dnd1
K05391	CngC18
K05391	CngC19
K05391	CNGC8
K05391	CngC1
K05391	AtcNgc6
K13708	-
K13709	-
K05393	-
K13700	-
K01824	Hyd1
spo_SPCC645.05c	-
K09516	-
K09517	AteRdj3b
K09512	-
K09510	-
K09518	AT3G57340
K02434	GatB
K05355	-
K05356	Sps1
K05356	Sps2
K02437	GDCH
K02437	AT2G35120
K02437	AT1G32470
K05350	BglU46
K05350	BglU44
K05351	-
K05352	-
K02433	AT3G25660
K02438	Isa3
K02438	Isa1
K05359	PD1
K05359	ADT6
K05359	ADT5
K05359	ADT4
K05359	ADT2
K05359	ADT1
K03213	-
K03211	-
K03210	-
K03217	Oxa1l
K03217	Alb3
K03217	Alb4
K03217	Oxa1
K04428	-
K03214	-
K16822	-
K09479	-
K09478	-
K09475	-
K09476	-
K13960	Ubc37
K13963	-
hsa_Q9GZN1	-
K11703	-
K03028	Rpn1b
K03028	Rpn1a
K12615	-
K12614	AT3G61240
K12614	AT2G45810
K12614	RH8
K12617	AT3G22270
K12617	AT4G14990
K12617	AT1G79090
K12616	VCR
K12616	Vcs
K12611	DCP1
K12610	-
K12613	Dcp2
K05588	-
K12619	XRN4
K12619	XRN2
K12619	Xrn3
K12618	-
K07442	-
K07441	AT4G18230
K03029	Rpn10
K11830	-
K11831	-
K11835	Ubp11
K11835	Ubp9
K11835	Ubp5
K11835	Ubp10
K11835	Ubp8
K11836	Ubp14
K11838	Ubp13
K11838	Ubp12
hsa_Q562Z4	-
hsa_Q562Z7	-
hsa_Q562Z6	-
K10615	-
K10613	-
K10612	-
K10610	Ddb1a
K10610	DDB1B
K01845	Gsa1
K01845	Gsa2
K01847	-
K01840	Pmm
K15397	KCS9
K15397	KCS8
K15397	KCS2
K15397	KCS1
K15397	KCS7
K15397	KCS6
K15397	KCS4
K15397	KCS20
K15397	KCS18
K15397	KCS16
K15397	KCS11
K15397	KCS10
K15399	CYP77A6
K15398	CYP86A7
K08483	-
K08486	Syp125
K08486	Syp111
K08486	Syp112
K08486	Syp121
K08486	Syp123
K08486	Syp131
K08486	Syp124
K08486	Syp122
K08486	SYP132
K08484	-
K08489	Syp41
K08489	Syp43
K08489	Syp42
K08488	AtsYp24
K08488	Syp23
K08488	Syp21
K08488	Vam3
K00461	-
K00460	-
K00463	-
K00469	MioX1
K00469	MioX2
K00469	MioX4
K00469	MioX5
K04741	-
K01518	-
K01519	AT4G13720
K01516	AtaPy1
K01516	AtaPy2
K01514	-
K01515	-
K01512	AT5G03370
K01513	-
K01510	AT1G14240
K01510	AT1G14250
K01511	-
K14622	-
K03911	-
K03912	-
K03917	-
K12377	-
K12372	-
K12373	HexO3
K12373	HexO2
K12373	HexO1
K12371	-
K02359	-
K02358	RABE1b
K02358	AT4G02930
K02350	AtrEv3
K02353	-
K02355	Sco1
K02357	-
K02356	-
K13579	-
K13577	-
K13576	-
K13575	-
K13574	-
P68032	-
K12118	Cry1
K12119	Cry2
K12116	Fkf1
K12114	-
K07320	-
sce_YNL322C	-
K05643	-
K03006	NrpB1
K03007	NrpB10
K03004	-
K03005	AT3G13940
K03002	NrpA2
K03000	AT3G25940
K03008	NrpB11
K03009	NrpB12
K05641	-
K04455	-
K04456	-
K06180	-
K06183	-
K06638	-
K06639	-
K06636	Ttn8
K01130	-
K06634	CycH
K06632	Wee1
K06630	-
K06631	-
K07589	-
K11139	-
K02733	-
K11131	Nap57
K11130	Nop10
K11132	-
K11134	-
K10842	-
K00679	AT3G44830
K00679	PDAT
K10840	-
K10841	Chr8
K10846	Uvh3
K10847	-
K10844	Uvh6
K10845	AT1G12400
K00670	AtmAk3
K14688	-
K10848	Uvh1
K10849	ErcC1
K00674	-
K00677	-
K06458	-
K06452	-
K06454	-
K13830	-
K02444	-
K05327	-
K00586	-
K00587	AtsTe14b
K00588	CCoAOMT1
K00588	CCOAMT
K00589	-
K00019	-
K05322	-
K03032	AT2G32730
K03032	AT1G04810
K10264	-
K10263	-
K10260	-
K10738	Mcm9
K01988	AT2G38150
K01988	AT3G09020
K00854	XK-2
K00855	Prk
K00856	Adk2
K00856	Adk1
K00659	-
K00850	Pfk7
K00850	Pfk6
K00850	Pfk5
K00850	Pfk4
K00850	Pfk3
K00850	Pfk2
K00850	Pfk1
K00851	AT2G16790
K00852	AT1G17160
K00853	-
K00858	NadK1
K00859	AtcOae
K04353	-
K04352	-
K01183	AT2G43590
K01183	CHIA
K01183	AT4G19810
K01183	AteP3
K01183	HCHIB
K04357	-
K01184	AT5G17200
K01184	AT5G14650
K01184	AT3G15720
K01187	AT3G45940
K01187	AT5G11720
K04354	Atb
K04354	alpha
K04354	Atb
K04354	beta
K01189	-
K01188	AT3G47050
K01188	BGLU36
K01188	BglU40
K01188	BGLU41
K01188	BGLU33
K01188	ATA27
K01188	BGLU42
K01188	BGLU25
K01188	BGLU19
K01188	DIN2
K01188	PYK10
K01188	BGLU14
K01188	BglU15
K01188	BGLU21
K01188	BglU17
K01188	BGLU16
K01188	BGLU24
K01188	BGLU22
K01188	BglU13
K01188	BglU12
K04358	-
K15728	AT3G09560
K15728	PAH2
spo_SPBC21B10.08c	-
K13762	-
K13763	-
K13764	-
K13769	-
K12128	AprR9
K02984	AT4G34670
K02984	AT3G04840
K02985	AT5G35530
K02985	AT2G31610
K02985	AT3G53870
K08294	-
K02987	AT2G17360
K02987	AT5G58420
K02987	AT5G07090
K02636	PetC
K08293	AtmPk7
K02634	PetA
K08291	-
K02638	PetE1
K02638	Drt112
K02639	AtfD1
K02639	Fed_a
K02639	AtfD3
K02639	AT1G32550
K02639	AtfD4
K02639	AT4G14890
K02988	AT2G33800
K02989	RPS5B
K02989	RPS5A
K03580	-
K03585	-
K01725	Cyn
K01724	-
K01720	-
K01723	Aos
K01728	AT3G09540
K01728	AT5G63180
K01728	AT1G67750
K01728	AT4G24780
K01728	PMR6
K01728	AT3G55140
K01728	AT4G13210
K01728	AT2G02720
K01728	AT1G11920
K01728	AT3G01270
K01728	AT3G24670
K01728	AT4G13710
K01728	AT4G22090
K01728	AT5G55720
K01728	AT1G04680
K01728	AT3G27400
K01728	AT3G24230
K01728	AT3G07010
K01728	RHS14
K01728	AT5G48900
K01728	AT5G15110
K01728	AT3G53190
K09530	-
K09532	-
K09533	-
K05401	-
K05402	-
K05405	-
K05407	-
K02184	-
K02187	-
K02180	-
sce_YIL011W	-
K02183	Cam3
K02183	Cam2
K02183	Cam1
K02183	Cam7
K02183	CAM5
K02183	Cam4
K02183	AT5G57580
K13187	-
K13184	-
K03769	-
K03768	Roc4
K03767	-
K03764	-
K03763	-
K03761	-
K09457	-
K09458	AT2G04540
K09458	Fab1
K00602	AT2G35040
K13988	-
K13989	DER2.1
K13989	Der2.2
K13989	Der1
K13987	-
K13984	-
K13985	-
K13980	-
K12585	EMB2763
K12584	-
K12587	AT4G27490
K12586	AT1G60080
K12581	AT5G10960
K12581	AT2G32070
K12581	AT1G80780
K12580	AT5G18230
hsa_Q9H568	-
K12589	AT3G07750
K11728	-
K11725	-
K11726	-
K11720	-
K06845	-
K06841	-
K10455	-
K10457	-
K10456	-
K10982	-
K10981	-
K10980	-
K12637	Rot3
K07466	AT1G03810
K07466	AT1G23750
K07466	Rpa1a
K07466	RPA70C
K07466	AT4G28440
K07466	AT1G10590
K07466	AT2G33845
hsa_P60709	-
K07462	-
hsa_Q562X7	-
hsa_Q562X6	-
K11858	Ubp26
hsa_Q562X4	-
hsa_Q562X2	-
hsa_Q562X1	-
hsa_Q562X0	-
K11582	-
K11583	FasS
K11583	AT5G28850
K11583	AT5G28900
K11583	AT1G54450
K11583	AT5G44090
K11583	AT1G03960
K11584	ATB'_DELTA
K11584	AT1G13460
K11584	AT3G21650
K11584	AT5G25510
K11584	ATB'_ALPHA
K11584	AT3G26020
K11584	Atb'
K11584	beta
K11584	ATB'_GAMMA
K11584	AT3G54930
K11857	-
hsa_Q562X9	-
K11855	Ubp23
K10679	-
K10678	-
K15009	-
K08726	-
K08722	-
K08729	-
K08467	Gcr1
K00115	-
K00117	-
K00444	-
K00111	Sdp6
K00441	AT1G04620
K01538	-
K01539	-
K04728	Atm
K04729	-
K01530	Ala3
K01530	Aca.l
K04723	-
K01533	Hma5
K01533	Ran1
K01534	Hma4
K01534	Hma2
K04727	-
K01537	Aca11
K01537	Aca10
K01537	Aca4
K01537	Aca2
K01537	Eca3
K01537	Eca2
K01537	Eca1
K01537	Aca9
hsa_Q53G76	-
hsa_C9JZR7	-
K14609	-
K14605	-
K14606	-
K15919	AT1G79870
K15918	AT1G80380
K15917	-
K06642	-
K16931	-
K16938	-
K16939	-
K13379	Rgp4
K13379	Rgp1
K13379	Rgp3
K13379	Rgp2
K13378	-
K05771	-
K13373	-
K02373	-
K02372	AT2G22230
K02372	AT5G10160
K02370	-
K02377	Ger2
K02377	Ger1
K02375	-
K12350	-
K12351	-
K12352	-
K12353	-
K12354	-
K12355	AldH2c4
K12356	Ugt72e3
K12356	Ugt72e2
K12356	UGT72E1
K16857	-
K16855	-
K13519	AT1G63050
K13519	AT1G12640
K13511	-
K13510	AT1G80950
K13513	LpaT4
K13513	LpaT5
K13515	-
K13514	-
K13516	-
K03392	-
K03020	RPC14
K03021	NrpC2
K03022	AT1G06790
K03023	AT3G49000
K03024	AT4G01590
K03025	-
K03026	AT4G25180
K03027	RPAC43
K03027	ATRPAC42
K08915	LHCB4.1
K08915	LHCB4.2
K08915	LHCB4.3
K08914	LhcB3
K08917	LhcB6
K08916	LhcB5
K08911	LhcA5
K08910	LhcA4
K08913	LhcB2.2
K08913	LhcB2.3
K08913	LhcB2.1
K08912	Cab2
K08912	Cab3
K08912	Cab1
K08912	Lhb1b2
K08912	Lhb1b1
K06619	-
K17457	-
K12130	AprR5
K12131	AprR3
K12132	Wnk1
K12133	Lhy
K06611	Sip1
K06611	STS
K06617	DIN10
K06617	SIP1
K06617	SIP2
K11447	-
K11446	-
K11118	-
K16329	AT1G50510
K16328	-
K00613	-
K00610	-
K00611	Otc
K00616	AT5G13420
K00616	AT1G12230
K00615	AT2G45290
K00615	AT3G60750
K00618	-
K00619	-
K06474	-
K06476	-
K06477	-
K06471	-
K10865	Mre11
K10866	Rad50
K10867	NBS1
K06478	-
K06479	-
K10862	-
K04573	-
K01052	-
K01051	AT5G04970
K01051	AT5G49180
K01051	AT4G03930
K01051	AtpMe2
K01051	VgdH1
K01051	AT2G45220
K01051	AT3G43270
K01051	PPME1
K01051	PME44
K01051	AT1G11590
K01051	Pme31
K07875	-
K07874	AtrAb1c
K07870	-
K01057	PGL5
K01057	PGL4
K01057	PGL2
K01057	PGL1
K01057	EMB2024
K07879	-
K01054	-
K10246	-
K10247	-
K04124	Ga3Ox1
K04124	Ga3Ox2
K01953	Asn2
K01953	Asn3
K01953	Asn1
K04122	Ga3
K15746	BETA-OHASE_2
K15747	CYP97A3
K15744	Z-ISO
K00428	-
K15748	BGLU18
K13748	-
K13747	-
K02618	-
K02968	AT3G15190
K02969	AT5G62300
K02969	AT3G45030
K02969	AT3G47370
K02614	-
K02967	Rps2
K02964	AT1G34030
K02964	Pfl
K02964	RPS18C
K02965	Rps19
K02610	-
K02963	Rps18
K02612	-
K02613	-
K03569	-
K03568	-
K03564	AtpRx
K03564	q
K03563	-
K03562	-
K01709	-
K01705	-
K01704	IPMI2
K01704	IPMI1
K01704	AT2G43090
K01703	Iil1
K01702	-
K09558	-
K09553	-
K09550	Aip3
K09556	-
K09554	-
K09555	-
K14165	-
K05399	-
K14163	-
K05463	-
K08141	-
K14169	AT4G35910
K14168	-
K05396	-
K05465	-
K13142	-
K03701	-
K06098	-
K03702	-
K03704	-
K13417	SerK4
K09435	-
