K18637	AXL2:YIL140W
K00767	BNA6:YFR047C
K06685	MOB1:YIL106W
K12626	LSM7:YNL147W
K03848	ALG6:YOR002W
K11763	RSC9:YML127W
K14152	HIS4:YCL030C
K02021	MDL1:YLR188W
K18179	COA6:YMR244C-A
K08338	ATG10:YLL042C
K02929	RPL42B:YHR141C
K00053	ILV5:YLR355C
K14234	tT(AGU)I1:tT_AGU_I1
K17906	ATG2:YNL242W
K11137	TEL2:YGR099W
K01067	ACH1:YBL015W
K08735	MSH2:YOL090W
sce_YLR300W	Exg1:YLR300W
K11235	MFA2:YNL145W
K05283	GWT1:YJL091C
K10746	EXO1:YOR033C
K14229	tK(UUU)K:tK_UUU_K
K02889	RPL21A:YBR191W
K17778	TIM10:YHR005C-A
K12732	ARO10:YDR380W
K14299	SEH1:YGL100W
K08343	ATG3:YNR007C
K01626	ARO3:YDR035W
K10865	MRE11:YMR224C
K11664	VPS72:YDR485C
K07300	VNX1:YNL321W
K01184	PGU1:YJR153W
K00721	DPM1:YPR183W
K14833	NOC2:YOR206W
K02134	ATP16:YDL004W
K07976	YPT53:YNL093W
K13288	Rex2:YLR059C
K14768	UTP7:YER082C
K06654	PHO80:YOL001W
K02866	RPL10:YLR075W
K06668	GIN4:YDR507C
K07573	CSL4:YNL232W
K15908	EAP1:YKL204W
K11121	SIR2:YDL042C
K14225	SUF17:tG_GCC_O2
K14220	tN(GUU)G:tN_GUU_G
K09241	GAL4:YPL248C
K09680	CAB1:YDR531W
K17799	PNT1:YOR266W
K18694	PGC1:YPL206C
K00900	PFK27:YOL136C
K14799	TSR1:YDL060W
K14834	NOC3:YLR002C
K11569	DAD4:YDR320C-A
K14224	tE(UUC)G2:tE_UUC_G2
K14779	ROK1:YGL171W
K12581	POP2:YNR052C
K13524	UGA1:YGR019W
K14688	ZRC1:YMR243C
K03327	ERC1:YHR032W
K02541	MCM3:YEL032W
K17973	MDM20:YOL076W
K07243	FTR1:YER145C
K11806	SOF1:YLL011W
K00993	EPT1:YHR123W
K01497	RIB1:YBL033C
K12837	MUD2:YKL074C
K14191	DIM1:YPL266W
K02987	RPS4B:YHR203C
K15068	DIA2:YOR080W
K10632	ETP1:YHL010C
K00419	Qcr9:YGR183C
K08794	CMK2:YOL016C
K14228	tL(UAA)Q:tL_UAA_Q
K00641	MET2:YNL277W
K11873	UBP10:YNL186W
K05956	BET2:YPR176C
sce_YBL063W	Kip1:YBL063W
K11759	RSC4:YKR008W
K09102	INO2:YDR123C
K03246	TIF34:YMR146C
K00939	ADK1:YDR226W
K10088	YOS9:YDR057W
K10295	HRT3:YLR097C
K09265	RLM1:YPL089C
K15339	YEN1:YER041W
K02201	Cab4:YGR277C
K06659	CLB3:YDL155W
K12274	SEC72:YLR292C
K14229	tK(CUU)D2:tK_CUU_D2
K14229	tK(CUU)D1:tK_CUU_D1
K09584	MPD1:YOR288C
K03448	FEN2:YCR028C
K14402	Cft2:YLR115W
K00101	CYB2:YML054C
K11128	GAR1:YHR089C
K15134	SRB4:YER022W
K14232	SUF2:tP_AGG_C
K11575	CEP3:YMR168C
K15222	RRN11:YML043C
K06947	GRC3:YLL035W
K14232	SUF10:tP_AGG_N
K11673	ARP8:YOR141C
K13303	YPK2:YMR104C
K03143	TFB4:YPR056W
K14298	GLE2:YER107C
K14005	SEC31:YDL195W
K00698	CHS2:YBR038W
K15027	TMA64:YDR117C
K06009	YPS1:YLR120C
K03644	LIP5:YOR196C
K14218	tA(UGC)O:tA_UGC_O
K11378	SAS3:YBL052C
K18561	FRD1:YEL047C
K17878	NNT1:YLR285W
K02144	VMA13:YPR036W
K03264	TIF6:YPR016C
K15542	Pfs2:YNL317W
K08287	KNS1:YLL019C
K01104	PTP2:YOR208W
K14832	MAK21:YDR060W
K00966	PSA1:YDL055C
K11254	HHF1:YBR009C
K14228	tL(UAA)D:tL_UAA_D
K14783	CIC1:YHR052W
K15072	SAF1:YBR280C
K03239	GCN3:YKR026C
K13719	OTU1:YFL044C
K03504	POL32:YJR043C
K05955	RAM2:YKL019W
K11541	URA2:YJL130C
K01624	FBA1:YKL060C
K12853	SNU114:YKL173W
K11374	ELP2:YGR200C
K08139	Hxt10:YFL011W
K00963	UGP1:YKL035W
K11117	STN1:YDR082W
K04567	MSK1:YNL073W
K14968	SDC1:YDR469W
K00902	SEC59:YMR013C
K02350	REV3:YPL167C
K14818	SQT1:YIR012W
K09495	CCT3:YJL014W
K14224	tE(CUC)D:tE_CUC_D
K17909	ATG23:YLR431C
K12232	HUL4:YJR036C
K14224	tE(CUC)I:tE_CUC_I
K09359	MATALPHA2:YCR039C
K00486	BNA4:YBL098W
K04799	RAD27:YKL113C
K03860	GPI1:YGR216C
K15146	MED4:YOR174W
K14809	SPB4:YFL002C
K01802	CPR1:YDR155C
K14819	YVH1:YIR026C
K11772	SWI3:YJL176C
K18155	AEP3:YPL005W
K16261	GAP1:YKR039W
K04711	YDC1:YPL087W
K06666	TUP1:YCR084C
K05287	GPI11:YDR302W
K03364	CDH1:YGL003C
K17792	TIM54:YJL054W
K01867	MSW1:YDR268W
K04555	UBC7:YMR022W
K17278	DAP1:YPL170W
K01647	CIT3:YPR001W
K06215	SNZ3:YFL059W
K04797	GIM5:YML094W
K14848	RRB1:YMR131C
K14550	Utp10:YJL109C
K02433	HER2:YMR293C
K03844	ALG11:YNL048W
K08139	Hxt8:YJL214W
K00873	Pyk1:YAL038W
K14169	NCS2:YNL119W
K12182	VPS27:YNR006W
K00560	CDC21:YOR074C
K05841	ATG26:YLR189C
K10736	MCM10:YIL150C
K14800	TSR2:YLR435W
K12768	ZIP1:YDR285W
K00637	ARE2:YNR019W
K12587	MTR3:YGR158C
K08192	DAL5:YJR152W
K05529	MNN9:YPL050C
K01955	CPA2:YJR109C
K17978	NUM1:YDR150W
K15323	SEN34:YAR008W
K15081	AMN1:YBR158W
K18730	SYH1:YPL105C
K07976	VPS21:YOR089C
K01867	WRS1:YOL097C
K14788	ENP2:YGR145W
K00616	TAL1:YLR354C
K13535	CLD1:YGR110W
K18156	ATP23:YNR020C
K14969	SHG1:YBR258C
K00921	FAB1:YFR019W
K02365	ESP1:YGR098C
K10862	TDP1:YBR223C
K00036	ZWF1:YNL241C
K12883	CBC2:YPL178W
K14829	IPI3:YNL182C
K13107	IST3:YIR005W
K11363	SGF11:YPL047W
K14793	RRP9:YPR137W
K11231	SLN1:YIL147C
K12614	DHH1:YDL160C
K00606	ECM31:YBR176W
K03320	MEP3:YPR138C
K09243	UME6:YDR207C
K15371	GDH2:YDL215C
K14221	tD(GUC)L1:tD_GUC_L1
K14221	tD(GUC)L2:tD_GUC_L2
K17795	TIM17:YJL143W
K14218	tA(AGC)K1:tA_AGC_K1
K14407	Rna15:YGL044C
K18423	CSE1:YGL238W
K17976	MMR1:YLR190W
K01649	LEU4:YNL104C
K02142	ATP18:YML081C-A
K07975	RHO3:YIL118W
K02964	RPS18A:YDR450W
K03024	RPC31:YNL151C
K15561	NAB3:YPL190C
K17866	DPH2:YKL191W
K14536	RIA1:YNL163C
K05864	CPR6:YLR216C
K01637	ICL1:YER065C
K15165	SSN2:YDR443C
<a	href="/dbget-bin/www_bget?sce:YFL054C">YFL054C</a>:<a
K12847	SAD1:YFR005C
K14684	SAL1:YNL083W
K00418	Qcr8:YJL166W
K14528	Pop8:YBL018C
K18721	NUP1:YOR098C
K00988	APA2:YDR530C
K06649	SWI4:YER111C
K14950	SPF1:YEL031W
K18168	EMI5:YOL071W
K14537	Nog2:YNR053C
K11839	UBP5:YER144C
K02943	RPP2A:YOL039W
K14224	tE(UUC)E3:tE_UUC_E3
K14224	tE(UUC)E1:tE_UUC_E1
K01866	TYS1:YGR185C
K02924	RPL39:YJL189W
K00974	CCA1:YER168C
K16261	DIP5:YPL265W
K01922	Cab2:YIL083C
K12845	SNU13:YEL026W
K08286	CLA4:YNL298W
K11313	SPT3:YDR392W
K14307	NUP49:YGL172W
K13025	FAL1:YDR021W
K00948	PRS3:YHL011C
K06173	PUS1:YPL212C
K14004	SEC13:YLR208W
K17788	MIC19:YFR011C
K07827	RAS1:YOR101W
K04564	SOD2:YHR008C
K14804	SLX9:YGR081C
K01187	Ima2:YOL157C
K14565	Nop58:YOR310C
K02925	RPL3:YOR063W
K09498	CCT6:YDR188W
K15080	SAW1:YAL027W
K03495	MTO1:YGL236C
K12868	Syf2:YGR129W
K08857	KIN3:YAR018C
K13953	ADH2:YMR303C
K02951	RPS12:YOR369C
K11121	Hst3:YOR025W
K13989	DFM1:YDR411C
K10956	SSH1:YBR283C
K10967	KTR3:YBR205W
K00728	PMT3:YOR321W
sce_YML104C	Mdm1:YML104C
K03017	RPB9:YGL070C
K13954	ADH4:YGL256W
K15543	Ref2:YDR195W
K13939	FOL1:YNL256W
K01835	PRM15:YMR278W
K14328	UPF3:YGR072W
K12774	MAM1:YER106W
K11262	HFA1:YMR207C
K03135	TAF11:YML015C
K04564	MRP1:YDR347W
K00624	YAT1:YAR035W
K15278	YEA4:YEL004W
K01530	DNF1:YER166W
K14563	Nop1:YDL014W
K08734	MLH1:YMR167W
K07208	RHB1:YCR027C
K08139	SNF3:YDL194W
K02136	ATP3:YBR039W
K18184	COX20:YDR231C
K10846	RAD2:YGR258C
K03011	RPB3:YIL021W
K02155	VMA11:YPL234C
K06647	MBP1:YDL056W
K05916	YHB1:YGR234W
K12596	TRF5:YNL299W
K11667	IES6:YEL044W
K17891	ERV2:YPR037C
K14230	tM(CAU)Q1:tM_CAU_Q1
K11315	NGG1:YDR176W
K08286	KIN1:YDR122W
K07975	RHO2:YNL090W
K14237	tV(AAC)G1:tV_AAC_G1
K12881	YRA1:YDR381W
K02900	RPL28:YGL103W
K03021	RET1:YOR207C
K17434	MRPL44:YMR225C
K14230	IMT1:tM_CAU_O1
K00134	TDH3:YGR192C
K11996	UBA4:YHR111W
K00414	Cor1:YBL045C
K18181	COX14:YML129C
K05605	Ehd3:YDR036C
K00616	NQM1:YGR043C
K01196	GDB1:YPR184W
K11684	BDF2:YDL070W
K10357	MYO4:YAL029C
K02607	ORC5:YNL261W
K14229	tK(CUU)E1:tK_CUU_E1
K14229	tK(CUU)E2:tK_CUU_E2
K01930	MET7:YOR241W
K01247	MAG1:YER142C
K00227	ERG3:YLR056W
K14288	LOS1:YKL205W
K04802	POL30:YBR088C
K12855	PRP6:YBR055C
K13519	ALE1:YOR175C
K13339	PEX6:YNL329C
K07901	SEC4:YFL005W
K15223	TRI1:YMR233W
K15456	KTI12:YKL110C
K04348	CMP2:YML057W
K00237	SDH4:YDR178W
K15900	KAE1:YKR038C
K00088	IMD3:YLR432W
K14227	tI(AAU)B:tI_AAU_B
K08269	ATG1:YGL180W
K14227	tI(AAU)G:tI_AAU_G
K10753	ASF1:YJL115W
K00550	OPI3:YJR073C
K11887	RPN14:YGL004C
K02151	VMA7:YGR020C
K13357	SPO1:YNL012W
K02868	RPL11A:YPR102C
K08681	SNO2:YNL334C
K02132	ATP1:YBL099W
K11758	RSC3:YDR303C
K11273	CHL1:YPL008W
K07739	ELP3:YPL086C
K14301	NUP84:YDL116W
K03650	MSS1:YMR023C
K09265	ARG80:YMR042W
K07178	RIO1:YOR119C
K07304	MXR1:YER042W
K14845	RAI1:YGL246C
K14554	Utp21:YLR409C
K02739	PUP1:YOR157C
K08139	GAL2:YLR081W
K14221	tD(GUC)Q:tD_GUC_Q
K00988	APA1:YCL050C
K14221	tD(GUC)K:tD_GUC_K
K14226	tH(GUG)G1:tH_GUG_G1
K00062	ARA2:YMR041C
K14221	tD(GUC)O:tD_GUC_O
K01507	PPA2:YMR267W
K14221	tD(GUC)M:tD_GUC_M
K14171	AHP1:YLR109W
K14729	FOX2:YKR009C
K14233	tS(UGA)Q2:tS_UGA_Q2
K01268	APE1:YKL103C
K14221	tD(GUC)D:tD_GUC_D
K10356	MYO5:YMR109W
K11269	CTF18:YMR078C
K08741	MSH5:YDL154W
K00643	HEM1:YDR232W
K05531	MNN10:YDR245W
K14846	RPF1:YHR088W
K14570	RNH70:YGR276C
K14227	tI(AAU)P2:tI_AAU_P2
K07889	YPT52:YKR014C
K08139	RGT2:YDL138W
K09104	CBF1:YJR060W
K15217	RRN5:YLR141W
K02606	ORC4:YPR162C
K14686	CTR2:YHR175W
K08139	HXT15:YDL245C
K14227	tI(AAU)N1:tI_AAU_N1
K08286	CBK1:YNL161W
K10625	UBR1:YGR184C
K14963	SWD3:YBR175W
K03872	ELC1:YPL046C
K14539	Lsg1:YGL099W
K00830	AGX1:YFL030W
K14223	tQ(UUG)L:tQ_UUG_L
K14853	RSA1:YPL193W
K08516	YKT6:YKL196C
K17871	NDE2:YDL085W
K17908	ATG18:YFR021W
K10524	Nrk1:YNL129W
K00003	HOM6:YJR139C
K02138	ATP7:YKL016C
K02516	HSL7:YBR133C
K11776	SWP82:YFL049W
K14858	SRD1:YCR018C
K08504	BET1:YIL004C
K05284	GPI14:YJR013W
K15113	MRS3:YJL133W
K03350	CDC27:YBL084C
K14962	SWD2:YKL018W
K01515	YSA1:YBR111C
K14227	tI(UAU)L:tI_UAU_L
K15901	CGI121:YML036W
K03115	Ckb1:YGL019W
K14227	tI(UAU)D:tI_UAU_D
K03348	APC1:YNL172W
K14304	NUP85:YJR042W
K03434	GPI12:YMR281W
K03255	CLU1:YMR012W
K01869	CDC60:YPL160W
K14231	tF(GAA)H1:tF_GAA_H1
K14231	tF(GAA)H2:tF_GAA_H2
K08141	MAL11:YGR289C
K12236	FAP1:YNL023C
K08286	SKS1:YPL026C
K14220	tN(GUU)Q:tN_GUU_Q
K08738	CYC1:YJR048W
K11786	STH1:YIL126W
K14220	tN(GUU)L:tN_GUU_L
K14220	tN(GUU)K:tN_GUU_K
K14223	tQ(UUG)B:tQ_UUG_B
K14234	tT(UGU)G1:tT_UGU_G1
K02141	ATP14:YLR295C
K03439	TRM8:YDL201W
K14220	tN(GUU)F:tN_GUU_F
K17677	IRC3:YDR332W
K14220	tN(GUU)C:tN_GUU_C
K11562	NNF1:YJR112W
K11379	YNG1:YOR064C
K17553	YPI1:YFR003C
K16368	DGK1:YOR311C
K02830	RAD17:YOR368W
K14547	Utp8:YGR128C
K10251	IFA38:YBR159W
K01530	NEO1:YIL048W
K02984	RPS1A:YLR441C
K01834	Gpm3:YOL056W
K14234	tT(UGU)Q1:tT_UGU_Q1
K08492	UFE1:YOR075W
K03031	RPN12:YFR052W
K17422	MRPL27:YBR282W
K14715	ATX2:YOR079C
K03015	RPB7:YDR404C
K08783	ECM14:YHR132C
K03781	CTT1:YGR088W
K06628	CDC45:YLR103C
K09419	HSF1:YGL073W
K14237	tV(AAC)K1:tV_AAC_K1
K17679	MSS116:YDR194C
K01920	GSH2:YOL049W
K17786	MIC26:YGR235C
K03847	ALG12:YNR030W
K00281	GCV2:YMR189W
K17402	RSM25:YIL093C
K01066	LDH1:YBR204C
K07952	ARL3:YPL051W
K14575	Afg2:YLR397C
K14764	SHQ1:YIL104C
K06679	MAD1:YGL086W
K11294	NSR1:YGR159C
sce_YAL044C	Gcv3:YAL044C
K02304	MET8:YBR213W
K11234	MF(ALPHA)2:YGL089C
K01880	GRS2:YPR081C
K12613	DCP2:YNL118C
K11775	SNF12:YNR023W
K00591	COQ3:YOL096C
K18693	DPP1:YDR284C
K06013	STE24:YJR117W
K10703	PHS1:YJL097W
K00965	GAL7:YBR018C
K11713	CDC43:YGL155W
K16365	SGT2:YOR007C
K11756	RSC2:YLR357W
K08513	SNC1:YAL030W
K01756	ADE13:YLR359W
K14228	tL(UAG)L1:tL_UAG_L1
K15100	SFC1:YJR095W
K09238	ACE2:YLR131C
K14765	LCP5:YER127W
K11879	PBA1:YLR199C
K03242	GCD11:YER025W
K00995	PGS1:YCL004W
K15902	PCC1:YKR095W-A
K10689	PEX4:YGR133W
K14405	Fip1:YJR093C
K02155	VMA3:YEL027W
K14225	tG(GCC)M:tG_GCC_M
K00772	MEU1:YLR017W
K14225	tG(GCC)E:tG_GCC_E
K14225	tG(GCC)B:tG_GCC_B
K14225	SUF16:tG_GCC_C
K02858	RIB3:YDR487C
K08331	ATG13:YPR185W
K00547	Sam4:YPL273W
K05758	ARC35:YNR035C
K02910	RPL31B:YLR406C
K03671	TRX3:YCR083W
K03846	ALG9:YNL219C
K04567	KRS1:YDR037W
K04371	KSS1:YGR040W
K00161	PDA1:YER178W
K01230	Mnl2:YLR057W
K04646	CHC1:YGL206C
K04640	GPA1:YHR005C
K08794	CMK1:YFR014C
K12843	PRP3:YDR473C
K10772	APN2:YBL019W
K14827	IPI1:YHR085W
K14311	NUP188:YML103C
K14785	ESF2:YNR054C
K06673	SCC4:YER147C
K01383	BAR1:YIL015W
K12859	DIB1:YPR082C
K12618	XRN1:YGL173C
K14222	tC(GCA)G:tC_GCA_G
K02731	PRE6:YOL038W
K08141	MPH3:YJR160C
K01923	ADE1:YAR015W
K00521	FRE5:YOR384W
K14649	Taf8:YML114C
K01514	PPX1:YHR201C
K11092	LEA1:YPL213W
K10858	Pms1:YNL082W
K00521	FRE6:YLL051C
K03039	RPN9:YDR427W
K03016	RPB8:YOR224C
K01656	TRP3:YKL211C
K11309	RTT109:YLL002W
K02537	MAD2:YJL030W
K13103	SPP382:YLR424W
K02981	RPS2:YGL123W
K00428	CCP1:YKR066C
K18187	PET100:YDR079W
K01057	SOL4:YGR248W
K00863	DAK1:YML070W
K16261	HIP1:YGR191W
K02871	MRPL23:YOR150W
K15280	YMD8:YML038C
K03232	EFB1:YAL003W
K06961	KRR1:YCL059C
K11434	HMT1:YBR034C
K01652	ILV2:YMR108W
K08286	KIN82:YCR091W
K06117	GPP2:YER062C
K13342	PEX5:YDR244W
K18717	ASM4:YDL088C
K07937	ARF2:YDL137W
K03000	RPA12:YJR063W
K04441	HOG1:YLR113W
K09518	HLJ1:YMR161W
K00318	PUT1:YLR142W
K03258	TIF3:YPR163C
K15903	GON7:YJL184W
K00670	NAT1:YDL040C
K10258	TSC13:YDL015C
K12815	PRP16:YKR086W
K11663	VPS71:YML041C
K18573	ICP55:YER078C
K14222	tC(GCA)Q:tC_GCA_Q
K07937	ARF1:YDL192W
K17080	PHB1:YGR132C
K13126	Pab1b:YER165W
K10885	YKU80:YMR106C
K08293	SMK1:YPR054W
K15444	TRM9:YML014W
K14222	tC(GCA)B:tC_GCA_B
K03131	TAF6:YGL112C
K08286	KIN4:YOR233W
K08330	ATG11:YPR049C
K01104	Mtm1:YGR257C
K17771	TOM7:YNL070W
K02147	VMA2:YBR127C
K11338	RVB2:YPL235W
K03358	APC11:YDL008W
K17798	MSS2:YDL107W
K11135	PXR1:YGR280C
K01424	ASP3-1:YLR155C
K08139	HXT13:YEL069C
K11226	STE7:YDL159W
K02894	RPL23A:YBL087C
K04354	CDC55:YGL190C
K03842	ALG1:YBR110W
K06009	MKC7:YDR144C
K11554	CTF19:YPL018W
K04082	JAC1:YGL018C
K13367	FMS1:YMR020W
K15117	OAC1:YKL120W
K14862	URB2:YJR041C
K07238	ZRT3:YKL175W
K15458	SAP190:YKR028W
K11501	CTF3:YLR381W
K14997	AVT2:YEL064C
K14778	DBP8:YHR169W
K12668	OST2:YOR103C
K12597	AIR2:YDL175C
K18171	CMC1:YKL137W
K02962	RPS17B:YDR447C
K01702	LEU1:YGL009C
K08286	KKQ8:YKL168C
K00567	MGT1:YDL200C
K02327	POL3:YDL102W
K00134	TDH2:YJR009C
K11679	IES5:YER092W
K14219	tR(UCU)Q1:tR_UCU_Q1
K12670	WBP1:YEL002C
K15264	RCM1:YNL022C
K05290	GPI8:YDR331W
K02947	RPS10A:YOR293W
K00088	IMD4:YML056C
K14822	CGR1:YGL029W
K18328	DBR1:YKL149C
K07300	VCX1:YDL128W
K04348	CNA1:YLR433C
K14219	HSX1:tR_CCU_J
K14313	NUP53:YMR153W
K14306	NSP1:YJL041W
K06072	LIA1:YJR070C
K14219	tR(UCU)G1:tR_UCU_G1
K11768	ARP9:YMR033W
K14219	tR(UCU)G2:tR_UCU_G2
K02737	PRE2:YPR103W
K08851	BUD32:YGR262C
K01111	DOG2:YHR043C
K12589	RRP42:YDL111C
K00134	TDH1:YJL052W
K17656	MSS51:YLR203C
K06689	UBC5:YDR059C
K11371	AHC2:YCR082W
K00931	PRO1:YDR300C
K10704	MMS2:YGL087C
K03231	Tef1:YPR080W
K01598	Cab3:YKL088W
K17815	EXO5:YBR163W
K18477	RMT2:YDR465C
K14810	DBP9:YLR276C
K14543	Mtr2:YKL186C
K15428	DUG1:YFR044C
K07561	DPH1:YIL103W
K00416	Qcr6:YFR033C
K16196	GCN2:YDR283C
K17774	MDM10:YAL010C
K15116	RIM2:YBR192W
K14235	tW(CCA)J:tW_CCA_J
K02880	RPL17B:YJL177W
K09247	HAP1:YLR256W
K01090	PTC4:YBR125C
K04706	SIZ1:YDR409W
K00162	PDB1:YBR221C
K03283	Ssa1:YAL005C
K03145	DST1:YGL043W
K14303	NUP120:YKL057C
K08507	USE1:YGL098W
K08737	MSH6:YDR097C
K03235	HEF3:YNL014W
K01783	RPE1:YJL121C
K04709	LAC1:YKL008C
K03539	RPP1:YHR062C
K00804	BTS1:YPL069C
K14237	tV(AAC)J:tV_AAC_J
K14237	tV(AAC)H:tV_AAC_H
K14789	NOP6:YDL213C
K01918	PAN6:YIL145C
K17782	MIA40:YKL195W
K10956	SEC61:YLR378C
K16230	HAC1:YFL031W
K14531	SNM1:YDR478W
K09481	SBH1:YER087C-B
K09248	PUT3:YKL015W
K07905	YPT32:YGL210W
K00968	PCT1:YGR202C
K18696	GDE1:YPL110C
K02139	ATP17:YDR377W
K16944	CDC3:YLR314C
sce_YNL126W	Spc98:YNL126W
K14228	SUP56:tL_CAA_A
K16261	AGP2:YBR132C
K01106	INP52:YNL106C
K08513	SNC2:YOR327C
K12781	MND2:YIR025W
K14225	tG(UCC)Q:tG_UCC_Q
K08286	RCK1:YGL158W
K00693	Gsy1:YFR015C
K16261	Bap2:YBR068C
K14708	SUL1:YBR294W
K02947	RPS10B:YMR230W
K03259	CDC33:YOL139C
K14225	SUF4:tG_UCC_G
K10735	SLD5:YDR489W
K11770	SFH1:YLR321C
K03267	SUP35:YDR172W
K04345	TPK2:YPL203W
K14224	tE(UUC)G3:tE_UUC_G3
K05749	Kre28:YDR532C
K10969	MNT3:YIL014W
K08286	FMP48:YGR052W
K14559	MPP10:YJR002W
K05530	VAN1:YML115C
K01164	POP1:YNL221C
K01719	HEM4:YOR278W
K12624	LSM5:YER146W
sce_YGL061C	Duo1:YGL061C
K03063	RPT3:YDR394W
K05767	IQG1:YPL242C
K03108	SRP72:YPL210C
K02332	MIP1:YOR330C
K09885	AQY2:YLL052C
K02258	Cox11:YPL132W
K14223	CDC65:tQ_CUG_M
K11788	ADE5:YGL234W
K00877	THI20:YOL055C
K08054	CNE1:YAL058W
K14218	tA(AGC)M2:tA_AGC_M2
K10863	HNT3:YOR258W
K05755	ARC19:YKL013C
K14284	MEX67:YPL169C
K00844	Hxk1:YFR053C
K00413	Cyt1:YOR065W
K12345	DFG10:YIL049W
K05663	ATM1:YMR301C
K03138	TFG1:YGR186W
K01634	DPL1:YDR294C
K14309	NIC96:YFR002W
K02218	YCK1:YHR135C
K10866	RAD50:YNL250W
K08139	Hxt2:YMR011W
K03514	PAP2:YOL115W
K10592	TOM1:YDR457W
K11230	SSK2:YNR031C
K02961	MRPS17:YMR188C
K14234	TRT2:tT_CGU_K
K17777	TIM9:YEL020W-A
K14770	BUD21:YOR078W
K06176	PUS7:YOR243C
K14709	ZRT2:YLR130C
K01094	GEP4:YHR100C
K02946	RSM10:YDR041W
K07432	ALG13:YGL047W
K15728	Pah1:YMR165C
K11672	ARP5:YNL059C
K00850	PFK2:YMR205C
K14233	tS(AGA)E:tS_AGA_E
K14233	tS(AGA)B:tS_AGA_B
K01647	CIT2:YCR005C
K00002	ADH7:YCR105W
K14233	tS(AGA)A:tS_AGA_A
K11367	CHD1:YER164W
K14233	tS(AGA)L:tS_AGA_L
K02976	RPS26B:YER131W
K14233	tS(AGA)J:tS_AGA_J
K14233	tS(AGA)H:tS_AGA_H
K14017	SNL1:YIL016W
K15505	RAD5:YLR032W
K14811	DBP3:YGL078C
K03687	MGE1:YOR232W
K00814	ALT1:YLR089C
K01953	ASN1:YPR145W
K10415	PAC11:YDR488C
K00033	GND2:YGR256W
K01526	GDA1:YEL042W
K14228	tL(CAA)K:tL_CAA_K
K02885	RPL19B:YBL027W
K18342	OTU2:YHL013C
K16302	MAM3:YOL060C
K14229	tK(CUU)F:tK_CUU_F
K15437	ARC1:YGL105W
K08333	VPS15:YBR097W
K09503	YDJ1:YNL064C
