SPBC106.09	cut4	K03348	anaphase-promoting complex subunit Apc1
SPAPB1E7.07	glt1	K00264	glutamate synthase Glt1 (predicted) 
SPAC24B11.06c	sty1	K04441	MAP kinase Sty1
SPAC17G8.14c	pck1	K02677	protein kinase C (PKC)-like Pck1 
SPCC613.05c	rpl35	K02918	60S ribosomal protein L35
SPCC1322.12c	bub1	K02178	serine/threonine protein kinase Bub1
SPBC215.15	sec13	K14004	COPII-coated vesicle component Sec13
SPAC13G7.08c	crb3	K14829	WD repeat protein Crb3
SPAC23G3.10c	ssr3	K11650	SWI/SNF and RSC complex subunit Ssr3
SPBC16H5.11c	skb1	K02516	type II protein arginine N-methyltransferase Skb1 
SPAC323.06c	uba5	K04532	NEDD8 activating enzyme (predicted)
SPBC776.13	cnd1	K06677	condensin complex non-SMC subunit Cnd1
SPBC776.11	rpl2801	K02900	60S ribosomal protein L28
SPAC1B2.04	cox6	K02264	cytochrome c oxidase subunit VI (predicted)
SPBC776.14	plh1	K00679	phospholipid-diacylglycerol acyltransferase Plh1 
SPAC1006.01	psp3	K01417	vacuolar serine protease Psp3 (predicted) 
SPCC16A11.06c	gpi10	K05286	pig-B (predicted) 
SPAC6B12.10c	spp1	K02684	DNA primase catalytic subunit Spp1
SPBC1198.11c	reb1	K09424	RNA polymerase I transcription termination factor Reb1
SPBPB21E7.01c	eno102	K01689	enolase (predicted)
SPBC25H2.04c	tim22	K17790	TIM22 inner membrane protein import complex subunit Tim22 (predicted)
SPBC557.03c	pim1	K11493	Ran GDP/GTP exchange factor
SPAC57A7.04c	pabP	K13126	mRNA export shuttling protein
SPBC216.07c	tor2	K07203	phosphatidylinositol kinase Tor2 
SPBC651.01c	nog1	K06943	GTP binding protein Nog1 (predicted)
SPAC23H3.07c	mrp2	K02954	mitochondrial ribosomal protein subunit S14 (predicted)
SPAC4D7.10c	spt20	K11361	SAGA complex subunit Spt20
SPBC26H8.07c	nda3	K07375	tubulin beta Nda3
SPBC646.11	cct6	K09498	chaperonin-containing T-complex zeta subunit Cct6
SPACUNK4.12c	mug138	K01408	metallopeptidase (predicted)
SPAC31A2.05c	mis4	K06672	adherin, cohesin loading factor Mis4
SPBP35G2.09	usp103	K11095	U1 snRNP-associated protein Usp103 (predicted)
SPBP35G2.07	ilv1	K01652	acetolactate synthase catalytic subunit 
SPAC12G12.05c	taf9	K03133	SAGA complex/transcription initiation factor Taf9
SPAC20G4.01	caf16	K12608	CCR4-Not complex subunit Caf16 (predicted)
SPCC1223.07c	drs1	K01876	cytoplasmic aspartate-tRNA ligase Drs1 (predicted) 
SPAC27F1.03c	uch1	K05609	ubiquitin C-terminal hydrolase Uch1
SPAC4G8.05	ppk14	K08286	serine/threonine protein kinase Ppk14 (predicted)
SPAC139.04c	fap2	K17833	L-saccharopine oxidase
SPBC26H8.09c	snf59	K11761	SWI/SNF complex subunit Snf59
SPAC57A10.11c	tim40	K17782	TIM22 inner membrane protein import complex subunit Tim40 (predicted)
SPAC1002.09c	dld1	K00382	dihydrolipoamide dehydrogenase Dld1 
SPAC1B3.07c	vps28	K12184	ESCRT I complex subunit Vps28
SPAC18G6.14c	rps7	K02993	40S ribosomal protein S7
SPAC26H5.03	pcf2	K10751	CAF assembly factor (CAF-1) complex subunit B, Pcf2
SPAC26H5.06	pot1	K11109	telomere end-binding protein Pot1
SPAC3H5.06c	pol1	K02320	DNA polymerase alpha catalytic subunit 
SPAC17A2.03c	vma6	K02146	V-type ATPase V0 subunit d (predicted) 
SPCC970.10c	brl2	K10696	ubiquitin-protein ligase E3 Brl2
SPBC12C2.10c	pst1	K11644	Clr6 histone deacetylase complex subunit Pst1
SPBC18E5.06	rps21	K02971	40S ribosomal protein S21
SPBC18E5.04	rpl1001	K02866	60S ribosomal protein L10
SPBC106.02c	srx1	K12260	sulfiredoxin
SPBP8B7.03c	rpl402	K02930	60S ribosomal protein L4
SPAC1002.02	pom34	K18724	nucleoporin Pom34
SPBC577.12	mug71	K06927	endoribonuclease (predicted)
SPAC6G9.07c	arc4	K05755	ARP2/3 actin-organizing complex subunit Arc4
SPBC3B9.18c	vma7	K02151	V-type ATPase V1 subunit F (predicted) 
SPAC19E9.01c	nup40	K14313	nucleoporin Nup40
SPCC31H12.08c	ccr4	K12603	CCR4-Not complex subunit Ccr4 (predicted)
SPBC4C3.10c	pre3	K02738	20S proteasome component beta 1 Pre3 (predicted) 
SPBC725.13c	psf2	K10733	GINS complex subunit Psf2
SPBP22H7.07	prp5	K12862	WD repeat protein Prp5
SPCC1223.10c	eaf1	K15186	RNA polymerase II transcription elongation factor SpEAF
SPBP4H10.20	nhm1	K12584	m7G(5')PppN diphosphatase (predicted)
SPAC3H1.01c	orc3	K02605	origin recognition complex subunit Orp3 (predicted)
SPAC19G12.01c	cut20	K03351	anaphase-promoting complex subunit Apc4
SPAC589.08c	dam1	K02307	DASH complex subunit Dam1
SPAP27G11.04c	tad3	K15442	tRNA specific adenosine deaminase subunit Tad3
SPBC1105.12	hhf3	K11254	histone H4 h4.3
SPAC25H1.09	mde5	K01176	alpha-amylase 
SPBC1A4.08c	cct3	K09495	chaperonin-containing T-complex gamma subunit Cct3
SPAC26F1.10c	pyp1	K01104	tyrosine phosphatase Pyp1 
SPBP26C9.02c	car1	K01476	arginase Car1 
SPCC1620.09c	tfg1	K03138	transcription factor TFIIF complex alpha subunit Tfg1 (predicted)
SPBC11C11.09c	rpl502	K02932	60S ribosomal protein L5
SPBC839.04	rpl803	K02938	60S ribosomal protein L2
SPBC839.06	cta3	K01537	P-type ATPase, calcium transporting Cta3
SPBC839.07	ibp1	K18065	Cdc25 family phosphatase Ibp1 
SPBC3B9.22c	dad4	K11569	DASH complex subunit Dad4
SPAC30.01c	sec72	K18442	Sec7 domain protein, ARF GEF Sec72
SPAC222.05c	mss1	K03650	mitochondrial GTPase (predicted)
SPAC1B3.18c	mrps18	K02948	mitochondrial ribosomal protein subunit S18 (predicted)
SPAC5H10.06c	adh4	K13954	alcohol dehydrogenase Adh4 
SPBC725.17c	rrn11	K15222	RNA polymerase I transcription factor subunit Rrn11 (predicted)
SPAC227.18	lys3	K00290	saccharopine dehydrogenase Lys3 
SPAC4A8.11c	fas2	K00667	fatty acid synthase alpha subunit Lsd1 
SPBC29A3.14c	trt1	K11126	telomerase reverse transcriptase 1 protein Trt1
SPAC22F3.10c	gcs1	K11204	glutamate-cysteine ligase Gcs1 
SPBC11G11.07	mtr10	K15436	karyopherin, nuclear import receptor Mtr10 (predicted)
SPBC11G11.03	mrt4	K14815	mRNA turnover and ribosome assembly protein Mrt4 (predicted)
SPBC11G11.01	fis1	K17969	mitochondrial fission protein Fis1 (predicted)
SPAC6G9.09c	rpl2401	K02896	60S ribosomal protein L24
SPAC4F8.15	itr1	K08150	myo-inositol transporter Itr1
SPCC895.05	for3	K17971	formin For3
SPCC895.07	alp14	K16803	microtubule polymerase alp14
SPCC895.06	elp2	K11374	elongator complex subunit Elp2 (predicted)
SPAC4G8.11c	atp10	K18192	F1-F0 ATPase assembly protein (predicted)
SPBC1A4.06c	tam41	K17807	mitochondrial matrix protein import protein Tam41 (predicted)
SPBC16H5.10c	prp43	K12820	ATP-dependent RNA helicase Prp43 (predicted)
SPCC1442.10c	rpb3	K03011	RNA polymerase II subunit 3
SPAC29B12.01	ino80	K11665	SNF2 family helicase Ino80
SPAC664.02c	arp8	K11673	actin-like protein Arp8
SPAC1F3.07c	rsc58	K11766	RSC complex subunit Rsc58
SPAC29B12.04	snz1	K06215	pyridoxine biosynthesis protein
SPBC18H10.12c	rpl701	K02937	60S ribosomal protein L7
SPAC9G1.13c	swc4	K11324	Swr1 complex subunit Swc4
SPAC513.01c	eft201	K03234	translation elongation factor 2 (EF-2) Eft2,A
SPBC365.06	pmt3	K12160	ubiquitin-like protein
SPBC11B10.01	alg2	K03843	mannosyltransferase complex subunit Alg2 (predicted)
SPBC11B10.09	cdc2	K04563	cyclin-dependent protein kinase Cdk1/Cdc2
SPBC15D4.06	naa30	K00670	NatC N-acetyltransferase complex catalytic subunit Naa30 (predicted)
SPBC216.06c	swi1	K10997	replication fork protection complex subunit Swi1
SPBC15D4.03	slm9	K11293	hira protein Slm9
SPBC27B12.06	gpi13	K05288	pig-O (predicted)
SPAC806.07	ndk1	K00940	nucleoside diphosphate kinase Ndk1 
SPAC26A3.03c	rmi1	K15364	RecQ mediated genome instability protein Rmi1 (predicted)
SPBC3B9.09	vps36	K12190	ESCRT II complex subunit Vps36
SPAC56F8.04c	ppt1	K06125	para-hydroxybenzoate--polyprenyltransferase Ppt1 
SPCC24B10.09	rps1702	K02962	40S ribosomal protein S17
SPCC24B10.05	tim9	K17777	Tim9-Tim10 complex subunit Tim9 (predicted)
SPCC24B10.07	gad8	K13303	AGC family protein kinase Gad8
SPCC74.05	rpl2702	K02901	60S ribosomal protein L27
SPBC21C3.05	sap62	K12826	zinc finger protein Sap62
SPAC21E11.05c	cyp8	K10598	cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp8 
SPAC23H3.10	ssr2	K11649	SWI/SNF and RSC complex subunit Ssr2
SPBC887.03c	noc3	K14834	Noc2p-Noc3p complex subunit Noc3 (predicted)
SPAC15A10.13	ppk3	K08876	HEAT repeat protein Ppk3
SPAC27F1.02c	cdc8	K17945	tropomyosin
SPAC17G8.01c	trl1	K14679	tRNA ligase Trl1 (predicted)
SPBC839.09c	mrp21	K17415	mitochondrial ribosomal protein subunit Mrp21 (predicted)
SPBC543.03c	pku80	K10885	Ku domain protein Pku80
SPAC20G8.03	itr2	K08150	MFS myo-inositol transporter
SPAC20G8.01	cdc17	K10747	ATP-dependent DNA ligase Cdc17 
SPBC30D10.10c	tor1	K07203	phosphatidylinositol kinase Tor1 
SPAC22A12.13	mug84	K03861	pig-P subunit (predicted)
SPAC1782.10c	nhp2	K11129	box H/ACA snoRNP complex subunit Nhp2
SPAC31A2.03	mrpl11	K02864	mitochondrial ribosomal protein subunit L11 (predicted)
SPBC1709.20	pop8	K14528	RNase P and RNase MRP subunit Pop8 (predicted)
SPAC24H6.12c	uba3	K10686	NEDD8 activating enzyme
SPAC1687.16c	erg31	K00227	C-5 sterol desaturase Erg31 
SPAC19B12.09	srp14	K03104	signal recognition particle subunit Srp14
SPBC6B1.05c	atg7	K08337	ubiquitin-like conjugating enzyme Atg7
SPBC12D12.08c	ned8	K12158	ubiquitin-like protein modifier Ned8
SPAC8C9.15c	tif225	K03240	translation initiation factor eIF2B epsilon subunit (predicted)
SPCC16A11.12c	ubp1	K11870	ubiquitin C-terminal hydrolase Ubp1
SPBC23G7.11	mag2	K01247	DNA-3-methyladenine glycosidase Mag2 
SPAC13A11.04c	ubp8	K11366	SAGA complex ubiquitin C-terminal hydrolase Ubp8
SPBC1105.11c	hht3	K11253	histone H3 h3.3
SPAC19D5.11c	ctf8	K11270	DNA replication factor C complex subunit Ctf8 (predicted)
SPAC23A1.03	apt1	K00759	adenine phosphoribosyltransferase 
SPAC12B10.12c	rhp41	K10838	DNA repair protein Rhp41
SPBC354.02c	sec61	K10956	translocon alpha subunit Sec61
SPBC947.11c	elg1	K11134	DNA replication factor C complex subunit Elg1
SPAC1556.04c	cdd1	K01489	cytidine deaminase Ccd1 (predicted) 
SPAC23G3.01	rpb2	K03010	RNA polymerase II complex subunit Rpb2 
SPAC1F3.10c	oct1	K01410	mitochondrial intermediate peptidase Oct1 (predicted) 
SPBC342.01c	alg6	K03848	glucosyltransferase Alg6 (predicted)
SPAC20H4.10	ufd2	K10597	ubiquitin-protein ligase E4 (predicted)
SPAC4G8.10	gos1	K08495	SNARE Gos1 (predicted)
SPCC330.05c	ura4	K01591	orotidine 5'-phosphate decarboxylase Ura4 
SPBC31F10.13c	hip1	K11293	hira protein, histone chaperone Hip1
SPCC576.08c	rps2	K02981	40S ribosomal protein S2
SPCC4B3.01	tum1	K01011	thiosulfate sulfurtransferase, involved in tRNA wobble position thiolation Tum1 (predicted)
SPAC56E4.06c	ggt2	K00681	gamma-glutamyltranspeptidase Ggt2 
SPAPB1E7.06c	eme1	K10882	Holliday junction resolvase subunit Eme1 
SPAC29E6.04	nnf1	K11562	kinetochore protein Nnf1
SPAC29E6.01	pof11	K03362	F-box protein Pof11
SPAC29E6.02	prp3	K12843	U4/U6 X U5 tri-snRNP complex subunit Prp3 (predicted)
SPAC7D4.06c	alg3	K03845	dolichol-P-Man dependent alpha(1-3) mannosyltransferase Alg3 (predicted) 
SPAC29E6.08	tbp1	K03120	TATA-binding protein (TBP)
SPAC589.07c	atg18	K17908	WD repeat protein involved in autophagy Atg18a
SPAC2F3.17c	lsm6	K12625	U6 snRNP-associated protein Lsm6 (predicted)
SPCC663.04	rpl39	K02924	60S ribosomal protein L39
SPAC458.07	tfa1	K03136	transcription factor TFIIE alpha subunit, TFIIEA, Tfa1
SPAC15A10.03c	rhp54	K10875	DNA repair protein
SPBC4F6.04	rpl2502	K02893	60S ribosomal protein L25
SPBC29A10.14	rec8	K12780	meiotic cohesin complex subunit Rec8
SPBC29A10.15	orc1	K02603	origin recognition complex subunit Orc1
SPBC29A10.13	atp7	K02138	F0-ATPase subunit D (predicted) 
SPAC26H5.12	rpo41	K10908	mitochondrial RNA polymerase Rpo41 
SPBC25B2.09c	mrs1	K01887	mitochondrial and cytoplasmic arginine-tRNA ligase Rrs1/Mrs1 (predicted) 
SPCC74.03c	ssp2	K12761	serine/threonine protein kinase Ssp2
SPAC24C9.14	otu1	K13719	ubiquitin-specific cysteine protease, OTU family, Otu1
SPAC1002.11	gaa1	K05289	GPI-anchor transamidase complex subunit Gaa1 (predicted)
SPBC1289.09	tim21	K17796	TIM23 translocase complex subunit Tim21 (predicted)
SPBC1289.08	uap1	K00972	UDP-N-acetylglucosamine diphosphorylase Uap1/Qri1(predicted) 
SPAC1002.14	itt1	K11971	ubiquitin-protein ligase E3 (predicted)
SPBC577.09	ckn1	K10570	hypothetical protein
SPAC17C9.02c	lys7	K06133	alpha-aminoadipate reductase phosphopantetheinyl transferase Lys7
SPAC31A2.08	mrp20	K02892	mitochondrial ribosomal protein subunit L23 (predicted)
SPBC577.02	rpl3801	K02923	60S ribosomal protein L38
SPBC577.07	ubp10	K12847	ubiquitin C-terminal hydrolase Ubp10 (predicted)
SPAC3H5.12c	rpl501	K02932	60S ribosomal protein L5
SPBC106.20	exo70	K07195	exocyst complex subunit Exo70 (predicted)
SPBC1198.09	ubc16	K10689	ubiquitin conjugating enzyme Ubc16 (predicted) 
SPBC1198.02	dea2	K01488	adenine deaminase Dea2 
SPCC338.17c	rad21	K06670	mitotic cohesin complex, non-SMC subunit Rad21 (kleisin)
SPAC26A3.15c	nsp1	K14306	nucleoporin Nsp1
SPBC32H8.02c	nep2	K08597	NEDD8 protease Nep2
SPCC191.09c	gst1	K00799	glutathione S-transferase Gst1 
SPAC24C9.16c	cox8	K02272	cytochrome c oxidase subunit VIII (predicted)
SPBC29A3.01	ccc2	K17686	copper transporting ATPase Ccc2 (predicted) 
SPAC23H3.05c	swd1	K14961	Set1C complex subunit Swd1
SPBC19C2.11c	mdm34	K17775	mitochondrial outer membrane protein Mdm34 (predicted)
SPAC1D4.10	trz1	K00784	3'-tRNA processing endonuclease tRNAse Z L2 Trz1 (predicted) 
SPAC31A2.15c	dcc1	K11271	Ctf18 RFC-like complex subunit Dcc1
SPAC6F6.07c	rps13	K02953	40S ribosomal protein S13
SPCC962.06c	bpb1	K13095	zinc finger splicing factor Bpb1
SPAC18B11.05	gpi18	K07542	pig-V, dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (predicted)
SPCC188.06c	srp54	K03106	signal recognition particle subunit Srp54
SPCC18.12c	utp23	K14773	rRNA processing protein Utp23 (predicted)
SPBC3D6.06c	prs5	K00948	ribose-phosphate pyrophosphokinase Prs5 (predicted) 
SPCC330.12c	sdh3	K00236	succinate dehydrogenase cytochrome b subunit
SPBC1773.14	arg7	K01755	argininosuccinate lyase 
SPBC1D7.02c	scr1	K09467	transcription factor Scr1
SPAPB2B4.01c	gpi12	K03434	pig-L, N-acetylglucosaminylphosphatidyl inositoldeacetylase (predicted) 
SPBC428.16c	rhb1	K07208	Rheb GTPase Rhb1
SPAC6F12.16c	mtr4	K12598	ATP-dependent RNA helicase, TRAMP complex subunit Mtr4
SPAC2F7.08c	snf5	K11648	SWI/SNF complex subunit Snf5
SPCC1259.03	rpa12	K03000	DNA-directed RNA polymerase complex I subunit Rpa12 
SPAC22A12.07c	ogm1	K00728	protein O-mannosyltransferase Ogm1 
SPAC4F8.03	sdo1	K14574	SBDS family ribosome maturation protein Sdo1 (predicted)
SPAC4F8.01	did4	K12191	ESCRT III complex subunit Did4
SPAC2G11.11c	prh1	K14781	ATP-dependent RNA helicase Prh1 (predicted)
SPCC1020.04c	rpb6	K03014	DNA-directed RNA polymerase I, II and III subunit Rpb6
SPAC824.08	gda1	K01526	guanosine-diphosphatase Gda1
SPAC13G7.03	upf3	K14328	hypothetical protein
SPBC4F6.18c	arf1	K07937	ADP-ribosylation factor, Arf family Arf1
SPAC2E1P5.01c	mns1	K01230	mannosyl-oligosaccharide 1,2-alpha-mannosidase
SPBC14F5.08	med7	K15148	mediator complex subunit Med7
SPAC4F8.14c	hcs1	K01641	3-hydroxy-3-methylglutaryl-CoA synthase 
SPAC18G6.02c	chp1	K11595	chromodomain protein Chp1
SPAC1782.11	met14	K00860	adenylyl-sulfate kinase (predicted)
SPBC365.10	arp5	K11672	actin-like protein Arp5
SPBC365.15	alp4	K16569	gamma tubulin complex Spc97/GCP2 subunit Alp4
SPCC285.17	spp27	K15223	RNA polymerase I upstream activation factor complex subunit Spp27
SPCC285.11	ucp10	K18726	UBA/UAS domain protein Ucp10 (predicted)
SPCC285.12	lsm7	K12626	U6 snRNP-associated protein Lsm7 (predicted)
SPAC1F5.11c	tra2	K08874	phosphatidylinositol kinase-related protein Tra2
SPBC119.13c	prp31	K12844	U4/U6 X U5 tri-snRNP complex subunit Prp31
SPAC22A12.09c	sap114	K12825	splicing factor Sap114
SPBC15D4.14	taf73	K03130	transcription initiation factor TFIID subunit taf73
SPBC15D4.15	pho2	K01101	4-nitrophenylphosphatase 
SPAC13G6.01c	rad8	K15505	ubiquitin-protein ligase E3 Rad8
SPAC222.04c	ies6	K11667	Ino80 complex subunit Ies6
SPBC18H10.06c	swd2	K14962	Set1C complex subunit Swd2.1
SPBC27B12.13	tom40	K11518	mitochondrial TOM complex subunit Tom40 (predicted)
SPBC17D11.07c	rpn2	K03032	19S proteasome regulatory subunit Rpn2 (predicted)
SPAC16A10.05c	dad1	K11553	DASH complex subunit Dad1
SPBP4G3.02	pho1	K01078	acid phosphatase Pho1 
SPAC1782.06c	phb1	K17080	prohibitin Phb1 (predicted)
SPCC645.03c	isa1	K13628	mitochondrial iron-sulfur protein Isa1
SPCC24B10.12	cgi121	K15901	EKC/KEOPS complex subunit Cgi121 (predicted)
SPAC22G7.06c	ura1	K11541	carbamoyl-phosphate synthase (glutamine hydrolyzing), aspartate carbamoyltransferase Ura1 
SPAC1556.05c	cgr1	K14822	ribosome biogenesis CGR1 family (predicted)
SPAC22H12.04c	rps102	K02984	40S ribosomal protein S1
SPAC11H11.06	arp2	K17260	ARP2/3 actin-organizing complex subunit Arp2
SPAC11H11.04	mam2	K11213	pheromone p-factor receptor
SPCC4B3.05c	hem12	K01599	uroporphyrinogen decarboxylase Hem12 (predicted) 
SPBC1734.12c	alg12	K03847	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase
SPAC3F10.03	grs1	K01880	mitochondrial and cytoplasmic glycine-tRNA ligase Grs1 (predicted) 
SPAC3F10.04	gsa1	K01920	glutathione synthetase large subunit Gsa1 
SPBC800.07c	tsf1	K02357	mitochondrial translation elongation factor EF-Ts Tsf1
SPBC428.01c	nup107	K14301	nucleoporin Nup107
SPAC22E12.10c	etp1	K02259	mitochondrial type I [2Fe-2S] ferredoxin Etp1/cytochrome oxidase cofactor Cox15, fusion
SPCC736.04c	gma12	K10971	alpha-1,2-galactosyltransferase Gma12 
SPBC11B10.02c	his3	K00817	histidinol-phosphate aminotransferase imidazole acetol phosphate transaminase His3 
SPBC1289.05c	vma10	K02152	V-type ATPase V1 domain subunit G (predicted) 
SPAC22A12.05	rpc11	K03019	DNA-directed RNA polymerase III complex subunit Rpc11 
SPBC1685.02c	rps1202	K02951	40S ribosomal protein S12
SPBC1709.18	tif452	K03259	translation initiation factor eIF4E 4F complex subunit
SPBC3B9.19	mge1	K03687	mitochondrial GrpE domain chaperone protein (predicted)
SPAC19B12.08	atg4	K08342	Atg8 deconjugator Atg4 (predicted)
SPBC1604.21c	ptr3	K03178	ubiquitin activating enzyme E1
SPAC19B12.04	rps3001	K02983	40S ribosomal protein S30
SPBC3B9.10	vti1	K08493	SNARE Vti1 (predicted)
SPBC25B2.11	pof2	K03360	F-box protein Pof2
SPAC19B12.03	bgs3	K00706	1,3-beta-glucan synthase subunit Bgs3 
SPBC23G7.05	sui1	K03113	translation initiation factor eIF1
SPAC16E8.09	scd1	K11236	RhoGEF Scd1
SPAC23A1.10	tef102	K03231	translation elongation factor EF-1 alpha Ef1a-b
SPAC23A1.11	rpl1602	K02872	60S ribosomal protein L16
SPAC23G3.11	rpn6	K03036	19S proteasome regulatory subunit Rpn6 (predicted)
SPAC521.05	rps802	K02995	40S ribosomal protein S8
SPCC1223.05c	rpl3702	K02922	60S ribosomal protein L37
SPAC1B1.03c	kap95	K14293	karyopherin Kap95
SPBC1773.08c	omh4	K03854	alpha-1,2-mannosyltransferase Omh4 (predicted) 
SPAC2E1P3.04	cao1	K00276	copper amine oxidase Cao1 
SPBC32H8.10	cdk9	K15562	P-TEFb-associated cyclin-dependent protein kinase Cdk9
SPBC30D10.13c	pdb1	K00162	pyruvate dehydrogenase E1 component beta subunit Pdb1 
SPAC16E8.14c	tae1	K16219	AdoMet dependent proline dimethyltransferase involved in translation Tea1 (predicted)
SPAC1834.03c	hhf1	K11254	histone H4 h4.1
SPBC1711.06	rpl401	K02930	60S ribosomal protein L4
SPCP25A2.02c	rhp26	K10841	SNF2 family helicase Rhp26
SPBC18H10.02	lcf1	K01897	long-chain-fatty-acid-CoA ligase Lcf1 
SPBC18H10.03	tif35	K03248	translation initiation factor eIF3g
SPBC19F8.06c	meu22	K16261	amino-acid permease
SPBC1604.14c	shk1	K04409	PAK-related kinase Shk1
SPAC22F8.11	plc1	K05857	phosphoinositide phospholipase C Plc1 
SPBC29A10.07	pom152	K18725	nucleoporin Pom152
SPBP8B7.01c	pop7	K14527	RNAseP RNAse MRP subunit Pop7 (predicted)
SPBC29A10.05	exo1	K10746	exonuclease I Exo1
