Dmel_CG43398	scrib	K16175	scribbled
11907	Ent1	K15014	Equilibrative nucleoside transporter 1
Dmel_CG6480	FRG1	K13122	FSHD region gene 1 ortholog (H. sapiens)
Dmel_CG6486	Pex7	K13341	Peroxin 7
10895	lok	K06641	loki 
Dmel_CG6957	Oscillin	K02564	CG6957 gene product from transcript CG6957-RC 
Dmel_CG6958	Nup133	K14300	Nucleoporin 133kD
Dmel_CG14444	APC7	K03354	Anaphase Promoting Complex subunit 7
Dmel_CG6489	Hsp70Bc	K03283	Heat-shock-protein-70Bc
9327	Prosalpha3	K02728	Proteasome alpha3 subunit 
Dmel_CG3026	mus81	K08991	CG3026 gene product from transcript CG3026-RA 
33818	His3:CG33818	K11253	CG33818 gene product from transcript CG33818-RA
33862	His2A:CG33862	K11251	CG33862 gene product from transcript CG33862-RA
Dmel_CG33858	His1:CG33858	K11275	CG33858 gene product from transcript CG33858-RA
Dmel_CG6504	Pkd2	K04986	Polycystic kidney disease 2 ortholog (H. sapiens)
Dmel_CG1900	Rab40	K07928	CG1900 gene product from transcript CG1900-RA
Dmel_CG7576	Rab3	K07883	CG7576 gene product from transcript CG7576-RA
Dmel_CG1906	alph	K04461	alphabet
Dmel_CG4758	Trp1	K12275	Translocation protein 1
Dmel_CG6008	NP15.6	K11351	CG6008 gene product from transcript CG6008-RA
Dmel_CG6009	P5cr	K00286	Pyrroline 5-carboyxlate reductase 
Dmel_CG6554	Art1	K11434	Arginine methyltransferase 1 
Dmel_CG3075	Nf-YC	K08066	Nuclear factor Y-box C
33866	His3:CG33866	K11253	CG33866 gene product from transcript CG33866-RA
Dmel_CG6551	fu	K06228	fused 
Dmel_CG33130	Patronin	K17493	CG33130 gene product from transcript CG33130-RN
Dmel_CR33445	5SrRNA:CR33445	K01981	5S ribosomal RNA
Dmel_CG4886	cyp33	K09564	cyclophilin-33 
Dmel_CG6056	AP-2sigma	K11827	Adaptor Protein complex 2, sigma subunit
Dmel_CG7758	ppl	K02437	pumpless
Dmel_CG7977	RpL23A	K02893	Ribosomal protein L23A
Dmel_CG32531	mRpS14	K02954	mitochondrial ribosomal protein S14
Dmel_CG7754	iotaTry	K01312	iotaTrypsin 
Dmel_CG7757	Prp3	K12843	Precursor RNA processing 3
Dmel_CG7756	Hsc70-2	K03283	Heat shock protein cognate 2
Dmel_CG4889	wg	K03209	wingless
33214	Glg1	K06816	Golgi complex-localized glycoprotein 1
9746	ird1	K08333	immune response deficient 1 
Dmel_CG3210	Drp1	K17065	Dynamin related protein 1
6988	Pdi	K09580	Protein disulfide isomerase 
Dmel_CG3455	Rpt4	K03064	Regulatory particle triple-A ATPase 4 
Dmel_CG3218	fs(1)K10	K02524	female sterile (1) K10
Dmel_CG3219	Klp59C	K10393	Kinesin-like protein at 59C
Dmel_CG4954	eIF3-S8	K03252	CG4954 gene product from transcript CG4954-RB
Dmel_CG16720	5-HT1A	K04153	5-hydroxytryptamine (serotonin) receptor 1A
Dmel_CG31390	MED7	K15148	Mediator complex subunit 7
Dmel_CG16725	Smn	K13129	survival motor neuron
1216	mri	K00864	mrityu 
7479	Aats-leu	K01869	Leucyl-tRNA synthetase 
Dmel_CG10842	Cyp4p1	K15001	Cytochrome P450-4p1 
Dmel_CG33809	His3:CG33809	K11253	CG33809 gene product from transcript CG33809-RA
Dmel_CG3187	Sirt4	K11414	CG3187 gene product from transcript CG3187-RC
Dmel_CG12251	AQP	K09884	aquaporin
Dmel_CG30329	Vha100-3	K02154	Vacuolar H[+] ATPase 100kD subunit 3 
Dmel_CG6877	Atg3	K08343	Autophagy-specific gene 3
Dmel_CG32604	l(1)G0007	K12815	lethal (1) G0007 
8830	DUBAI	K11854	Deubiquitinating apoptotic inhibitor
33850	His2A:CG33850	K11251	CG33850 gene product from transcript CG33850-RA
40293	Stlk	K08271	Ste20-like kinase 
30329	Vha100-3	K02154	Vacuolar H[+] ATPase 100kD subunit 3 
Dmel_CG30481	mRpL53	K17434	mitochondrial ribosomal protein L53
Dmel_CG33869	His4:CG33869	K11254	CG33869 gene product from transcript CG33869-RA
33503	Cyp12d1-d	K15004	CG33503 gene product from transcript CG33503-RA 
33856	His2A:CG33856	K11251	CG33856 gene product from transcript CG33856-RA
2867	Prat	K00764	Phosphoribosylamidotransferase 
Dmel_CG33865	His2A:CG33865	K11251	CG33865 gene product from transcript CG33865-RA
Dmel_CG33864	His1:CG33864	K11275	CG33864 gene product from transcript CG33864-RA
Dmel_CG4317	Mipp2	K03103	Multiple inositol polyphosphate phosphatase 2 
Dmel_CG33861	His1:CG33861	K11275	CG33861 gene product from transcript CG33861-RA
Dmel_CG4311	Hmgs	K01641	HMG Coenzyme A synthase 
Dmel_CG33863	His3:CG33863	K11253	CG33863 gene product from transcript CG33863-RA
Dmel_CG8553	SelD	K01008	Selenide,water dikinase 
Dmel_CG7939	RpL32	K02912	Ribosomal protein L32
Dmel_CG17759	Galphaq	K04634	G protein alpha q subunit
Dmel_CG3869	Marf	K06030	Mitochondrial assembly regulatory factor
7678	Vha100-4	K02154	Vacuolar H[+] ATPase 100kD subunit 4 
17828	mod(r)	K12185	modifier of rudimentary
Dmel_CG3856	Oamb	K04165	Octopamine receptor in mushroom bodies
Dmel_CG3504	inaD	K13804	inactivation no afterpotential D
Dmel_CG3850	sug	K09233	sugarbabe
Dmel_CG3851	odd	K09215	odd skipped
Dmel_CG31641	stai	K04381	stathmin
Dmel_CG9916	Cyp1	K09565	Cyclophilin 1 
Dmel_CG9913	Kif19A	K10401	Kinesin family member 19A ortholog
Dmel_CG8426	Not3	K12580	CG8426 gene product from transcript CG8426-RB
Dmel_CG8427	SmD3	K11088	Small ribonucleoprotein particle protein SmD3
Dmel_CG8425	Jhe	K01063	Juvenile hormone esterase 
Dmel_CG8422	Dh44-R1	K04578	Diuretic hormone 44 receptor 1
Dmel_CG1643	Atg5	K08339	Autophagy-specific gene 5
Dmel_CG3696	kis	K14437	kismet 
Dmel_CG3697	mei-9	K10848	meiotic 9
14396	Ret	K05126	Ret oncogene 
Dmel_CG8069	Phax	K14291	Phosphorylated adaptor for RNA export
33890	His2B:CG33890	K11252	CG33890 gene product from transcript CG33890-RA
Dmel_CG7199	Hr78	K14031	Hormone-receptor-like in 78
Dmel_CG18729	Zwilch	K11579	CG18729 gene product from transcript CG18729-RA
Dmel_CG1883	RpS7	K02993	Ribosomal protein S7
15444	ine	K05039	inebriated
Dmel_CG9553	chic	K05759	chickadee
15441	Gs1l	K17623	GS1-like 
Dmel_CG5996	Trpgamma	K05328	Transient receptor potential cation channel gamma
4252	mei-41	K06640	meiotic 41 
Dmel_CG32693	Gr9a	K08471	Gustatory receptor 9a
31692	fbp	K03841	fructose-1,6-bisphosphatase 
Dmel_CG2087	PEK	K08860	pancreatic eIF-2alpha kinase 
Dmel_CG1120	IntS10	K13147	Integrator 10
Dmel_CG1121	alpha-Est8	K01066	alpha-Esterase-8 
Dmel_CG4402	lox2	K00280	lysyl oxidase-like 2 
Dmel_CG1691	Imp	K17391	IGF-II mRNA-binding protein
Dmel_CG1696	Dd	K17617	Dullard 
10711	Vps36	K12190	Vacuolar protein sorting 36
Dmel_CG9597	Pbp45	K15208	PSEA-binding protein 45kD
17596	S6kII	K04373	Ribosomal protein S6 kinase II 
Dmel_CG3710	TfIIS	K03145	RNA polymerase II elongation factor
5520	Gp93	K09487	Glycoprotein 93
Dmel_CG7998	Mdh2	K00026	Malate dehydrogenase 2 
Dmel_CG6189	l(1)1Bi	K02331	lethal (1) 1Bi 
Dmel_CG9359	betaTub85D	K07375	beta-Tubulin at 85D
Dmel_CG7993	Non3	K14847	Novel nucleolar protein 3
33898	His2B:CG33898	K11252	CG33898 gene product from transcript CG33898-RA
Dmel_CG17911	Or85c	K08471	Odorant receptor 85c
Dmel_CG9354	RpL34b	K02915	Ribosomal protein L34b
Dmel_CG9353	mRpL54	K17435	mitochondrial ribosomal protein L54
Dmel_CG17916	Or92a	K08471	Odorant receptor 92a
Dmel_CG9351	flfl	K17491	falafel
Dmel_CG42569	Larp7	K15191	La related protein 7
Dmel_CG6577	can	K03130	cannonball
8766	Taz	K13511	Tafazzin 
Dmel_CG4088	lat	K02605	latheo
Dmel_CR33443	5SrRNA:CR33443	K01981	5S ribosomal RNA
Dmel_CG9591	omd	K13142	oocyte maintenance defects
Dmel_CG4086	Su(P)	K05309	Suppressor of ref(2)P sterility
Dmel_CG4087	RpLP1	K02942	Ribosomal protein LP1
Dmel_CG4082	Mcm5	K02209	Minichromosome maintenance 5
Dmel_CG4083	Mo25	K08272	CG4083 gene product from transcript CG4083-RA
Dmel_CG9177	eIF5	K03262	CG9177 gene product from transcript CG9177-RD
Dmel_CG1429	Mef2	K09263	Myocyte enhancer factor 2
Dmel_CG5682	Edem2	K10086	CG5682 gene product from transcript CG5682-RA 
Dmel_CG5684	Pop2	K12581	CG5684 gene product from transcript CG5684-RA 
Dmel_CG5686	chico	K16172	CG5686 gene product from transcript CG5686-RB
Dmel_CG5688	Grip163	K16573	CG5688 gene product from transcript CG5688-RA
8385	Arf79F	K07937	ADP ribosylation factor at 79F
8380	DAT	K05036	Dopamine transporter
Dmel_CG1345	Gfat2	K00820	Glutamine:fructose-6-phosphate aminotransferase 2 
Dmel_CG5041	Tfb4	K03143	TFB4 ortholog (S. cerevisiae) 
Dmel_CG1347	Atg17	K17589	Autophagy-specific gene 17
Dmel_CG5047	mTerf3	K15032	CG5047 gene product from transcript CG5047-RA
Dmel_CG1341	Rpt1	K03061	Regulatory particle triple-A ATPase 1 
Dmel_CG11561	smo	K06226	smoothened
8014	Rme-8	K09533	Receptor mediated endocytosis 8
Dmel_CG11154	ATPsyn-beta	K02133	ATP synthase-beta 
Dmel_CG8328	E(spl)mdelta-HLH	K09090	Enhancer of split mdelta, helix-loop-helix
Dmel_CG4535	FKBP59	K09571	FK506-binding protein FKBP59 
7452	Syx17	K08491	Syntaxin 17
Dmel_CG9232	Galt	K00965	Galactose-1-phosphate uridylyltransferase 
Dmel_CG4532	pod1	K18619	CG4532 gene product from transcript CG4532-RG
33554	Nipped-A	K08874	CG33554 gene product from transcript CG33554-RE 
6578	phm	K10720	phantom 
4380	usp	K14030	ultraspiracle
Dmel_CG4539	Bka	K14566	Bekka
8493	Den1	K08597	Deneddylase 1
4268	Pitslre	K08818	CG4268 gene product from transcript CG4268-RA 
4591	Tsp86D	K17346	Tetraspanin 86D
Dmel_CG3931	Rrp4	K03679	CG3931 gene product from transcript CG3931-RA 
Dmel_CG42349	Pkcdelta	K06068	Protein kinase C delta 
Dmel_CG1389	tor	K12378	torso 
1378	tll	K08545	tailless
Dmel_CG42347	sqa	K00907	spaghetti-squash activator 
Dmel_CG5915	Rab7	K07897	CG5915 gene product from transcript CG5915-RA
Dmel_CG9772	Skp2	K03875	CG9772 gene product from transcript CG9772-RA
10967	Atg1	K08269	Autophagy-specific gene 1 
2331	TER94	K13525	CG2331 gene product from transcript CG2331-RA 
Dmel_CG2248	Rac1	K04392	CG2248 gene product from transcript CG2248-RB
Dmel_CG3050	Cyp6d5	K14999	CG3050 gene product from transcript CG3050-RA 
1242	Hsp83	K04079	Heat shock protein 83 
Dmel_CG2244	MTA1-like	K11660	CG2244 gene product from transcript CG2244-RC
Dmel_CG2245	nero	K06072	CG2245 gene product from transcript CG2245-RA 
Dmel_CG3051	AMPKalpha	K07198	AMP-activated protein kinase alpha subunit 
Dmel_CR33429	5SrRNA:CR33429	K01981	5S ribosomal RNA
Dmel_CG2241	Rpt6R	K03066	Regulatory particle triple-A ATPase 6-related 
33812	His3:CG33812	K11253	CG33812 gene product from transcript CG33812-RA
Dmel_CG5595	Sce	K10695	Sex combs extra 
Dmel_CG5266	Prosalpha2	K02726	Proteasome alpha2 subunit 
Dmel_CR33374	5SrRNA:CR33374	K01981	5S ribosomal RNA
4032	Abl	K06619	Abl tyrosine kinase 
Dmel_CR33372	5SrRNA:CR33372	K01981	5S ribosomal RNA
Dmel_CG6584	SelR	K07305	Selenoprotein R 
Dmel_CG2488	phr6-4	K02295	(6-4)-photolyase 
Dmel_CR33371	5SrRNA-Psi:CR33371	K01981	5S ribosomal RNA pseudogene
9712	TSG101	K12183	Tumor susceptibility gene 101 ortholog (H. sapiens)
Dmel_CG32848	VAChT	K14636	CG32848 gene product from transcript CG32848-RA
Dmel_CG42783	aPKC	K06069	atypical protein kinase C 
Dmel_CG10763	Gbeta5	K04539	CG10763 gene product from transcript CG10763-RA
Dmel_CG32849	Hex-t2	K00844	CG32849 gene product from transcript CG32849-RA 
5663	Dip-C	K14213	Dipeptidase C 
12351	deltaTry	K01312	deltaTrypsin 
Dmel_CG4063	ebi	K04508	CG4063 gene product from transcript CG4063-RA
Dmel_CG4621	YL-1	K11664	CG4621 gene product from transcript CG4621-RB 
Dmel_CG6007	gatA	K02433	glutamyl-tRNA amidotransferase subunit A 
6658	Ugt86Di	K00699	CG6658 gene product from transcript CG6658-RB 
Dmel_CG12891	whd	K08765	withered 
Dmel_CG4625	Dhap-at	K00649	Dihydroxyacetone phosphate acyltransferase 
Dmel_CG4626	fz4	K02354	frizzled 4
Dmel_CG16889	adat	K15440	CG16889 gene product from transcript CG16889-RA 
32538	nAChRalpha7	K05312	nicotinic Acetylcholine Receptor alpha7
Dmel_CG12878	btz	K14323	barentsz
6535	tefu	K04728	telomere fusion 
7526	frac	K17307	faulty attraction
Dmel_CG6578	phm	K10720	phantom 
7524	Src64B	K05704	Src oncogene at 64B 
Dmel_CG43744	bru-3	K13207	bruno-3
7528	Uba2	K10685	Smt3 activating enzyme 2
Dmel_CG12548	nompB	K16474	no mechanoreceptor potential B
12876	ALiX	K12200	ALG-2 interacting protein X
Dmel_CG5517	Ide	K01408	Insulin degrading metalloproteinase 
Dmel_CG13089	PIG-U	K05293	Phosphatidylinositol glycan anchor biosynthesis, class U ortholog (H. sapiens)
Dmel_CG10563	l(2)37Cd	K15202	lethal (2) 37Cd
Dmel_CG16869	Ance-2	K01283	CG16869 gene product from transcript CG16869-RA 
Dmel_CG5722	Npc1a	K12385	Niemann-Pick type C-1a
Dmel_CG7736	Syx6	K08498	Syntaxin 6
Dmel_CG11387	ct	K09313	cut
Dmel_CG5469	Gint3	K14011	GDI interacting protein 3
3068	aur	K11481	aurora 
Dmel_CG10498	cdc2c	K02206	CG10498 gene product from transcript CG10498-RC 
Dmel_CG2666	kkv	K00698	krotzkopf verkehrt 
6146	Top1	K03163	Topoisomerase 1 
Dmel_CG10493	Phlpp	K16340	PH domain leucine-rich repeat protein phosphatase
Dmel_CG5460	H	K06064	Hairless
Dmel_CG10491	vn	K16690	vein
6148	Past1	K12483	Putative Achaete Scute Target 1
Dmel_CG10497	Sdc	K16336	Syndecan
Dmel_CG5669	Spps	K09200	Sp1-like factor for pairing sensitive-silencing
6782	sea	K15100	scheggia
Dmel_CG6146	Top1	K03163	Topoisomerase 1 
32792	ppk8	K03440	pickpocket 8
Dmel_CG11990	hyx	K15175	hyrax
Dmel_CG5663	Dip-C	K14213	Dipeptidase C 
Dmel_CG15442	RpL27A	K02900	Ribosomal protein L27A
Dmel_CG10161	eIF-3p66	K03251	Eukaryotic initiation factor 3 p66 subunit
Dmel_CG10160	ImpL3	K00016	Ecdysone-inducible gene L3 
4720	Pk92B	K04426	Protein kinase at 92B 
Dmel_CG11567	Cpr	K00327	Cytochrome P450 reductase 
Dmel_CG40080	Haspin	K16315	CG40080 gene product from transcript CG40080-RA 
33827	His3:CG33827	K11253	CG33827 gene product from transcript CG33827-RA
Dmel_CG3234	tim	K12074	timeless
Dmel_CG3612	blw	K02132	bellwether 
Dmel_CG5358	Art4	K05931	Arginine methyltransferase 4 
Dmel_CG15667	Sara	K04679	Smad anchor for receptor activation
Dmel_CG17358	Taf12	K03126	TBP-associated factor 12
Dmel_CG11949	cora	K06107	coracle
Dmel_CG13849	Nop56	K14564	CG13849 gene product from transcript CG13849-RA
Dmel_CG11943	Nup205	K14310	Nucleoporin 205kD
Dmel_CG11941	skpC	K03094	CG11941 gene product from transcript CG11941-RA
Dmel_CG14396	Ret	K05126	Ret oncogene 
Dmel_CG10387	tos	K10746	tosca 
Dmel_CG10385	msl-1	K13163	male-specific lethal 1
Dmel_CG2060	Cyp4e2	K15001	Cytochrome P450-4e2 
11242	TBCB	K17262	tubulin-binding cofactor B
Dmel_CG2062	Cyp4e1	K15001	Cytochrome P450-4e1 
2272	slpr	K04417	slipper 
12000	Prosbeta7	K02736	Proteasome beta7 subunit 
Dmel_CG10388	Ubx	K09311	Ultrabithorax
Dmel_CG10545	Gbeta13F	K04536	G protein beta-subunit 13F
Dmel_CG33250	AlkB	K10765	CG33250 gene product from transcript CG33250-RA 
Dmel_CG10541	Tektin-C	K18628	Tektin C
Dmel_CG10540	cpa	K10364	capping protein alpha
Dmel_CG10542	Bre1	K10696	CG10542 gene product from transcript CG10542-RB 
43044	mir-100	K17041	mir-100 stem loop
Dmel_CG11015	CoVb	K02265	Cytochrome c oxidase subunit Vb 
Dmel_CG30295	Ipk1	K10572	CG30295 gene product from transcript CG30295-RB 
Dmel_CG33896	His2B:CG33896	K11252	CG33896 gene product from transcript CG33896-RA
Dmel_CG30293	Cht12	K01183	CG30293 gene product from transcript CG30293-RA 
Dmel_CR33391	5SrRNA:CR33391	K01981	5S ribosomal RNA
Dmel_CG11012	Ugt37a1	K00699	UDP-glycosyltransferase 37a1 
Dmel_CG30290	Ppcdc	K01598	Phosphopantothenoylcysteine decarboxylase 
17654	Eno	K01689	Enolase 
Dmel_CG14622	DAAM	K04512	Dishevelled Associated Activator of Morphogenesis
Dmel_CG6760	Pex1	K13338	Peroxin 1 
Dmel_CG6815	bor	K17681	belphegor 
9539	Sec61alpha	K10956	Sec61 alpha subunit
Dmel_CG6816	Cyp18a1	K14985	Cytochrome P450-18a1 
Dmel_CG6819	mbo	K14318	members only
11010	Ent3	K03323	Equilibrative nucleoside transporter 3
Dmel_CG6768	DNApol-epsilon	K02324	DNA polymerase epsilon 
Dmel_CG10944	RpS6	K02991	Ribosomal protein S6
7853	Papst2	K15277	PAPS transporter 2
Dmel_CG7865	Pngl	K01456	PNGase-like 
33803	His3:CG33803	K11253	CG33803 gene product from transcript CG33803-RA
Dmel_CG14084	Bet1	K08504	BET1 ortholog (S. cerevisiae)
Dmel_CG31478	mRpL9	K02939	mitochondrial ribosomal protein L9
Dmel_CR43018	ban	K16736	bantam
13281	Cas	K18423	CAS/CSE1 segregation protein
Dmel_CG32031	Argk	K00934	Arginine kinase 
Dmel_CG17280	levy	K02266	CG17280 gene product from transcript CG17280-RA 
