sll0289	minD	K03609	septum site-determining protein MinD
slr1604	ftsH	K03798	cell division protein FtsH
slr0833	dnaB	K02314	replicative DNA helicase
slr1167	gldA	K00005	glycerol dehydrogenase
slr1164	nrdA	K00525	ribonucleotide reductase subunit alpha
slr1165	sat	K00958	sulfate adenylyltransferase 
sll1937	fur	K03711	ferric uptake regulation protein
sll1933	dnaJ	K05516	DnaJ protein
sll1932	dnaK	K04043	molecular chaperone DnaK
sll1931	glyA	K00600	serine hydroxymethyltransferase 
slr1761	ytfC	K01802	FKBP-type peptidylprolyl isomerase
sll1721	pdhB	K00162	Pyruvate dehydrogenase E1 component subunit beta
sll1833	ftsI	K03587	penicillin-binding protein
sll1831	glcF	K11473	glycolate oxidase subunit (Fe-S) protein
ST6803r01	rrn5Sa	K01985	5S ribosomal RNA
ssl2153	rpiB	K01808	ribose phosphate isomerase B
sll1468	bhy	K02294	b-carotene hydroxylase
sll0534	clpP	K01358	ATP-dependent Clp protease proteolytic subunit
sll0535	clpX	K03544	ATP-dependent protease ATP-binding subunit ClpX
slr0917	bioF	K00652	8-amino-7-oxononanoate synthase 
sll0244	galE	K01784	UDP-glucose-4-epimerase
slr1332	fabF	K09458	3-oxoacyl-ACP synthase 
sll0754	rbfA	K02834	ribosome-binding factor A
sll1290	rnb	K01147	ribonuclease II
sll0058	dnaK	K04043	molecular chaperone DnaK
sll0750	sarA	K08479	adaptive-response sensory kinase
sll0356	trpF	K01817	N-(5'-phosphoribosyl)anthranilate isomerase 
sll1294	pilJ	K02660	methyl-accepting chemotaxis-like-protein
sll0753	folD	K01491	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
sll0053	accC	K01961	acetyl-CoA carboxylase biotin carboxylase subunit 
sll1801	rplW	K02892	50S ribosomal protein L23
sll1298	clcD	K01061	dienelactone hydrolase
sll1299	ackA	K00925	acetate kinase 
sll0057	grpE	K03687	heat shock protein GrpE
sll1816	rpsM	K02952	30S ribosomal protein S13
sll1017	amt2	K03320	ammonium/methylammonium permease
sll0221	bcp	K03564	bacterioferritin comigratory protein
slr1884	trpS	K01867	tryptophanyl-tRNA synthetase 
slr0237	glgX	K02438	glycogen operon protein GlgX
sll1703	sppA	K04773	endopeptidase IV
slr0943	fda	K01623	fructose-1,6-bisphosphate aldolase 
slr1882	ribF	K11753	bifunctional riboflavin kinase/FMN adenylyltransferase 
sll1810	rplF	K02933	50S ribosomal protein L6
slr0239	cbiF	K05936	precorrin methylase
sll0834	bicA	K03321	bicarbonate transporter
slr0949	livH	K11956	high-affinity branched-chain amino acid transport permease
slr2088	ilvG	K01652	acetolactate synthase 3 catalytic subunit 
slr2089	shc	K06045	squalene-hopene cyclase
sll1615	trmE	K03650	tRNA modification GTPase TrmE
sll1612	folC	K11754	folyl-polyglutamate synthetase
sll1812	rpsE	K02988	30S ribosomal protein S5
slr1118	rffM	K02852	UDP-N-acetyl-D-mannosaminuronic acid transferase
slr2081	tyrA	K15226	arogenate dehydrogenase
slr2082	ctaD	K02274	cytochrome C oxidase subunit I
slr2083	ctaE	K02276	cytochrome C oxidase subunit III
sll0336	accD	K01963	acetyl-CoA carboxylase subunit beta 
slr0469	rpsD	K02986	30S ribosomal protein S4
slr0743	nusA	K02600	transcription elongation factor NusA
sll1209	ligA	K01972	NAD-dependent DNA ligase LigA 
sml0005	psbK	K02712	photosystem II reaction center protein K
slr0747	ggtA	K10112	ATP-binding subunit of an ABC-type osmolyte transporter
sll1758	glmM	K03431	phosphoglucosamine mutase
slr0749	chlL	K04037	protochlorophyllide reductase iron-sulfur ATP-binding protein
slr1691	nadE	K01916	NAD synthetase 
slr1844	uvrA	K03701	excinuclease ABC subunit A
sll1206	iutA	K02014	ferric aerobactin receptor
sll1750	ureC	K01428	urease subunit alpha 
sll1577	cpcB	K02285	phycocyanin subunit B
slr1492	fecB	K02016	iron(III) dicitrate-binding periplasmic protein
sll1572	dnaE	K02337	DNA polymerase III subunit alpha
slr1490	fhuA	K02014	ferrichrome-iron receptor
sll1479	devB	K01057	6-phosphogluconolactonase
sll1244	rplI	K02939	50S ribosomal protein L9
sll1818	rpoA	K03040	DNA-directed RNA polymerase subunit alpha 
sll1470	leuC	K01703	isopropylmalate isomerase large subunit 
sll1578	cpcA	K02284	phycocyanin a subunit
sll0901	purE	K01588	phosphoribosylaminoimidazole carboxylase catalytic subunit
sll0900	hisG	K00765	ATP phosphoribosyltransferase 
sll1189	glcE	K11472	glycolate oxidase subunit GlcE
sll1187	lgt	K13292	prolipoprotein diacylglyceryl transferase
sll1184	ho1	K00510	heme oxygenase
sll1185	hemF	K00228	coproporphyrinogen III oxidase 
sll1182	petC	K02636	cytochrome B6/f complex iron-sulfur subunit
slr1945	yibO	K15633	phosphoglyceromutase 
sll1180	hlyB	K06147	HlyB family protein
slr0301	ppsA	K01007	phosphoenolpyruvate synthase 
slr1067	galE	K01784	UDP-glucose-4-epimerase
slr1347	icfA	K01673	carbonic anhydrase
slr1348	cysE	K00640	serine acetyltransferase
slr1349	pgi	K01810	glucose-6-phosphate isomerase 
sll1502	gltB	K00284	glutamate synthase
slr1185	petC	K02636	cytochrome B6-f complex iron-sulfur subunit
sll1501	cbiA	K02224	cobyrinic acid a,c-diamide synthase
slr1181	psbA1	K02703	photosystem II D1 protein
sll1056	purL	K01952	phosphoribosylformylglycinamidine synthase II 
sll1057	trx	K03671	thioredoxin
sll1058	dapB	K00215	dihydrodipicolinate reductase 
slr1022	argD	K00818	acetylornithine aminotransferase 
sll1508	lpxC	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
slr1020	sqdB	K06118	sulfolipid biosynthesis protein SqdB
slr1706	dfrA	K00091	dihydroflavonol 4-reductase
sll1987	katG	K03782	catalase HPI
ssl1426	rpmI	K02916	50S ribosomal protein L35
sll1981	ilvB	K01652	acetolactate synthase
sll1988	hslO	K04083	heat shock protein 33
sll1002	ycf22	K02067	hypothetical protein
slr0044	nrtD	K11953	nitrate transport protein NrtD
slr0043	nrtC	K11952	nitrate transport protein NrtC
slr0040	cmpA	K11950	bicarbonate transporter
slr0041	cmpB	K11951	hypothetical protein
slr0331	ndhD	K05575	NAD(P)H-quinone oxidoreductase subunit 4
slr1545	rpoE	K03088	RNA polymerase sigma factor RpoE
slr1469	rnpA	K03536	ribonuclease P 
slr1542	ispF	K01770	2-C-methyl-D-erythritol 2,4-cyclo diphosphate synthase 
ssl3335	secE	K03073	secretory protein SecE
slr1887	hemC	K01749	porphobilinogen deaminase 
slr0228	ftsH	K03798	cell division protein FtsH
slr1549	def	K01462	peptide deformylase 
sll0856	rpoE	K03088	RNA polymerase sigma factor
sll1370	rfbM	K00971	GDP-mannose pyrophosphorylase
slr1238	gshB	K01920	glutathione synthetase 
slr1330	atpC	K02114	ATP synthase F0F1 subunit epsilon 
slr1237	codA	K01485	cytosine deaminase 
sll1051	cpcF	K02289	phycocyanin alpha phycocyanobilin lyase CpcF
slr1233	sdhA	K00239	succinate dehydrogenase flavoprotein subunit 
sll0207	rfbA	K00973	glucose-1-phosphate thymidylyltransferase
sll0179	gltX	K01885	glutamyl-tRNA synthetase 
ssl2598	psbH	K02709	photosystem II reaction center protein H
sll0170	dnaK	K04043	molecular chaperone DnaK
sll0171	gcvT	K00605	glycine cleavage system aminomethyltransferase T 
slr1720	aspS	K01876	aspartyl-tRNA synthetase 
slr1722	guaB	K00088	inosine 5-monophosphate dehydrogenase 
slr1723	lacG	K17246	lactose ABC transporter permease
sll1876	hemN	K02495	coproporphyrinogen III oxidase
sll1874	AT103	K04035	magnesium-protoporphyrin IX monomethyl ester cyclase
sll1875	ho2	K00510	heme oxygenase
slr1728	kdpA	K01546	potassium-transporting ATPase subunit A 
slr1729	kdpB	K01547	potassium-transporting ATPase subunit B 
slr0638	glyQ	K01878	glycyl-tRNA synthetase subunit alpha 
sll1404	exbB	K03561	biopolymer transport ExbB protein
sll0573	arcC	K00926	carbamate kinase 
sll0574	rfbA	K09690	integral membrane O-antigen translocator protein
sll0575	rfbB	K01990	ATP-binding protein
sll1514	hsp17	K13993	chaperone
sll0578	purK	K01589	phosphoribosylaminoimidazole carboxylase ATPase subunit 
slr0633	thiG	K03149	ThiG protein
slr0636	cobS	K02233	cobalamin synthase
sll1689	rpoD	K03087	RNA polymerase sigma factor
ssl0546	minE	K03608	cell division topological specificity factor MinE
ssl2296	phhB	K01724	pterin-4-alpha-carbinolamine dehydratase 
slr0886	fabG	K00059	3-ketoacyl-ACP reductase 
slr0884	gap1	K00134	glyceraldehyde-3-phosphate dehydrogenase
slr0502	cobW	K02234	CobW protein
sll1789	rpoC2	K03046	DNA-directed RNA polymerase subunit beta' 
slr1457	chrA	K07240	chromate transport protein
sll0657	mraY	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase 
sll0306	rpoD	K03087	RNA polymerase sigma factor
sll0712	cysM	K01738	cysteine synthase A
sll0876	ruvA	K03550	Holliday junction DNA helicase RuvA
sll0873	napC	K13747	carboxynorspermidine decarboxylase
sll1787	rpoB	K03043	DNA-directed RNA polymerase subunit beta 
slr1849	merA	K00520	mercuric reductase 
slr1848	hisD	K00013	histidinol dehydrogenase 
slr1099	ubiX	K03186	aromatic acid decarboxylase
slr0861	purT	K08289	phosphoribosylglycinamide formyltransferase 2
slr0862	lmbP	K07031	LmbP protein
sll1808	rplE	K02931	50S ribosomal protein L5
slr0903	moaE	K03635	molybdopterin (MPT) converting factor, subunit 2
slr1093	folK	K00950	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase
slr1843	zwf	K00036	glucose-6-phosphate 1-dehydrogenase 
slr1842	cysK	K01738	cysteine synthase
slr1096	phdD	K00382	dihydrolipoamide dehydrogenase 
slr0906	psbB	K02704	photosystem II CP47 protein
slr0905	bchE	K04034	Mg-protoporphyrin IX monomethyl ester oxidative cyclase 66 kD subunit
slr2043	zntC	K09815	zinc uptake ABC transporter substrate-binding protein
sll1807	rplX	K02895	50S ribosomal protein L24
sll1806	rplN	K02874	50S ribosomal protein L14
slr0707	polA	K02335	DNA polymerase I
sll1659	cofH	K11781	FO synthase subunit 2
slr1791	cysH	K00390	phosphoadenosine phosphosulfate reductase 
sll1802	rplB	K02886	50S ribosomal protein L2
slr1793	talB	K00616	transaldolase/EF-hand domain-containing protein 
sll0784	merR	K01502	nitrilase
slr1655	psaL	K02699	photosystem I reaction center protein subunit XI
slr1656	murG	K02563	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentape ptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
slr1651	hlyB	K06148	hemolysin secretion ATP-binding protein
sll1809	rpsH	K02994	30S ribosomal protein S8
sll0504	lysA	K01586	diaminopimelate decarboxylase
ssr1736	rpmF	K02911	50S ribosomal protein L32
sll0378	cysG	K02303	uroporphyrin-III C-methyltransferase 
sll0379	lpxA	K00677	UDP-N-acetylglucosamine acyltransferase 
sll0373	proA	K00147	gamma-glutamyl phosphate reductase
sll0370	carB	K01955	carbamoyl phosphate synthase large subunit 
sll0377	mfd	K03723	transcription-repair coupling factor
sll0374	braG	K11963	high-affinity branched-chain amino acid transport ATP-binding protein
sll0006	aspC	K10206	aspartate aminotransferase 
sll1538	bgl	K05349	beta-glucosidase
ssr2061	grxC	K03676	glutaredoxin
sll0002	ponA	K05366	penicillin-binding protein 1A
slr1984	rps1	K02945	30S ribosomal protein S1
sll1023	sucC	K01903	succinate--CoA ligase
slr1598	lipA	K03644	lipoyl synthase
sll1536	moeB	K11996	hypothetical protein
sll1027	gltD	K00266	NADH-glutamate synthase small subunit
slr1426	recR	K06187	recombination protein RecR
slr0346	rnc	K03685	ribonuclease III
slr1380	cydB	K00426	cytochrome oxidase d subunit II
slr0342	petB	K02635	cytochrome B6
sll0398	dgt	K01129	dGTP triphosphohydrolase
sll0764	livG	K11962	high-affinity branched-chain amino acid transport ATP-binding protein
slr0267	rbgA	K14540	ribosomal biogenesis GTPase
sll1633	ftsZ	K03531	cell division protein FtsZ
slr0260	cobA	K00798	cob(I)yrinic acid a,c-diamide adenosyltransferase 
slr0261	ndhH	K05579	NAD(P)H-quinone oxidoreductase subunit H
ssr0102	ycf40	K03154	hypothetical protein
slr0559	natB	K11954	neutral amino acids ABC transporter substrate-binding protein
sll1253	pcnB	K00974	poly(A) polymerase
smr0010	petG	K02640	cytochrome B6-f complex subunit PetG
smr0011	rpmH	K02914	50S ribosomal protein L34
slr0550	dapA	K01714	dihydrodipicolinate synthase 
sll1626	lexA	K01356	SOS function regulatory protein
sll1625	sdhB	K00240	succinate dehydrogenase iron-sulfur subunit 
sll1258	dcd	K01494	deoxycytidine triphosphate deaminase 
slr0557	valS	K01873	valyl-tRNA synthetase 
sll1444	leuD	K01704	isopropylmalate isomerase small subunit 
sll1443	pyrG	K01937	CTP synthetase 
sll1441	desB	K10257	delta 15 desaturase
sll1440	pdxH	K00275	pyridoxamine 5'-phosphate oxidase
sll1326	atpA	K02111	ATP synthase F0F1 subunit alpha 
sll1327	atpC	K02115	ATP synthase F0F1 subunit gamma 
sll1324	atpF	K02109	ATP synthase F0F1 subunit B 
sll1325	atpD	K02113	ATP synthase F0F1 subunit delta 
sll1322	atpI	K02108	ATP synthase F0F1 subunit A 
sll1323	atpG	K02109	ATP synthase F0F1 subunit B' 
sll1321	atp1	K02116	hypothetical protein
slr1933	rfbC	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase
slr0009	rbcL	K01601	ribulose bisophosphate carboxylase 
sll1261	tsf	K02357	elongation factor Ts
slr1938	mtnA	K08963	methylthioribose-1-phosphate isomerase 
sll1260	rpsB	K02967	30S ribosomal protein S2
slr0534	slt	K08309	lytic transglycosylase
sll0897	dnaJ	K03686	molecular chaperone DnaJ
sll0895	cysQ	K01082	ammonium transporter
ST6803s01	rnpB	K01978	RNA subunit of RNase P
sll0892	panD	K01579	aspartate alpha-decarboxylase 
sll0891	citH	K00024	2-ketoacid dehydrogenase malate dehydrogenase lactate dehydrogenase
slr0083	deaD	K05592	ATP-dependent RNA helicase DeaD
slr1279	ndhC	K05574	NADH dehydrogenase subunit A 
slr1890	bfr	K03594	bacterioferritin
sll0899	glmU	K04042	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
sll1077	speB	K01480	agmatine ureohydrolase
sml0007	psbY	K02723	photosystem II protein PsbY
sml0006	rpl36	K02919	50S ribosomal protein L36
sll1430	apt	K00759	adenine phosphoribosyltransferase 
sml0004	ycf6	K03689	cytochrome B6-f complex subunit PetN
sml0003	psbM	K02714	photosystem II reaction center protein M
sml0002	psbX	K02722	photosystem II PsbX protein
slr1072	yefA	K01711	GDP-D-mannose dehydratase
sll1435	gatB	K02434	aspartyl/glutamyl-tRNA amidotransferase subunit B
slr1879	cbiL	K03394	precorrin-2 methyltransferase 
slr1078	galE	K01784	UDP-glucose-4-epimerase
slr0163	pilC	K02653	pilin biogenesis protein
sml0008	psaJ	K02697	photosystem I reaction center subunit IX
slr0162	gspF	K02653	general secretion pathway protein F
slr0080	rnhA	K03469	ribonuclease H
slr0918	map	K01265	methionine aminopeptidase 
ssl0020	petF	K02639	ferredoxin
slr1202	lacF	K17245	lactose ABC transporter permease
slr0679	fmu_fmv	K03500	Fmu and Fmv protein
slr0677	exbB	K03561	biopolymer transport ExbB protein
slr0676	cysC	K00860	adenylylsulfate kinase 
slr2136	ispG	K03526	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase 
slr0321	era	K03595	GTP-binding protein Era
slr1434	pntB	K00325	pyridine nucleotide transhydrogenase subunit beta
slr1435	pmbA	K03592	PmbA protein
slr0077	nifS	K11717	NifS protein
slr2130	aroB	K01735	3-dehydroquinate synthase 
slr0075	ycf16	K09013	ABC transporter
sll0430	htpG	K04079	heat shock protein 90
slr0070	fmt	K00604	methionyl-tRNA formyltransferase 
slr0387	nifS	K04487	NifS protein
slr1200	livH	K11960	high-affinity branched-chain amino acid transport protein
slr0969	cbiH	K13541	precorrin methylase
sll0184	rpoD	K03087	RNA polymerase sigma factor SigC
slr1808	hemA	K02492	glutamyl-tRNA reductase
slr2007	ndhD	K05568	monovalent cation/H+ antiporter subunit D
slr2009	ndhF	K05568	monovalent cation/H+ antiporter subunit D
sll1580	cpcC	K02286	phycocyanin associated linker protein
sll0220	glmS	K00820	glucosamine--fructose-6-phosphate aminotransferase 
sll0593	glk	K00845	glucokinase 
slr1803	mbpA	K06223	adenine-specific methyltransferase
sll0223	ndhB	K05573	NAD(P)H-quinone oxidoreductase subunit 2
sll0227	ppiB	K03768	peptidyl-prolyl cis-trans isomerase B
slr1615	rfbE	K13010	perosamine synthetase
sll1143	uvrD	K03657	DNA helicase II
sll0300	ribC	K00793	riboflavin synthase subunit alpha 
slr1145	gltS	K03312	glutamate permease
slr0827	alr	K01775	alanine racemase 
ssr1386	ndhL	K05583	NADH dehydrogenase subunit NdhL
slr1751	prc	K03797	carboxyl-terminal protease
sll1581	gumB	K01991	GumB protein
sll1841	odhB	K00627	branched-chain alpha-keto acid dehydrogenase E2
slr1755	gpsA	K00057	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
sll1929	comEc	K02238	competence protein ComE
slr1756	glnA	K01915	glutamate--ammonia ligase
slr0713	tgt	K00773	queuine tRNA-ribosyltransferase 
sll1144	mraW	K03438	S-adenosyl-methyltransferase MraW
sll0136	pepP	K01262	aminopeptidase
slr0181	recO	K03584	DNA repair protein RecO
sll0502	argS	K01887	arginyl-tRNA synthetase 
slr0186	leuA	K01649	2-isopropylmalate synthase 
slr0185	pyrE	K00762	orotate phosphoribosyltransferase 
sll0760	hypothetical_protein	K01992	hypothetical protein
slr0659	prlC	K01414	oligopeptidase A
sll0825	pcnB	K00974	poly(A) polymerase
sll0823	sdhB	K00240	succinate dehydrogenase iron-sulfur subunit 
sll0767	rplT	K02887	50S ribosomal protein L20
sll0045	sps	K00696	sucrose phosphate synthase
sll0828	nylA	K01426	6-aminohexanoate-cyclic-dimer hydrolase
sll0829	rapQ	K03183	methyltransferase
sll0290	ppk	K00937	polyphosphate kinase 
slr0220	glyS	K01879	glycyl-tRNA synthetase subunit beta 
slr0951	ispD	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 
slr0952	fbp	K03841	fructose-1,6-bisphosphatase 
slr0902	moaC	K03637	bifunctional molybdopterin-guanine dinucleotide biosynthesis protein MoaC/MobA
slr0936	nadC	K00767	nicotinate-nucleotide pyrophosphorylase 
slr1898	argB	K00930	acetylglutamate kinase 
slr0229	mmsB	K00020	3-hydroxyisobutyrate dehydrogenase
slr0958	cysS	K01883	cysteinyl-tRNA synthetase 
slr1159	purD	K01945	phosphoribosylamine--glycine ligase 
slr2132	pta	K13788	phosphate acetyltransferase 
sll1451	nrtB	K15577	nitrate transport protein NrtB
sll1662	pheA	K04518	prephenate dehydratase 
slr0457	truB	K03177	tRNA pseudouridine synthase B
slr0900	moeA	K03750	molybdopterin biosynthesis
slr0452	ilvD	K01687	dihydroxy-acid dehydratase 
sll1669	aroK	K00891	shikimate kinase 
slr0597	purH	K00602	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase 
sll1099	tuf	K02358	elongation factor Tu 
sll0616	secA	K03070	preprotein translocase subunit SecA
sll0613	ruvB	K03551	Holliday junction DNA helicase RuvB 
sll1212	rfbD	K01711	GDP-D-mannose dehydratase
sll1745	rplJ	K02864	50S ribosomal protein L10
sll1746	rplL	K02935	50S ribosomal protein L7/L12
sll1747	aroC	K01736	chorismate synthase 
slr0752	eno	K01689	phosphopyruvate hydratase 
slr0750	chlN	K04038	light-independent protochlorophyllide reductase subunit N
sll1743	rplK	K02867	50S ribosomal protein L11
sll1564	leuA	K01649	alpha-isopropylmalate synthase
slr1795	msrA	K07304	methionine sulfoxide reductase A 
sll1566	otsA	K03692	alpha,alpha-trehalose-phosphate synthase
sll1561	putA	K13821	delta-1-pyrroline-5-carboxylate dehydrogenase
slr1295	sufA	K02012	iron transport protein
sll1805	rplP	K02878	50S ribosomal protein L16
sll1459	surE	K03787	stationary phase survival protein SurE 
sll1744	rplA	K02863	50S ribosomal protein L1
sll1804	rpsC	K02982	30S ribosomal protein S3
sll0916	cbiC	K06042	precorrin-8X methylmutase 
sll1803	rplV	K02890	50S ribosomal protein L22
sll1394	msrA	K07304	methionine sulfoxide reductase A 
slr0257	ctpB	K03797	carboxyl-terminal protease
slr0252	cobK	K05895	cobalt-precorrin-6x reductase 
slr0319	blaOXA-3	K17838	beta-lactamase
sll1740	rplS	K02884	50S ribosomal protein L19
slr1653	ama	K01436	N-acyl-L-amino acid amidohydrolase
sll1800	rplD	K02926	50S ribosomal protein L4
slr0520	purL	K01952	phosphoribosyl formylglycinamidine synthase
slr0523	bioD	K01935	dithiobiotin synthetase 
slr1536	recQ	K03654	ATP-dependent DNA helicase RecQ
sll1069	fabF	K09458	3-oxoacyl-ACP synthase 
sll1742	nusG	K02601	transcription antitermination protein NusG
slr0527	exsB	K06920	exoenzyme S synthesis protein B
slr0526	panB	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase 
slr1030	chlI	K03405	Mg chelatase subunit ChlI
slr1031	tyrS	K01866	tyrosyl-tRNA synthetase 
sll1108	surE	K03787	stationary phase survival protein SurE 
sll1317	petA	K02634	apocytochrome f
sll1316	petC	K02636	cytochrome B6-f complex iron-sulfur subunit
slr1239	pntA	K00324	NAD(P) transhydrogenase subunit alpha 
slr1974	engA	K03977	GTP-binding protein EngA
sll1409	fhuA	K02014	ferrichrome-iron receptor
slr0032	ilvE	K00826	branched-chain amino acid aminotransferase 
sll1085	glpD	K00111	glycerol-3-phosphate dehydrogenase
sll1082	nrtD	K02049	nitrate transport protein NrtD
sll1655	birA	K03524	biotin [acetyl-CoA-carboxylase] ligase
ssr2831	psaE	K02693	photosystem I reaction center subunit IV
sll1900	act	K18234	acetyltransferase
slr0394	pgk	K00927	phosphoglycerate kinase 
sll0271	nusB	K03625	transcription antitermination protein NusB
slr1476	pyrB	K00609	aspartate carbamoyltransferase 
slr0836	rfbB	K01710	dTDP-glucose 4,6-dehydratase
sll1362	ileS	K01870	isoleucyl-tRNA synthetase 
sll1363	ilvC	K00053	ketol-acid reductoisomerase 
sll1360	dnaX	K02343	DNA polymerase III subunit
sll0270	priA	K04066	primosome assembly protein PriA
slr0835	moxR	K03924	MoxR protein
sll0166	hemD	K13542	uroporphyrin-III synthase
slr1247	pstS	K02040	phosphate binding protein
slr1329	atpB	K02112	ATP synthase F0F1 subunit beta 
ssr3307	secG	K03075	preprotein translocase subunit SecG
slr1316	fecC	K02015	iron(III) dicitrate ABC transporter permease
sll0145	frr	K02838	ribosome recycling factor
sll0144	pyrH	K09903	uridylate kinase
sll0495	asnC	K01893	asparaginyl-tRNA synthetase 
sll1406	fhuA	K02014	ferrichrome-iron receptor
slr1319	fecB	K02016	iron(III) dicitrate ABC transporter permease
slr0623	trxA	K03671	thioredoxin
slr1251	cyp	K01802	peptidyl-prolyl cis-trans isomerase
slr0786	map	K01265	methionine aminopeptidase 
sll1883	argJ	K00620	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase 
slr0780	nrdR	K07738	NrdR family transcriptional regulator
slr0783	tpiA	K01803	triosephosphate isomerase 
sll0467	queA	K07568	S-adenosylmethionine--tRNA ribosyltransferase-isomerase
sll1653	ubiE	K03183	ubiquinone/menaquinone biosynthesis methyltransferase
slr1331	ymxG	K07263	processing protease
sll0461	proA	K00147	gamma-glutamyl phosphate reductase
slr1254	pds	K02293	phytoene desaturase
sll0541	desC(des9)	K00507	acyl-CoA desaturase
slr1731	kdpD	K07646	potassium-transporting ATPase subunit D
sll0542	acs	K01895	acetyl-CoA synthetase
slr1857	glgX	K02438	glycogen operon protein GlgX
sll0868	lipA	K03644	lipoyl synthase
sll0869	aat	K00684	leucyl/phenylalanyl-tRNA--protein transferase 
sll0646	cyaA	K01768	adenylate cyclase
sll0861	murQ	K07106	N-acetylmuramic acid 6-phosphate etherase
sll0865	uvrC	K03703	excinuclease ABC subunit C
slr0851	ndh	K03885	NADH dehydrogenase
slr0853	rimI	K03789	ribosomal-protein-alanine acetyltransferase
slr1281	ndhJ	K05581	NADH dehydrogenase subunit J
slr2072	ilvA	K01754	threonine dehydratase 
slr2075	groES	K04078	co-chaperonin GroES
slr2074	manA	K00971	mannose-6-phosphate isomerase
slr2076	groEL	K04077	molecular chaperone GroEL
sll1814	secY	K03076	preprotein translocase subunit SecY
sll1815	adk	K00939	adenylate kinase 
