Synpcc7942_0959	obgE	K03979	GTPase ObgE
Synpcc7942_0492	ribC	K11753	bifunctional riboflavin kinase/FMN adenylyltransferase 
Synpcc7942_2457	glyQ	K01878	glycyl-tRNA synthetase subunit alpha 
Synpcc7942_1667	murD	K01925	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase 
Synpcc7942_1479	petG	K02640	cytochrome b6-f complex subunit PetG
Synpcc7942_0097	cobN	K02230	cobaltochelatase subunit CobN 
Synpcc7942_0711	carB	K01955	carbamoyl phosphate synthase large subunit 
Synpcc7942_1261	tpiA	K01803	triosephosphate isomerase 
Synpcc7942_0798	ruvC	K01159	Holliday junction resolvase 
Synpcc7942_1577	argS	K01887	arginyl-tRNA synthetase 
Synpcc7942_2353	lipB	K03801	lipoyltransferase
Synpcc7942_1172	lnt	K03820	apolipoprotein N-acyltransferase
Synpcc7942_0475	petN	K03689	cytochrome b6-f complex subunit PetN
Synpcc7942_1251	gcp	K01409	DNA-binding/iron metalloprotein/AP endonuclease 
Synpcc7942_2211	rpsM	K02952	30S ribosomal protein S13
Synpcc7942_2423	gidA	K03495	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
Synpcc7942_0929	lpxC	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase 
Synpcc7942_1912a	psaM	K02700	photosystem I reaction center subunit XII
Synpcc7942_0311	ksgA	K02528	dimethyladenosine transferase 
Synpcc7942_2212	rpmJ	K02919	50S ribosomal protein L36
Synpcc7942_2064	pheS	K01889	phenylalanyl-tRNA synthetase subunit alpha 
Synpcc7942_1219	rplU	K02888	50S ribosomal protein L21
Synpcc7942_2259	rimM	K02860	16S rRNA-processing protein RimM
Synpcc7942_1177	psbE	K02707	cytochrome b559 subunit alpha
Synpcc7942_1176	psbF	K02708	cytochrome b559 subunit beta
Synpcc7942_1449	lpxD	K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase 
Synpcc7942_2041	integral	K03980	
Synpcc7942_0616	hrcA	K03705	heat-inducible transcription repressor
Synpcc7942_0641	sdhA	K00239	succinate dehydrogenase flavoprotein subunit 
Synpcc7942_2518	glgA	K00703	glycogen synthase 
Synpcc7942_2201	alr	K01775	alanine racemase 
Synpcc7942_2048	psaB	K02690	photosystem I P700 chlorophyll a apoprotein A2
Synpcc7942_2049	psaA	K02689	photosystem I P700 chlorophyll a apoprotein A1
Synpcc7942_2204	rpmE	K02909	50S ribosomal protein L31
Synpcc7942_2205	rpsI	K02996	30S ribosomal protein S9
Synpcc7942_0468	secG	K03075	preprotein translocase subunit SecG
Synpcc7942_1278	rpmI	K02916	50S ribosomal protein L35
Synpcc7942_1774	rpsU	K02970	30S ribosomal protein S21
Synpcc7942_1772	rpsP	K02959	30S ribosomal protein S16
Synpcc7942_2592	pyrE	K00762	orotate phosphoribosyltransferase 
Synpcc7942_2314	groES	K04078	co-chaperonin GroES
Synpcc7942_0273	coaE	K00859	dephospho-CoA kinase 
Synpcc7942_2365	prfC	K02837	peptide chain release factor 3
Synpcc7942_0505	glpX	K11532	fructose 1,6-bisphosphatase II 
Synpcc7942_0277	ligA	K01972	NAD-dependent DNA ligase LigA 
Synpcc7942_2491	gyrB	K02470	DNA gyrase subunit B 
Synpcc7942_0152	mraY	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase 
Synpcc7942_1197	trpC	K01609	indole-3-glycerol phosphate synthase 
Synpcc7942_0506	pyrH	K09903	uridylate kinase 
Synpcc7942_0189	guaA	K01951	GMP synthase 
Synpcc7942_0504	hemA	K02492	glutamyl-tRNA reductase 
Synpcc7942_0226	tatA	K03116	twin-arginine translocation protein TatA
Synpcc7942_1191	gmk	K00942	guanylate kinase 
Synpcc7942_1340	def	K01462	peptide deformylase 
Synpcc7942_0454	cobS	K02233	cobalamin synthase 
Synpcc7942_0932	lpxB	K00748	lipid-A-disaccharide synthase 
Synpcc7942_0930	fabZ	K02372	(3R)-hydroxymyristoyl-ACP dehydratase 
Synpcc7942_1597	folE	K01495	GTP cyclohydrolase I 
Synpcc7942_1780	mutL	K03572	DNA mismatch repair protein
Synpcc7942_1927	dapF	K01778	diaminopimelate epimerase 
Synpcc7942_0830	asnC	K01893	asparaginyl-tRNA synthetase 
Synpcc7942_0670	pyrB	K00609	aspartate carbamoyltransferase 
Synpcc7942_1920	leuS	K01869	leucyl-tRNA synthetase 
Synpcc7942_0713	ispG	K03526	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase 
Synpcc7942_2606	thrS	K01868	threonyl-tRNA synthetase 
Synpcc7942_2471	nusB	K03625	transcription antitermination protein NusB
Synpcc7942_0368	xseA	K03601	exodeoxyribonuclease VII large subunit 
Synpcc7942_0267	gidB	K03501	16S rRNA methyltransferase GidB
Synpcc7942_2375	ddl	K01921	D-alanyl-alanine synthetase A 
Synpcc7942_1282	moaA	K03639	molybdenum cofactor biosynthesis protein A
Synpcc7942_2531	tsf	K02357	elongation factor Ts
Synpcc7942_1519	hisD	K00013	histidinol dehydrogenase 
Synpcc7942_0576	thiG	K03149	thiazole synthase
Synpcc7942_1500	prmA	K02687	ribosomal protein L11 methyltransferase 
Synpcc7942_0190	cbiD	K02188	cobalt-precorrin-6A synthase
Synpcc7942_2263	hisS	K01892	histidyl-tRNA synthetase 
Synpcc7942_0699	psbM	K02714	photosystem II reaction center protein M
Synpcc7942_1662	cysS	K01883	cysteinyl-tRNA synthetase 
Synpcc7942_0696	psbT	K02718	photosystem II reaction center protein T
Synpcc7942_0695	nrdR	K07738	transcriptional regulator NrdR
Synpcc7942_1222	truB	K03177	tRNA pseudouridine synthase B 
Synpcc7942_0358	trmB	K03439	tRNA (guanine-N(7)-)-methyltransferase 
Synpcc7942_0106	nadD	K00969	nicotinic acid mononucleotide adenylyltransferase 
Synpcc7942_1220	rpmA	K02899	50S ribosomal protein L27
Synpcc7942_2381	panB	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase 
Synpcc7942_2063	surE	K03787	stationary phase survival protein SurE 
Synpcc7942_0295	sat	K00958	sulfate adenylyltransferase 
Synpcc7942_2220	rplE	K02931	50S ribosomal protein L5
Synpcc7942_2468	dnaK	K04043	molecular chaperone DnaK
Synpcc7942_1582	trmE	K03650	tRNA modification GTPase TrmE
Synpcc7942_1954	pyrG	K01937	CTP synthetase 
Synpcc7942_1852	cobH	K06042	precorrin-8X methylmutase 
Synpcc7942_1614	rpmH	K02914	50S ribosomal protein L34
Synpcc7942_2467	aroE	K00014	shikimate 5-dehydrogenase 
Synpcc7942_0105	nadE	K01916	NAD synthetase 
Synpcc7942_0355	rbfA	K02834	ribosome-binding factor A
Synpcc7942_0587	valS	K01873	valyl-tRNA synthetase 
Synpcc7942_1116	pgk	K00927	phosphoglycerate kinase 
Synpcc7942_2577	murQ	K07106	N-acetylmuramic acid-6-phosphate etherase
Synpcc7942_1292	dnaG	K02316	DNA primase 
Synpcc7942_2304	ppnK	K00858	inorganic polyphosphate/ATP-NAD kinase 
Synpcc7942_0606	aat	K00684	leucyl/phenylalanyl-tRNA--protein transferase 
Synpcc7942_2265	proA	K00147	gamma-glutamyl phosphate reductase 
Synpcc7942_2308	gcvT	K00605	glycine cleavage system aminomethyltransferase T 
Synpcc7942_0588	purT	K08289	phosphoribosylglycinamide formyltransferase 2 
Synpcc7942_0894	aroK	K00891	shikimate kinase 
Synpcc7942_1293	pheT	K01890	phenylalanyl-tRNA synthetase subunit beta 
Synpcc7942_0141	secF	K03074	preprotein translocase subunit SecF
Synpcc7942_0892	cofG	K11780	FO synthase subunit 1 
Synpcc7942_0685	groEL	K04077	molecular chaperone GroEL
Synpcc7942_0686	cofG	K11781	FO synthase subunit 2 
Synpcc7942_2227	rplV	K02890	50S ribosomal protein L22
Synpcc7942_0525	aroB	K01735	3-dehydroquinate synthase 
Synpcc7942_0681	ispD	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 
Synpcc7942_0288	glmU	K04042	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase 
Synpcc7942_0289	secA	K03070	preprotein translocase subunit SecA
Synpcc7942_0975	mraW	K03438	S-adenosyl-methyltransferase MraW
Synpcc7942_1426	rbcL	K01601	ribulose bisophosphate carboxylase 
Synpcc7942_0282	glyA	K00600	serine hydroxymethyltransferase 
Synpcc7942_2010	psbV	K02720	cytochrome c-550
Synpcc7942_0813	hisZ	K02502	ATP phosphoribosyltransferase 
Synpcc7942_0348	recA	K03553	recombinase A
Synpcc7942_2497	ndk	K00940	nucleoside diphosphate kinase 
Synpcc7942_0958	purN	K11175	phosphoribosylglycinamide formyltransferase 
Synpcc7942_0879	rnhB	K03470	ribonuclease HII 
Synpcc7942_0065	infC	K02520	translation initiation factor IF-3
Synpcc7942_2490	miaA	K00791	tRNA delta(2)-isopentenylpyrophosphate transferase 
Synpcc7942_2250	recF	K03629	recombination protein F
Synpcc7942_0113	petL	K02642	cytochrome b6-f complex subunit PetL
Synpcc7942_1740	murB	K00075	UDP-N-acetylenolpyruvoylglucosamine reductase 
Synpcc7942_1741	murC	K01924	UDP-N-acetylmuramate--L-alanine ligase 
Synpcc7942_2541	rplS	K02884	50S ribosomal protein L19
Synpcc7942_2258	avtA	K00835	valine--pyruvate transaminase 
Synpcc7942_2313	groEL	K04077	molecular chaperone GroEL
Synpcc7942_1100	dnaA	K02313	chromosome replication initiator DnaA
Synpcc7942_2316	atpC	K02114	ATP synthase F0F1 subunit epsilon 
Synpcc7942_0455	tgt	K00773	queuine tRNA-ribosyltransferase 
Synpcc7942_2548	leuD	K01704	isopropylmalate isomerase small subunit 
Synpcc7942_2415	lysS	K04567	lysyl-tRNA synthetase 
Synpcc7942_0456	psbK	K02712	photosystem II reaction center protein K
Synpcc7942_1433	argC	K00145	N-acetyl-gamma-glutamyl-phosphate reductase 
Synpcc7942_0883	rpsJ	K02946	30S ribosomal protein S10
Synpcc7942_1240	nirA	K00366	ferredoxin-nitrite reductase 
Synpcc7942_0887	rpsL	K02950	30S ribosomal protein S12
Synpcc7942_0884	tuf	K02358	elongation factor Tu 
Synpcc7942_0885	fusA	K02355	elongation factor G
Synpcc7942_1122	rpmG	K02913	50S ribosomal protein L33
Synpcc7942_1114	rbgA	K14540	ribosomal biogenesis GTPase
Synpcc7942_2526	clpX	K03544	ATP-dependent protease ATP-binding subunit ClpX 
Synpcc7942_2001	minC	K03610	septum formation inhibitor
Synpcc7942_0804	pdxA	K00097	4-hydroxythreonine-4-phosphate dehydrogenase 
Synpcc7942_2007	coaD	K00954	phosphopantetheine adenylyltransferase 
Synpcc7942_1481	hisH	K02501	imidazole glycerol phosphate synthase subunit HisH 
Synpcc7942_2123	trpD	K00766	anthranilate phosphoribosyltransferase 
Synpcc7942_1484	murE	K01928	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase 
Synpcc7942_1487	rpsD	K02986	30S ribosomal protein S4
Synpcc7942_2559	rplI	K02939	50S ribosomal protein L9
Synpcc7942_1522	rpoB	K03043	DNA-directed RNA polymerase subunit beta 
Synpcc7942_1520	rpsT	K02968	30S ribosomal protein S20
Synpcc7942_0042	rpmB	K02902	50S ribosomal protein L28
Synpcc7942_2231	rplD	K02926	50S ribosomal protein L4
Synpcc7942_0967	hemC	K01749	porphobilinogen deaminase 
Synpcc7942_1882	psbU	K02719	photosystem II complex extrinsic protein U
Synpcc7942_2244	ribH	K00794	6,7-dimethyl-8-ribityllumazine synthase 
Synpcc7942_2245	psbZ	K02724	photosystem II reaction center protein Z
Synpcc7942_0603	glgC	K00975	glucose-1-phosphate adenylyltransferase 
Synpcc7942_0446	rpsN	K02954	30S ribosomal protein S14
Synpcc7942_R0047	ffs	K01983	SRP RNA
Synpcc7942_0634	rplK	K02867	50S ribosomal protein L11
Synpcc7942_0125	hisB	K01693	imidazoleglycerol-phosphate dehydratase 
Synpcc7942_0507	frr	K02838	ribosome recycling factor
Synpcc7942_1313	aspS	K01876	aspartyl-tRNA synthetase 
Synpcc7942_1315	gid	K04094	tRNA (uracil-5-)-methyltransferase Gid
Synpcc7942_2208	rplQ	K02879	50S ribosomal protein L17
Synpcc7942_2203	prfA	K02835	peptide chain release factor 1
Synpcc7942_0997	rpmF	K02911	50S ribosomal protein L32
Synpcc7942_1493	mazG	K02428	nucleoside triphosphate pyrophosphohydrolase 
Synpcc7942_1964	ubiA	K03179	4-hydroxybenzoate polyprenyltransferase 
Synpcc7942_1170	ispF	K01770	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase 
Synpcc7942_R0036	rnpB	K01978	RNA component of RNaseP
Synpcc7942_1086	hemE	K01599	uroporphyrinogen decarboxylase 
Synpcc7942_0137	hemH	K01772	ferrochelatase 
Synpcc7942_2132	glmM	K03431	phosphoglucosamine mutase 
Synpcc7942_0876	alaS	K01872	alanyl-tRNA synthetase 
Synpcc7942_1073	rph	K00989	ribonuclease PH 
Synpcc7942_0221	glk	K00845	glucokinase 
Synpcc7942_1896	argJ	K00620	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase 
Synpcc7942_1123	rpsR	K02963	30S ribosomal protein S18
Synpcc7942_1726	lspA	K03101	lipoprotein signal peptidase 
Synpcc7942_0225	psbH	K02709	photosystem II reaction center protein H
Synpcc7942_0631	rplL	K02935	50S ribosomal protein L7/L12
Synpcc7942_2232	rplC	K02906	50S ribosomal protein L3
Synpcc7942_0633	rplA	K02863	50S ribosomal protein L1
Synpcc7942_0632	rplJ	K02864	50S ribosomal protein L10
Synpcc7942_0635	nusG	K02601	transcription antitermination protein NusG
Synpcc7942_1008	purU	K01433	formyltetrahydrofolate deformylase 
Synpcc7942_2235	trmD	K00554	tRNA (guanine-N(1)-)-methyltransferase 
Synpcc7942_0636	secE	K03073	preprotein translocase subunit SecE
Synpcc7942_0639	eno	K01689	phosphopyruvate hydratase 
Synpcc7942_1007	fumC	K01679	fumarate hydratase 
Synpcc7942_2434	ilvH	K01653	acetolactate synthase 3 regulatory subunit 
Synpcc7942_2437	ileS	K01870	isoleucyl-tRNA synthetase 
Synpcc7942_1419	chlL	K04037	protochlorophyllide reductase iron-sulfur ATP-binding protein 
