Rv2763c	dfrA	K00287	dihydrofolate reductase
Rv3396c	guaA	K01951	GMP synthase
Rv2436	rbsK	K00852	ribokinase RbsK
Rv2210c	ilvE	K00826	branched-chain amino acid aminotransferase
Rv0844c	narL	K07684	nitrate/nitrite response transcriptional regulator NarL
Rv3436c	glmS	K00820	glucosamine--fructose-6-phosphate aminotransferase
Rv1633	uvrB	K03702	excinuclease ABC subunit UvrB
Rv1630	rpsA	K02945	30S ribosomal protein S1
Rv1631	coaE	K00859	dephospho-CoA kinase CoaE
Rv3550	echA20	K01692	enoyl-CoA hydratase EchA20
Rv2097c	pafA	K13571	proteasome accessory factor PafA
Rv2441c	rpmA	K02899	50S ribosomal protein L27
Rv0422c	thiD	K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
Rv1638	uvrA	K03701	excinuclease ABC subunit UvrA
Rv2139	pyrD	K00254	dihydroorotate dehydrogenase
Rv3759c	proX	K05845	glycine betaine/carnitine/choline/L-proline ABC transporter substrate-binding lipoprotein ProX
Rv0989c	grcC2	K00805	polyprenyl-diphosphate synthase GrcC
Rv0632c	echA3	K01692	enoyl-CoA hydratase EchA3
Rv0032	bioF2	K00652	8-amino-7-oxononanoate synthase
Rv2155c	murD	K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase
Rv3800c	pks13	K12437	polyketide synthase
Rv3496c	mce4D	K02067	Mce family protein Mce4D
Rv3784	epiB	K01710	dTDP-glucose 4,6-dehydratase
Rv3566c	nat	K00622	arylamine N-acetyltransferase
Rv2720	lexA	K01356	repressor LexA
Rv2643	arsC	K03325	arsenic-transport integral membrane protein ArsC
Rv0768	aldA	K00128	aldehyde dehydrogenase AldA
Rv1981c	nrdF1	K00526	ribonucleoside-diphosphate reductase subunit beta NrdF1
Rv2718c	nrdR	K07738	transcriptional regulator NrdR
Rv3330	dacB1	K07258	penicillin-binding protein DacB
Rv0905	echA6	K01692	enoyl-CoA hydratase EchA6
Rv3332	nagA	K01443	N-acetylglucosamine-6-phosphate deacetylase NagA
Rv2373c	dnaJ2	K03686	chaperone protein DnaJ
Rv3336c	trpS	K01867	tryptophan--tRNA ligase
Rv0853c	pdc	K04103	alpha-keto-acid decarboxylase
Rv1715	fadB3	K00074	3-hydroxybutyryl-CoA dehydrogenase FadB
Rv3014c	ligA	K01972	DNA ligase A
Rv0860	fadB	K01782	fatty oxidation protein FadB
Rv3266c	rmlD	K00067	dTDP-4-dehydrorhamnose reductase
Rv1599	hisD	K00013	histidinol dehydrogenase
Rv0908	ctpE	K12952	metal cation transporter ATPase E
Rv1811	mgtC	K07507	Mg2+ transport P-type ATPase MgtC
Rv2592c	ruvB	K03551	Holliday junction ATP-dependent DNA helicase RuvB
Rv2894c	xerC	K03733	tyrosine recombinase XerC
Rv1023	eno	K01689	enolase
Rv1189	sigI	K03088	ECF RNA polymerase sigma factor SigI
Rv3708c	asd	K00133	aspartate-semialdehyde dehydrogenase
Rv1020	mfd	K03723	transcription-repair coupling factor
Rv2860c	glnA4	K01915	glutamine synthetase
Rv2066	cobIJ	K13540	bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase
Rv0733	adk	K00939	adenylate kinase
Rv0510	hemC	K01749	porphobilinogen deaminase
Rv1181	pks4	K12432	polyketide beta-ketoacyl synthase
Rv0363c	fba	K01624	fructose-bisphosphate aldolase
Rv0553	menC	K02549	muconate cycloisomerase
Rv3106	fprA	K00528	NADPH-ferredoxin reductase FprA
Rv2002	fabG3	K00038	20-beta-hydroxysteroid dehydrogenase
Rv0255c	cobQ1	K02232	cobyric acid synthase
Rv2006	otsB1	K01194	trehalose-6-phosphate phosphatase OtsB
Rv2127	ansP1	K11738	L-asparagine permease
Rv1746	pknF	K08884	serine/threonine-protein kinase PknF
Rv1011	ispE	K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
Rv2869c	rip	K01417	zinc metalloprotease
Rv1743	pknE	K08884	serine/threonine-protein kinase PknE
Rv0105c	rpmB1	K02902	50S ribosomal protein L28
Rv1164	narI	K00374	nitrate reductase subunit gamma
Rv3772	hisC2	K00817	histidinol-phosphate aminotransferase
Rv1162	narH	K00371	nitrate reductase subunit beta
Rv3774	echA21	K01692	enoyl-CoA hydratase EchA21
Rv1160	mutT2	K03574	8-oxo-dGTP diphosphatase
Rv1161	narG	K00370	nitrate reductase subunit alpha
Rv1207	folP2	K00796	dihydropteroate synthase
Rv1206	fadD6	K00666	fatty-acid--CoA ligase FadD6
Rv3509c	ilvX	K01652	acetohydroxyacid synthase large subunit
Rv1202	dapE	K01439	succinyl-diaminopimelate desuccinylase DapE
Rv1642	rpmI	K02916	50S ribosomal protein L35
Rv3458c	rpsD	K02986	30S ribosomal protein S4
Rv3140	fadE23	K00249	acyl-CoA dehydrogenase FadE23
Rv3141	fadB4	K00344	NADPH quinone oxidoreductase FadB
Rv3146	nuoB	K00331	NADH-quinone oxidoreductase subunit B
Rv3147	nuoC	K00332	NADH-quinone oxidoreductase subunit C
Rv2861c	mapB	K01265	methionine aminopeptidase
Rv3145	nuoA	K00330	NADH-quinone oxidoreductase subunit A
Rv1563c	treY	K06044	maltooligosyl trehalose synthase
Rv3148	nuoD	K00333	NADH-quinone oxidoreductase subunit D
Rv3149	nuoE	K00334	NADH-quinone oxidoreductase subunit E
Rv2482c	plsB2	K00631	glycerol-3-phosphate acyltransferase
Rvnt08	trpT	K14235	tRNA-Trp
Rvnt09	thrV	K14234	tRNA-Thr
Rv3414c	sigD	K03088	ECF RNA polymerase sigma factor SigD
Rv1659	argH	K01755	argininosuccinate lyase
Rv3834c	serS	K01875	serine--tRNA ligase
Rvnt01	ileT	K14227	tRNA-Ile
Rvnt02	alaT	K14218	tRNA-Ala
Rvnt03	leuT	K14228	tRNA-Leu
Rvnt04	glyU	K14225	tRNA-Gly
Rv2904c	rplS	K02884	50S ribosomal protein L19
Rvnt06	thrT	K14234	tRNA-Thr
Rvnt07	metT	K14230	tRNA-Met
Rv0468	fadB2	K00074	3-hydroxybutyryl-CoA dehydrogenase
Rv2438c	nadE	K01950	glutamine-dependent NAD(+) synthetase
Rv1568	bioA	K00833	adenosylmethionine-8-amino-7-oxononanoate aminotransferase
Rv1569	bioF1	K00652	8-amino-7-oxononanoate synthase
Rv0587	yrbE2A	K02066	hypothetical protein
Rv1440	secG	K03075	protein-export membrane protein SecG
Rv3582c	ispD	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Rv1442	bisC	K08351	biotin sulfoxide reductase BisC
Rv0884c	serC	K00831	phosphoserine aminotransferase
Rv2834c	ugpE	K05815	sn-glycerol-3-phosphate ABC transporter permease UgpE
Rv1292	argS	K01887	arginine--tRNA ligase
Rv1293	lysA	K01586	diaminopimelate decarboxylase
Rv1098c	fum	K01679	fumarate hydratase
Rv1295	thrC	K01733	threonine synthase
Rv1296	thrB	K00872	homoserine kinase
Rv0467	icl1	K01637	isocitrate lyase
Rv0169	mce1A	K02067	Mce family protein Mce1A
Rv0168	yrbE1B	K02066	membrane protein
Rv0243	fadA2	K00626	acetyl-CoA acetyltransferase FadA
Rv3585	radA	K04485	DNA repair protein RadA
Rv3608c	folP1	K00796	dihydropteroate synthase
Rv2682c	dxs1	K01662	1-deoxy-D-xylulose 5-phosphate synthase
Rv3589	mutY	K03575	adenine glycosylase
Rv2856	nicT	K07241	nickel-transport integral membrane protein NicT
Rv0167	yrbE1A	K02066	membrane protein
Rv0166	fadD5	K00666	fatty-acid--CoA ligase FadD5
Rv3003c	ilvB1	K01652	acetolactate synthase large subunit IlvB
Rv3667	acs	K01895	acetyl-CoAsynthetase
Rv2907c	rimM	K02860	16S rRNA processing protein RimM
Rv2986c	hupB	K03530	DNA-binding protein HU
Rv2380c	mbtE	K04789	peptide synthetase
Rv0640	rplK	K02867	50S ribosomal protein L11
Rv0641	rplA	K02863	50S ribosomal protein L1
Rv3392c	cmaA1	K00574	cyclopropane mycolic acid synthase CmaA
Rv2316	uspA	K02025	sugar ABC transporter permease UspA
Rv2317	uspB	K02026	sugar ABC transporter permease UspB
Rv0503c	cmaA2	K00574	cyclopropane mycolic acid synthase
Rv2153c	murG	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase
Rv0886	fprB	K00528	ferredoxin/ferredoxin--NADP reductase
Rv0384c	clpB	K03695	chaperone protein ClpB
Rv2946c	pks1	K12430	polyketide synthase
Rv3164c	moxR3	K03924	methanol dehydrogenase transcriptional regulator MoxR
Rv3569c	hsaD	K16050	4,5:9,10-diseco-3-hydroxy-5,9, 17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
Rv1657	argR	K03402	arginine repressor
Rvnt37	alaU	K14218	tRNA-Ala
Rv3624c	hpt	K00760	hypoxanthine-guanine phosphoribosyltransferase
Rv3602c	panC	K01918	pantothenate synthetase
Rv1623c	cydA	K00425	cytochrome D ubiquinol oxidase subunit I CydA
Rv0013	trpG	K01664	anthranilate synthase component II
Rv0400c	fadE7	K00252	acyl-CoA dehydrogenase FadE7
Rv1329c	dinG	K03722	ATP-dependent helicase DinG
Rv2238c	ahpE	K03386	peroxiredoxin
Rv0127	mak	K16146	maltokinase
Rvnt30	lysU	K14229	tRNA-Lys
Rv0840c	pip	K01259	proline iminopeptidase
Rv0092	ctpA	K12949	cation transporter ATPase A
Rv2421c	nadD	K00969	nicotinate-nucleotide adenylyltransferase
Rv3265c	wbbL1	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
Rvnt33	cysU	K14222	tRNA-Cys
Rv3296	lhr	K03724	ATP-dependent helicase
Rv3297	nei	K05522	endonuclease VIII
Rv0294	tam	K00598	trans-aconitate methyltransferase
Rv2222c	glnA2	K01915	glutamine synthetase
Rv2092c	helY	K03727	ATP-dependent DNA helicase HelY
Rv3451	cut3	K08095	cutinase
Rv3452	cut4	K01066	cutinase
Rv2058c	rpmB2	K02902	50S ribosomal protein L28
Rv0917	betP	K02168	glycine betaine transport integral membrane protein BetP
Rv2584c	apt	K00759	adenine phosphoribosyltransferase
Rv1940	ribA1	K14652	riboflavin biosynthesis protein RibA
Rv2349c	plcC	K01114	phospholipase C
Rv2922A	acyP	K01512	acylphosphatase
Rv2985	mutT1	K03574	8-oxo-dGTP diphosphatase
Rv2984	ppk1	K00937	polyphosphate kinase
Rv3010c	pfkA	K00850	6-phosphofructokinase
Rv3721c	dnaZX	K02343	DNA polymerase III subunit gamma/tau
Rv0137c	msrA	K07304	peptide methionine sulfoxide reductase MsrA
Rv1143	mcr	K01796	alpha-methylacyl-CoA racemase
Rv3051c	nrdE	K00525	ribonucleoside-diphosphate reductase subunit alpha
Rv2385	mbtJ	K01066	acetyl hydrolase
Rv2384	mbtA	K04787	bifunctional salicyl-AMP ligase/salicyl-S-ArCP synthetase
Rv1454c	qor	K00344	quinone reductase
Rv0085	hycP	K12140	hydrogenase HycP
Rv2701c	suhB	K01092	inositol-1-monophosphatase SuhB
Rv0548c	menB	K01661	1,4-dihydroxy-2-naphthoyl-CoA synthase
Rv2443	dctA	K11103	C4-dicarboxylate-transport transmembrane protein DctA
Rv1015c	rplY	K02897	50S ribosomal protein L25
Rv2121c	hisG	K00765	ATP phosphoribosyltransferase
Rv0593	lprL	K02067	Mce family lipoprotein LprL
Rv1564c	treX	K02438	maltooligosyl trehalose synthase
Rv2444c	rne	K08300	ribonuclease E
Rv2357c	glyS	K01880	glycine--tRNA ligase
Rv1492	mutA	K01847	methylmalonyl-CoA mutase small subunit
Rv1493	mutB	K01847	methylmalonyl-CoA mutase large subunit
Rv0949	uvrD1	K03657	ATP-dependent DNA helicase UvrD
Rv2793c	truB	K03177	tRNA pseudouridine synthase B
Rv1872c	lldD2	K00101	L-lactate dehydrogenase
Rv0644c	mmaA2	K00574	cyclopropane mycolic acid synthase MmaA2
Rv1495	mazF4	K07171	mRNA interferase MazF4
Rv3223c	sigH	K03088	ECF RNA polymerase sigma factor SigH
Rv0904c	accD3	K01962	acetyl-CoAcarboxylase carboxyl transferase subunit beta
Rv1819c	bacA	K02471	vitamin B12 transport ATP-binding protein BacA
Rv2848c	cobB	K02224	cobyrinic acid A,C-diamide synthase
Rv3606c	folK	K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridinepyrophosphokinase
Rv3610c	ftsH	K03798	zinc metalloprotease FtsH
Rv0983	pepD	K08372	serine protease PepD
Rv3704c	gshA	K01919	glutamate--cysteine ligase
Rv0265c	fecB2	K02016	iron ABC transporter substrate-binding lipoprotein
Rv2476c	gdh	K15371	NAD-dependent glutamate dehydrogenase
Rv2580c	hisS	K01892	histidine--tRNA ligase
Rv3252c	alkB	K00496	transmembrane alkane 1-monooxygenase AlkB
Rv3303c	lpdA	K00382	NAD(P)H quinone reductase LpdA
Rv3666c	dppA	K15580	dipeptide ABC transporter substrate-binding lipoprotein DppA
Rv1511	gmdA	K01711	GDP-D-mannose dehydratase GmdA
Rv1665	pks11	K16167	chalcone synthase
Rv3042c	serB2	K01079	phosphoserine phosphatase SerB
Rv1661	pks7	K12434	polyketide synthase
Rv0408	pta	K13788	phosphate acetyltransferase
Rv1663	pks17	K12439	polyketide synthase
Rv1662	pks8	K12435	polyketide synthase
Rv0409	ackA	K00925	acetate kinase
Rv2187	fadD15	K01897	long-chain-fatty-acid--CoA ligase FadD15
Rv2538c	aroB	K01735	3-dehydroquinate synthase
Rv1082	mca	K18455	mycothiol S-conjugate amidase
Rv1122	gnd2	K00033	6-phosphogluconate dehydrogenase
Rv1121	zwf1	K00036	glucose-6-phosphate 1-dehydrogenase
Rv0761c	adhB	K00121	alcohol dehydrogenase B
Rv3105c	prfB	K02836	peptide chain release factor PrfB
Rv2502c	accD1	K01969	acetyl-/propionyl-CoA carboxylase subunit beta
Rv2095c	pafC	K13573	proteasome accessory factor C
Rv3462c	infA	K02518	translation initiation factor IF-1
Rv3062	ligB	K01971	DNA ligase
Rv3065	mmr	K03297	multidrug resistance protein Mmr
Rv3502c	hsd4A	K00059	short-chain type dehydrogenase/reductase
Rv3758c	proV	K05847	glycine betaine/carnitine/choline/L-proline ABC transporter ATP-binding protein ProV
Rvnt44	serT	K14233	tRNA-Ser
Rvnt45	serU	K14233	tRNA-Ser
Rv3516	echA19	K01692	enoyl-CoA hydratase EchA19
Rv1854c	ndh	K03885	NADH dehydrogenase
Rv1909c	furA	K03711	ferric uptake regulation protein FurA
Rvnt42	serX	K14233	tRNA-Ser
Rv2995c	leuB	K00052	3-isopropylmalate dehydrogenase
Rv1843c	guaB1	K00088	inosine-5'-monophosphate dehydrogenase
Rv2982c	gpdA2	K00057	glycerol-3-phosphate dehydrogenase
Rv0938	ligD	K01971	multifunctional non-homologous end joining DNA repair protein/ATP dependent DNA ligase LigD
Rv1327c	glgE	K16147	alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
Rv1317c	alkA	K13529	bifunctional regulatory protein/DNA repair enzyme AlkA
Rv3107c	agpS	K00803	alkyldihydroxyacetonephosphate synthase
Rv3418c	groES	K04078	chaperonin GroES
Rv0935	pstC1	K02037	phosphate ABC transporter permease PstC
Rv0933	pstB	K02036	phosphate ABC transporter ATP-binding protein PstB
Rv0930	pstA1	K02038	phosphate ABC transporter permease PstA
Rv1409	ribG	K11752	bifunctional riboflavin biosynthesis diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino) uracil reductase
Rv1408	rpe	K01783	ribulose-phosphate 3-epimerase
Rv0946c	pgi	K01810	glucose-6-phosphate isomerase
Rv0173	lprK	K02067	Mce family lipoprotein LprK
Rv2756c	hsdM	K03427	type I restriction/modification system DNA methylase HsdM
Rv1402	priA	K04066	primosomal protein N'
Rv3838c	pheA	K04518	prephenate dehydratase
Rv1013	pks16	K00666	polyketide synthase
Rv1407	fmu	K03500	methyltransferase
Rv1406	fmt	K00604	methionyl-tRNA formyltransferase
Rv1236	sugA	K02025	sugar ABC transporter permease SugA
Rv1237	sugB	K02026	sugar ABC transporter permease SugB
Rv2115c	mpa	K13527	proteasome-associated ATPase
Rv1281c	oppD	K02031	oligopeptide ABC transporter ATP-binding protein OppD
Rv1338	murI	K01776	glutamate racemase
Rv1336	cysM	K12339	O-phosphoserine sulfhydrylase
Rv0557	mgtA	K12583	GDP-mannose-dependent alpha-mannosyltransferase
Rv3782	glfT1	K16649	galactofuranosyl transferase GlfT
Rv2909c	rpsP	K02959	30S ribosomal protein S16
Rv0086	hycQ	K12141	hydrogenase HycQ
Rv2533c	nusB	K03625	N utilization substance protein B
Rv1326c	glgB	K00700	1,4-alpha-glucan branching protein
Rv3443c	rplM	K02871	50S ribosomal protein L13
Rv1849	ureB	K01429	urease subunit beta
Rv1848	ureA	K01430	urease subunit gamma
Rv0721	rpsE	K02988	30S ribosomal protein S5
Rv0720	rplR	K02881	50S ribosomal protein L18
Rv3119	moaE1	K03635	molybdopterin synthase catalytic subunit 1
Rv2461c	clpP1	K01358	ATP-dependent CLP protease proteolytic subunit 1
Rv0729	xylB	K00854	D-xylulose kinase XylB
Rv3116	moeB2	K11996	molybdenum cofactor biosynthesis protein MoeB
Rv3111	moaC1	K03637	cyclic pyranopterin monophosphate synthase accessory protein
Rv3110	moaB1	K01724	pterin-4-alpha-carbinolamine dehydratase
Rv3432c	gadB	K01580	glutamate decarboxylase GadB
Rv3112	moaD1	K03636	molybdenum cofactor biosynthesis protein MoaD
Rv1537	dinX	K02346	DNA polymerase IV
Rv1240	mdh	K00024	malate dehydrogenase
Rv1530	adh	K00001	alcohol dehydrogenase
Rv0015c	pknA	K08884	serine/threonine-protein kinase PknA
Rv2379c	mbtF	K04792	peptide synthetase
Rv2381c	mbtD	K04791	polyketide synthetase
Rv0562	grcC1	K00805	polyprenyl-diphosphate synthase GrcC
Rv0334	rmlA	K00973	glucose-1-phosphate thymidylyltransferase
Rv3664c	dppC	K15582	dipeptide ABC transporter permease DppC
Rv2970c	lipN	K01066	lipase/esterase LipN
Rv0058	dnaB	K02314	replicative DNA helicase
Rv0112	gca	K01711	GDP-mannose 4,6-dehydratase
Rv0113	gmhA	K03271	phosphoheptose isomerase
Rv0114	gmhB	K03273	D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
Rv0115	hddA	K07031	D-alpha-D-heptose-7-phosphate kinase HddA
Rv0346c	ansP2	K11738	L-asparagine permease
Rv2124c	metH	K00548	methionine synthase
Rv0053	rpsF	K02990	30S ribosomal protein S6
Rv0700	rpsJ	K02946	30S ribosomal protein S10
Rv0055	rpsR1	K02963	30S ribosomal protein S18
Rv0054	ssb	K03111	single-strand DNA-binding protein
Rv2362c	recO	K03584	DNA repair protein RecO
Rv2374c	hrcA	K03705	heat-inducible transcription repressor HrcA
Rv0903c	prrA	K07671	two component transcriptional regulator PrrA
Rv2610c	pimA	K08256	alpha-(1-2)-phosphatidylinositol mannosyltransferase
Rv3299c	atsB	K01130	arylsulfatase AtsB
Rv2938	drrC	K01992	daunorubicin ABC transporter permease DrrC
Rv3048c	nrdF2	K00526	ribonucleoside-diphosphate reductase subunit beta NrdF2
Rv2941	fadD28	K12427	long-chain-fatty-acid--AMP ligase FadD28
Rv1901	cinA	K03742	protein CinA
Rv1607	chaA	K07300	ionic transporter integral membrane protein ChaA
Rv3709c	ask	K00928	aspartokinase
Rv0262c	aac	K17840	aminoglycoside 2'-N-acetyltransferase
Rv2583c	relA	K00951	bifunctional (p)ppGpp synthase/hydrolase RelA
Rv3257c	pmmA	K01840	phosphomannomutase PmmA
Rv3665c	dppB	K15581	dipeptide ABC transporter permease DppB
Rv2225	panB	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase
Rv3795	embB	K11386	arabinosyltransferase B
Rv3794	embA	K11385	arabinosyltransferase A
Rv2220	glnA1	K01915	glutamine synthetase
Rv2593c	ruvA	K03550	Holliday junction ATP-dependent DNA helicase RuvA
Rv3791	dprE2	K16652	decaprenylphosphoryl-D-2-keto erythropentose reductase
Rv3790	dprE1	K16653	decaprenylphosphoryl-beta-D-ribose oxidase
Rv3328c	sigJ	K03088	ECF RNA polymerase sigma factor SigJ
Rv0757	phoP	K02483	two component system response transcriptional positive regulator PhoP
Rv2440c	obg	K03979	GTPase Obg
Rv2935	ppsE	K12444	phthiocerol synthesis polyketide synthase type I PpsE
Rv1280c	oppA	K02035	oligopeptide ABC transporter substrate-binding lipoprotein OppA
Rv0753c	mmsA	K00140	methylmalonate-semialdehyde dehydrogenase
Rv0758	phoR	K02484	two component system response sensor kinase PhoR
Rv1008	tatD	K03424	deoxyribonuclease TatD
Rv2868c	gcpE	K03526	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
Rv3461c	rpmJ	K02919	50S ribosomal protein L36
Rv0985c	mscL	K03282	large-conductance ion mechanosensitive channel
Rv0389	purT	K08289	phosphoribosylglycinamide formyltransferase PurT
Rv2524c	fas	K11533	fatty acid synthase
Rv3101c	ftsX	K09811	cell division protein FtsX
Rv2782c	pepR	K01417	zinc protease
Rv1660	pks10	K16167	chalcone synthase
Rv0979A	rpmF	K02911	50S ribosomal protein L32
Rv3634c	galE1	K01784	UDP-glucose 4-epimerase
Rv1608c	bcpB	K03564	peroxidoxin
Rv2933	ppsC	K12442	phthiocerol synthesis polyketide synthase type I PpsC
Rv3247c	tmk	K00943	thymidylate kinase
Rv2178c	aroG	K01626	phospho-2-dehydro-3-deoxyheptonate aldolase AroG
Rv0931c	pknD	K08884	serine/threonine-protein kinase PknD
Rv2088	pknJ	K08884	transmembrane serine/threonine-protein kinase PknJ
Rv1997	ctpF	K12953	cation transporter ATPase F
Rv1629	polA	K02335	DNA polymerase I
Rv3240c	secA1	K03070	protein translocase subunit SecA
Rv2605c	tesB2	K10805	acyl-CoA thioesterase TesB
Rv3028c	fixB	K03522	electron transfer flavoprotein subunit alpha
Rv2727c	miaA	K00791	tRNA delta(2)-isopentenylpyrophosphate transferase
Rv1018c	glmU	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate N-acetyltransferase
Rv3846	sodA	K04564	superoxide dismutase
Rv2967c	pca	K01958	pyruvate carboxylase
Rv3097c	lipY	K01046	triacylglycerol lipase Lip
Rv2453c	mobA	K03752	molybdenum cofactor guanylyltransferase
Rvnr01	rrs	K01977	16S ribosomal RNA
Rv0501	galE2	K01784	UDP-glucose 4-epimerase GalE
Rv2710	sigB	K03087	RNA polymerase sigma factor SigB
Rv2711	ideR	K03709	iron-dependent repressor and activator IdeR
