AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT2G24270	ALDH11A3	K00131	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
AT5G56000	Hsp81.4	K04079	Heat shock protein 90-4
AT2G47450	CAO	K12271	chloroplast signal recognition particle component CAO
AT3G29400	EXO70E1	K07195	exocyst subunit exo70 family protein E1
AT3G60500	CER7	K03678	3'-5'-exoribonuclease CER7 protein
AT1G69230	SP1L2	K18635	protein SPIRAL1-like2
AT2G22800	HAT9	K09338	homeobox-leucine zipper protein HAT9
AT2G25850	PAPS2	K14376	poly(A) polymerase 2
AT1G66580	SAG24	K02866	60S ribosomal protein L10-3
AT4G15950	NRPD4	K03012	RNA polymerase II, Rpb4, core protein
AT2G46280	TRIP-1	K03246	TGF-beta receptor interacting protein 1
AT3G63130	RANGAP1	K14319	RAN GTPase-activating protein 1
AT2G42740	RPL16A	K02868	60S ribosomal protein L16A
AT4G35020	RAC3	K04392	Rac-like GTP-binding protein ARAC3
AT4G14130	XTH15	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 15
AT2G33530	scpl46	K16297	serine carboxypeptidase-like 46
AT4G34000	ABF3	K14432	abscisic acid responsive elements-binding factor 3
AT2G38700	MVD1	K01597	mevalonate diphosphate decarboxylase 1
AT4G10100	CNX7	K03635	molybdenum cofactor synthesis family protein
AT3G28910	MYB30	K09422	myb domain protein 30
AT5G38530	TSBtype2	K06001	tryptophan synthase beta chain
AT4G01370	MPK4	K04371	mitogen-activated protein kinase 4
AT1G08065	ACA5	K01674	alpha carbonic anhydrase 5
AT3G15020	mMDH2	K00026	malate dehydrogenase 2
AT5G36870	GSL09	K11000	callose synthase 4
AT5G23000	MYB37	K09422	transcription factor RAX1
AT5G10180	SULTR2;1	K17469	sulfate transporter 2;1
AT1G66280	BGLU22	K01188	beta-glucosidase 22
AT1G24706	THO2	K12879	THO complex subunit 2
AT4G01680	MYB55	K09422	putative transcription factor MYB55
AT5G18410	PIR121	K05749	transcription activator PIROGI 121
AT5G04140	GLU1	K00284	ferredoxin-dependent glutamate synthase 1
AT5G56660	ILL2	K14664	IAA-amino acid hydrolase ILR1-like 2
AT5G67560	ARLA1D	K07955	ADP-ribosylation factor-like A1D
AT1G63970	ISPF	K01770	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
AT4G36940	NAPRT1	K00763	nicotinate phosphoribosyltransferase 1
AT4G33580	BCA5	K01673	beta carbonic anhydrase 5
AT1G22920	CSN5A	K09613	COP9 signalosome complex subunit 5a
AT2G39380	EXO70H2	K07195	exocyst subunit exo70 family protein H2
AT2G04550	IBR5	K04459	protein-tyrosine-phosphatase IBR5
AT4G22756	SMO1-2	K14423	sterol C4-methyl oxidase 1-2
AT3G43700	BPM6	K10523	BTB-POZ and math domain-containing protein
AT3G51260	PAD1	K02731	20S proteasome alpha subunit PAD1
AT3G11820	SYP121	K08486	syntaxin-121
AT1G05160	CYP88A3	K04123	ent-kaurenoic acid oxidase 1
AT1G61130	SCPL32	K16297	serine carboxypeptidase-like 32
AT1G07790	HTB1	K11252	histone H2B
AT1G22450	COX6B	K02267	cytochrome C oxidase 6B
AT5G57390	AIL5	K09285	AP2-like ethylene-responsive transcription factor AIL5
ArthMp024	nad6	K03884	NADH dehydrogenase subunit 6 
ArthMp026	nad2	K03879	NADH dehydrogenase subunit 2 
AT1G60950	FED_A	K02639	ferredoxin-2
ArthMp020	cob	K00412	apocytochrome B
AT4G01750	RGXT2	K11714	rhamnogalacturonan xylosyltransferase 2
AT5G10360	EMB3010	K02991	40S ribosomal protein S6-2
AT5G63730	ARI14	K11968	putative E3 ubiquitin-protein ligase ARI14
AT3G22480	PDF2	K09549	putative prefoldin subunit 2
AT1G79850	RPS17	K02961	30S ribosomal protein S17
AT2G41460	ARP	K01142	apurinic endonuclease-redox protein
AT5G47200	RAB1A	K07874	ras-related protein RABD2b
AT4G33410	SPPL1	K09598	signal peptide peptidase-like 1
AT5G36700	PGLP1	K01091	2-phosphoglycolate phosphatase 1
AT3G52590	UBQ1	K02927	ubiquitin extension protein 1
AT5G46330	FLS2	K13420	LRR receptor-like serine/threonine-protein kinase FLS2
AT5G01530	LHCB4.1	K08915	chlorophyll a-b binding protein CP29.1
AT2G04630	NRPB6B	K03014	DNA-directed RNA polymerases II and V subunit 6B
AT1G19920	APS2	K13811	ATP sulfurylase 2
AT3G45010	scpl48	K16298	serine carboxypeptidase-like 48
AT1G05180	AXR1	K04532	RUB-activating enzyme E1
AT3G45590	SEN1	K15322	tRNA-splicing endonuclease subunit Sen2-1
AT5G27670	HTA7	K11251	histone H2A 7
AT2G27510	FD3	K02639	ferredoxin 3
AT1G80660	HA9	K01535	H(+)-ATPase 9
AT3G03490	PEX19-1	K13337	peroxin 19-1
AT4G36380	ROT3	K12637	3-epi-6-deoxocathasterone 23-monooxygenase
AT1G77510	PDIL1-2	K09580	protein disulfide isomerase-like 1-2
AT2G18710	SCY1	K10956	preprotein translocase subunit secY
AT3G55360	CER10	K10258	very-long-chain enoyl-CoA reductase
AT2G21770	CESA9	K10999	cellulose synthase A9
AT1G56650	PAP1	K16166	transcription factor MYB75
AT4G20060	EMB1895	K13144	protein EMBRYO DEFECTIVE 1895
AT1G25490	RCN1	K03456	serine/threonine-protein phosphatase 2A regulatory subunit A alpha isoform
AT1G64520	RPN12a	K03031	26S proteasome non-ATPase regulatory subunit RPN12A
AT2G23260	UGT84B1	K13692	UDP-glucosyl transferase 84B1
AT5G63670	SPT42	K15171	transcription elongation factor SPT4-2
AT5G14420	RGLG2	K16280	E3 ubiquitin-protein ligase RGLG2
AT4G00570	NAD-ME2	K00028	NAD-dependent malic enzyme 2
AT4G09010	APX4	K00434	ascorbate peroxidase 4
AT1G03800	ERF10	K09286	ethylene-responsive transcription factor 10
AT2G47030	VGDH1	K01051	pectinesterase 4
AT1G33410	SAR1	K14303	suppressor of auxin resistance1 protein
AT2G41510	CKX1	K00279	cytokinin dehydrogenase 1
AT2G33820	MBAC1	K15109	mitochondrial ornithine transporter
AT5G56280	CSN6A	K12179	COP9 signalosome complex subunit 6a
AT3G27280	PHB4	K17080	prohibitin 4
AT4G30870	MUS81	K08991	crossover junction endonuclease MUS81
AT5G24520	TTG1	K11805	protein TRANSPARENT TESTA GLABRA 1
AT3G08580	AAC1	K05863	ADP,ATP carrier protein 1
AT5G43350	PHT1;1	K08176	inorganic phosphate transporter 1-1
ArthCp078	ndhI	K05580	NADH dehydrogenase 18 kDa subunit
AT5G67180	TOE3	K09284	target of early activation tagged 3
AT4G00110	GAE3	K08679	UDP-D-glucuronate 4-epimerase 3
AT1G27720	TAF4B	K03129	TBP-associated factor 4B
AT3G57300	INO80	K11665	DNA helicase INO80 complex-like 1
AT2G36010	E2F3	K06620	E2F transcription factor 3
AT1G12910	ATAN11	K11805	protein LIGHT-REGULATED WD1
AT1G26630	FBR12	K03263	eukaryotic translation initiation factor 5A-2
AT5G05410	DREB2A	K09286	dehydration-responsive element-binding protein 2A
AT4G36760	APP1	K01262	aminopeptidase P1
AT1G61010	CPSF73-I	K14403	cleavage and polyadenylation specificity factor subunit 73-I
AT4G23660	PPT1	K06125	4-hydroxybenzoate polyprenyltransferase
AT5G05730	ASA1	K01657	anthranilate synthase component I-1
AT1G03970	GBF4	K14432	G-box binding factor 4
AT5G25780	EIF3B-2	K03253	eukaryotic translation initiation factor 3B-2
AT5G60770	NRT2.4	K02575	nitrate transporter 2.4
AT3G50060	MYB77	K09422	myb domain protein 77
AT2G46450	CNGC12	K05391	cyclic nucleotide-gated channel 12
AT4G03210	XTH9	K08235	xyloglucan endotransglucosylase/hydrolase 9
AT4G26090	RPS2	K13459	disease resistance protein RPS2
AT4G29010	AIM1	K10527	fatty acid beta-oxidation multifunctional protein AIM1
AT3G54700	PHT1;7	K08176	phosphate transporter 1;7
AT2G40330	PYL6	K14496	abscisic acid receptor PYL6
AT4G17730	SYP23	K08488	syntaxin-23
AT1G18890	CDPK1	K13412	calcium-dependent protein kinase 1
AT1G06570	PDS1	K00457	4-hydroxyphenylpyruvate dioxygenase
AT5G35750	HK2	K14489	histidine kinase 2
AT1G28010	PGP14	K05658	ABC transporter B family member 14
AT2G17900	SDG37	K11426	SET domain group protein 37
AT5G52570	BETA-OHASE_2	K15746	beta-carotene hydroxylase 2
ArthCt111	trnI	K14230	tRNA-Ile
AT1G48470	GLN1;5	K01915	glutamine synthetase cytosolic isozyme 1-5
AT1G12350	COAB	K01922	phosphopantothenate--cysteine ligase 1
AT5G50720	HVA22E	K17279	HVA22-like protein E
AT3G19050	POK2	K10400	phragmoplast orienting kinesin 2
AT2G22480	PFK5	K00850	6-phosphofructokinase 5
AT1G74560	NRP1	K11290	NAP1-related protein 1
AT2G29560	ENOC	K01689	putative phosphoenolpyruvate enolase
AT4G26760	MAP65-2	K16732	microtubule-associated protein 65-2
AT1G52830	IAA6	K14484	indole-3-acetic acid 6
AT5G23080	TGH	K13123	TATA-box binding protein-interacting protein TOUGH
AT3G27190	UKL2	K00876	uridine kinase-like 2
AT1G54250	NRPB8A	K03016	DNA-directed RNA polymerases II and V subunit 8A
AT1G27650	ATU2AF35A	K12836	splicing factor U2af small subunit A
AT5G25890	IAA28	K14484	auxin-responsive protein IAA28
AT2G27040	AGO4	K11593	argonaute 4
AT3G08690	UBC11	K06689	ubiquitin-conjugating enzyme 11
AT1G55300	TAF7	K03132	TBP-associated factor 7
AT4G10120	ATSPS4F	K00696	probable sucrose-phosphate synthase 4
AT1G29940	NRPA2	K03002	nuclear RNA polymerase A2
AT2G45330	emb1067	K10669	2' tRNA phosphotransferase
AT3G56850	AREB3	K14432	ABA-responsive element binding protein 3
AT5G61770	PPAN	K14859	Peter Pan-like protein
AT5G05700	ATE1	K00685	arginine-tRNA protein transferase 1
AT5G37770	TCH2	K13448	calcium-binding protein CML24
AT3G57650	LPAT2	K13523	lysophosphatidyl acyltransferase 2
AT1G63780	IMP4	K14561	small nucleolar ribonucleoprotein protein
AT1G17650	GLYR2	K18121	glyoxylate reductase 2
AT2G45690	SSE1	K13335	peroxin-16
AT5G10170	MIPS3	K01858	myo-inositol-1-phosphate synthase
AT5G61000	RPA70D	K07466	replication protein A 70 kDa DNA-binding subunit D
AT3G21700	SGP2	K07976	monomeric G protein SGP2
AT1G64400	LACS3	K01897	long-chain acyl-CoA synthetase
AT3G20870	ZTP29	K07238	zinc transporter ZTP29
AT4G26780	AR192	K03687	molecular chaperone GrpE
AT4G01070	GT72B1	K08237	UDP-glycosyltransferase 72B1
AT3G54560	HTA11	K11251	histone H2A 11
AT4G09800	RPS18C	K02964	40S ribosomal protein S18
AT3G55800	SBPASE	K01100	Sedoheptulose-1,7-bisphosphatase
AT5G44200	CBP20	K12883	nuclear cap-binding protein subunit 20
AT5G41990	WNK8	K08867	serine/threonine-protein kinase WNK8
AT1G31190	IMPL1	K01092	myo-inositol monophosphatase like 1
AT3G57140	SDP1-LIKE	K14674	sugar-dependent 1-like protein
AT4G19230	CYP707A1	K09843	abscisic acid 8'-hydroxylase 1
AT1G07180	NDA1	K17871	internal alternative NAD(P)H-ubiquinone oxidoreductase A1
AT4G09720	RABG3A	K07897	RAB GTPase homolog G3A
AT1G72320	PUM23	K14790	pumilio 23
AT5G22950	VPS24.1	K12193	vacuolar protein sorting-associated protein 24-1
AT1G67440	emb1688	K06949	protein EMBRYO DEFECTIVE 1688
AT2G32270	ZIP3	K14709	zinc transporter 3
AT1G06290	ACX3	K00232	acyl-coenzyme A oxidase 3
AT1G30825	DIS2	K05758	actin-related protein C2A
AT2G26250	KCS10	K15397	3-ketoacyl-CoA synthase 10
AT3G27060	TSO2	K10808	ribonucleoside-diphosphate reductase small chain C
AT1G32850	UBP11	K11835	putative ubiquitin carboxyl-terminal hydrolase 11
AT5G07700	MYB76	K09422	myb domain protein 76
AT4G25810	XTR6	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 23
AT1G64060	RBOH_F	K13447	respiratory burst oxidase
AT4G26300	emb1027	K01887	Arginyl-tRNA synthetase, class Ic
AT2G27020	PAG1	K02727	20S proteasome alpha subunit G1
AT5G05560	EMB2771	K03348	E3 ubiquitin ligase complex subunit
AT1G58440	XF1	K00511	probable squalene epoxidase 1
AT4G22330	ATCES1	K04711	acyl-CoA independent ceramide synthase
AT4G26430	CSN6B	K12179	COP9 signalosome complex subunit 6b
AT5G62470	MYB96	K09422	Myb transcription factor
AT1G07670	ECA4	K01537	calcium-transporting ATPase 4
AT4G12860	UNE14	K13448	EF hand calcium-binding family protein
AT5G65270	RABA4a	K07904	RAB GTPase homolog A4A
AT3G06560	PAPS3	K14376	poly(A) polymerase 3
AT4G28270	RMA2	K10666	E3 ubiquitin-protein ligase RMA2
AT3G50110	PEN3	K01110	protein PHOSPHATASE AND TENSIN HOMOLOG DELETED ON CHROMOSOME TEN 3
AT1G31330	PSAF	K02694	photosystem I subunit F
AT5G44340	TUB4	K07375	tubulin beta-4 chain
AT3G01610	CDC48C	K14571	cell division cycle 48C protein
AT1G02970	WEE1	K06632	Wee1-like protein kinase
AT3G10280	KCS14	K15397	3-ketoacyl-CoA synthase 14
AT5G55240	ATPXG2	K17991	peroxygenase 2
AT3G53260	PAL2	K10775	phenylalanine ammonia-lyase 2
AT4G33260	CDC20.2	K03363	cell division cycle 20.2, cofactor of APC complex
AT3G47460	ATSMC2	K06674	structural maintenance of chromosomes protein 2-2
AT5G25880	NADP-ME3	K00029	NADP-dependent malic enzyme 3
AT1G79440	ALDH5F1	K17761	succinate-semialdehyde dehydrogenase
AT4G22930	PYR4	K01465	dihydroorotase
AT2G46270	GBF3	K09060	G-box binding factor 3
AT4G03520	ATHM2	K03671	thioredoxin M2
AT3G54960	PDIL1-3	K09580	protein PDI-like 1-3
AT1G57820	VIM1	K10638	E3 ubiquitin-protein ligase ORTHRUS 2
AT4G13250	NYC1	K13606	probable chlorophyll(ide) b reductase NYC1
AT4G17040	CLPR4	K01358	ATP-dependent Clp protease proteolytic subunit-related protein 4
AT1G23730	BCA3	K01673	beta carbonic anhydrase 3
AT1G80050	APT2	K00759	adenine phosphoribosyl transferase 2
AT5G58700	PLC4	K05857	phosphoinositide phospholipase C 4
AT3G60010	SK13	K03094	SKP1-like protein 13
AT1G23090	AST91	K17471	sulfate transporter 3.3
AT1G65930	cICDH	K00031	NADP+-dependent isocitrate dehydrogenase
AT1G30620	MUR4	K12448	UDP-arabinose 4-epimerase 1
AT5G65690	PCK2	K01610	phosphoenolpyruvate carboxykinase 2
AT2G39190	ATATH8	K08869	ATH subfamily protein ATH8
AT5G59370	ACT4	K10355	actin 4
AT2G36390	SBE2.1	K00700	1,4-alpha-glucan branching enzyme 2-1
AT5G06720	PA2	K00430	peroxidase 53
AT3G56700	FAR6	K13356	fatty acyl-CoA reductase 6
AT1G09530	PIF3	K12126	transcription factor PIF3
AT1G17370	UBP1B	K13201	oligouridylate binding protein 1B
AT3G52020	scpl39	K16297	serine carboxypeptidase-like 39
AT2G43080	AT-P4H-1	K00472	prolyl-4 hydroxylase
AT5G09740	HAM2	K11308	MYST-like histone acetyltransferase 2
AT3G12990	RRP45a	K03678	3'-5' exoribonuclease PH45A
AT2G26040	PYL2	K14496	abscisic acid receptor PYL2
ArthCp084	rpl23	K02892	50S ribosomal protein L23
AT3G14310	PME3	K01051	pectin methylesterase 3
AT5G26780	SHM2	K00600	serine hydroxymethyltransferase 2
AT4G27960	UBC9	K06689	ubiquitin conjugating enzyme 9
AT5G59030	COPT1	K14686	copper transporter 1
AT3G01500	CA1	K01673	carbonic anhydrase 1
AT1G60140	TPS10	K16055	putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 10
AT1G69930	GSTU11	K00799	glutathione S-transferase TAU 11
AT5G13990	EXO70C2	K07195	exocyst subunit exo70 family protein C2
AT1G21760	FBP7	K10295	F-box protein 7
AT5G65670	IAA9	K14484	auxin-responsive protein IAA9
AT2G17620	CYCB2;1	K05868	cyclin-B2-1
AT2G34430	LHB1B1	K08912	light-harvesting chlorophyll protein complex II subunit B1
AT5G54280	ATM2	K10357	myosin 2
AT3G20475	MSH5	K08741	DNA mismatch repair protein MSH5
AT5G50440	MEMB12	K08496	membrin 12
AT5G13680	ABO1	K11373	elongator complex protein 1
AT2G42600	PPC2	K01595	phosphoenolpyruvate carboxylase 2
AT2G38130	ATMAK3	K00670	N-terminal acetyltransferase complex C component MAK3
AT3G25110	FaTA	K10782	fatA acyl-ACP thioesterase
AT2G21170	TIM	K01803	triosephosphate isomerase
AT4G15370	BARS1	K16206	baruol synthase 1
AT5G38450	CYP735A1	K10717	cytochrome P450, family 735, subfamily A, polypeptide 1
AT3G47060	ftsh7	K03798	cell division protease ftsH-7
AT4G31500	CYP83B1	K11818	cytochrome P450 83B1
AT1G74890	ARR15	K14492	two-component response regulator ARR15
AT5G12020	HSP17.6II	K13993	class II heat shock protein 17.6
AT5G44740	POLH	K03509	Y-family DNA polymerase H
AT2G19480	NAP1;2	K11279	nucleosome assembly protein 1;2
AT4G38130	HD1	K06067	histone deacetylase 19
AT4G34490	CAP1	K17261	cyclase associated protein 1
AT5G04180	ACA3	K01674	alpha carbonic anhydrase 3
AT1G30480	DRT111	K12840	DNA-damage-repair/toleration protein DRT111
AT2G43290	MSS3	K13448	calmodulin-like protein MSS3
AT3G58040	SINAT2	K04506	E3 ubiquitin-protein ligase SINAT2
AT3G14940	PPC3	K01595	phosphoenolpyruvate carboxylase 3
AT2G16090	ARI2	K11968	putative E3 ubiquitin-protein ligase ARI2
AT5G16270	SYN4	K06670	sister chromatid cohesion 1 protein 4
AT5G09870	CESA5	K10999	cellulose synthase A catalytic subunit 5 [UDP-forming]
AT5G19770	TUA3	K07374	tubulin alpha-3
